edge_index0,edge_index1,pred,gr
571,994,4.654802,1.0
1588,1628,10.848399,1.0
1160,1522,12.500484,1.0
1096,1520,7.169362,1.0
722,726,6.265318,1.0
2066,2426,1.431504,1.0
2004,2396,3.677219,1.0
928,2400,-0.37493527,1.0
1863,1967,7.6837535,1.0
1083,1582,0.048377316,1.0
102,1251,12.683383,1.0
595,2317,0.71458346,1.0
159,377,10.920768,1.0
847,1472,11.659672,1.0
404,1543,-0.27171212,1.0
287,402,10.280324,1.0
1415,2267,6.594637,1.0
1621,1984,6.935168,1.0
588,659,1.8225634,1.0
402,1325,8.284628,1.0
384,2380,6.537708,1.0
380,1500,8.115467,1.0
1911,2202,5.486833,1.0
220,577,12.396695,1.0
1172,1435,9.7378845,1.0
1116,1677,12.931183,1.0
43,544,10.364222,1.0
642,1745,-1.771185,1.0
244,254,12.584733,1.0
564,702,12.617697,1.0
592,1447,12.455035,1.0
324,1196,0.7681792,1.0
776,1528,9.532444,1.0
25,428,7.3473964,1.0
588,620,6.9833546,1.0
601,1991,4.574412,1.0
1053,1181,12.187938,1.0
48,681,8.885321,1.0
1669,1687,12.174289,1.0
159,2399,8.465718,1.0
1838,2414,12.545643,1.0
335,700,7.8765044,1.0
516,533,11.835108,1.0
450,493,8.377405,1.0
1459,1463,12.889978,1.0
640,2136,8.233753,1.0
1086,1773,-2.5984104,1.0
1168,1401,11.14581,1.0
1114,1477,12.630187,1.0
1081,2248,3.9080749,1.0
286,401,4.1756663,1.0
738,796,-8.030591,1.0
1197,1986,12.507536,1.0
1782,2304,5.7209897,1.0
57,533,11.903912,1.0
1127,1536,10.787303,1.0
126,159,13.078321,1.0
516,1744,7.4201083,1.0
1082,1248,1.2760873,1.0
575,1405,12.712472,1.0
159,747,13.883947,1.0
43,702,9.989255,1.0
1562,1709,6.619284,1.0
61,891,8.050523,1.0
1520,1521,12.592905,1.0
699,1892,12.732611,1.0
159,1285,12.992245,1.0
156,1743,12.700905,1.0
227,1301,8.774251,1.0
798,972,10.215089,1.0
55,1787,0.8475975,1.0
747,1137,7.643527,1.0
75,2211,3.4996421,1.0
22,2090,7.048496,1.0
1655,1729,12.290312,1.0
1130,1223,2.1578398,1.0
989,1103,2.8008456,1.0
1550,2228,-1.698081,1.0
1395,2165,9.060414,1.0
1061,1400,8.942546,1.0
493,2351,3.720369,1.0
1965,2416,2.8585427,1.0
700,1092,13.253388,1.0
378,1960,8.339536,1.0
1410,1634,8.072448,1.0
159,2397,12.5174465,1.0
28,1514,1.8928773,1.0
425,1896,7.2722754,1.0
218,402,12.863658,1.0
587,620,6.3717413,1.0
1347,2243,8.539442,1.0
1312,1408,-4.153518,1.0
661,702,11.115517,1.0
1142,1371,12.582591,1.0
270,2031,11.746812,1.0
159,566,12.8984,1.0
14,512,13.081144,1.0
1379,1563,7.6763225,1.0
647,1177,10.205762,1.0
64,698,12.420008,1.0
440,844,8.7266655,1.0
1051,1089,6.5856266,1.0
528,695,9.513416,1.0
870,1164,12.246629,1.0
231,533,4.268232,1.0
159,2325,11.367608,1.0
928,1550,11.891163,1.0
520,522,12.524481,1.0
21,535,4.3726,1.0
300,2137,4.1289463,1.0
1064,1414,12.556107,1.0
766,1019,12.95501,1.0
2137,2381,3.3139389,1.0
355,1677,7.890873,1.0
395,2049,7.293497,1.0
1010,1220,8.488471,1.0
739,1700,11.357429,1.0
779,857,12.613979,1.0
547,702,9.213319,1.0
710,1324,8.429576,1.0
2198,2321,10.520667,1.0
1792,2301,9.284789,1.0
1329,2055,9.70049,1.0
1086,1087,11.83701,1.0
425,965,12.492024,1.0
1671,1886,7.37785,1.0
1262,2128,1.5956756,1.0
0,407,12.512079,1.0
1617,2319,13.186511,1.0
1170,1171,13.270076,1.0
1537,2226,4.007812,1.0
36,1930,7.6147594,1.0
65,146,1.5741884,1.0
702,733,11.80857,1.0
842,1188,1.7998203,1.0
533,1523,12.529953,1.0
142,2124,10.626501,1.0
460,517,7.60323,1.0
159,2428,12.368441,1.0
