edge_index0,edge_index1,pred,gr
7068,11114,6.7222996,1.0
3586,11465,4.2456174,1.0
2461,12599,6.2892675,1.0
1962,2170,4.7451506,1.0
7295,8537,6.202402,1.0
3407,5550,1.943187,1.0
9,9433,3.1627913,1.0
4086,10517,4.119598,1.0
8703,8762,5.1853795,1.0
598,1537,4.9668694,1.0
7295,9628,4.606282,1.0
3739,7468,5.527662,1.0
4414,11493,5.5040627,1.0
11137,11146,4.8692117,1.0
11406,11825,1.8753417,1.0
4209,7989,6.217345,1.0
4098,12171,4.0761123,1.0
2359,5735,3.5011444,1.0
426,5599,4.3293524,1.0
7747,12353,-0.2683243,1.0
768,12199,6.1259923,1.0
8095,11627,5.6780868,1.0
829,5643,4.2327843,1.0
5748,7964,1.9940741,1.0
5837,12449,-3.720959,1.0
672,9292,2.079522,1.0
6413,11655,4.097874,1.0
9688,10702,-0.1412045,1.0
9144,10515,2.8400595,1.0
1662,8398,-1.3021945,1.0
5299,8482,5.0330987,1.0
6077,6371,6.2418866,1.0
4509,10564,4.625006,1.0
4792,8381,6.7165365,1.0
10755,11190,5.461165,1.0
4104,12669,6.5923853,1.0
487,9194,5.2312083,1.0
839,12290,7.0281267,1.0
1487,5800,6.0384626,1.0
579,12711,5.713641,1.0
2510,12429,5.8574095,1.0
53,12330,7.5203643,1.0
1406,9367,3.461873,1.0
96,8977,3.5758662,1.0
1478,10789,5.462834,1.0
2536,10345,4.4515133,1.0
6840,8427,5.961655,1.0
386,762,6.04423,1.0
1087,9356,0.5726161,1.0
6111,7310,1.4901266,1.0
3205,12767,4.2533345,1.0
9676,12908,3.6113038,1.0
6300,12820,2.0504096,1.0
1496,7375,5.699255,1.0
1963,11514,5.9830585,1.0
8175,11847,6.460853,1.0
6261,7744,6.3772707,1.0
2096,3632,3.3468087,1.0
379,5917,5.933351,1.0
11359,12567,0.93215466,1.0
3438,13022,2.7389781,1.0
9011,12768,5.0493393,1.0
8922,13132,5.234124,1.0
4746,6293,3.4774165,1.0
643,7348,3.3509324,1.0
11233,12612,-7.3976235,1.0
7543,12718,5.6716905,1.0
716,750,6.890554,1.0
5031,5242,2.8885515,1.0
2170,4255,6.4242597,1.0
1902,2339,4.14799,1.0
8225,9962,1.6763172,1.0
5693,10096,1.1282183,1.0
5628,10028,3.690488,1.0
418,6987,3.2390478,1.0
10536,12047,3.3577394,1.0
1804,7681,6.159331,1.0
3079,9295,3.7125006,1.0
3697,10019,6.8251424,1.0
8840,12700,6.3111477,1.0
4134,12367,2.5967047,1.0
2281,11587,4.8984275,1.0
4968,6114,2.1528625,1.0
750,9459,6.641973,1.0
2929,3348,2.135319,1.0
2661,2684,3.9927266,1.0
4651,8396,5.0591307,1.0
1962,5749,4.986196,1.0
4981,10839,4.9891467,1.0
7744,7961,4.000852,1.0
7275,9010,6.934845,1.0
419,9000,6.3803487,1.0
3405,8755,6.7297597,1.0
2626,4978,3.1572566,1.0
4782,8722,6.247038,1.0
1436,10861,5.241605,1.0
9194,9850,6.43869,1.0
452,4699,2.2940443,1.0
2825,7478,7.265265,1.0
5127,11940,3.5676105,1.0
3914,6709,2.8832562,1.0
5402,6697,-2.7629776,1.0
1292,10028,2.4133413,1.0
3558,5131,-0.23465416,1.0
1334,9002,-0.32000473,1.0
6263,12464,5.7814336,1.0
3290,9420,3.3106928,1.0
11388,11832,5.4521337,1.0
5166,5486,1.0659695,1.0
1962,7141,0.49766108,1.0
574,13079,2.0945928,1.0
3189,5082,1.377924,1.0
10136,10695,3.474251,1.0
8445,8846,4.4095006,1.0
7660,10534,0.16354558,1.0
511,4858,5.6234884,1.0
6141,6939,-1.9632239,1.0
1271,1478,4.723278,1.0
5129,6263,5.871225,1.0
8897,9419,0.8994129,1.0
2553,7578,6.0467896,1.0
7744,12712,6.607746,1.0
6259,8076,4.477797,1.0
3288,4424,4.771982,1.0
460,622,6.057355,1.0
9452,10921,3.4953308,1.0
10067,12374,4.9304214,1.0
5885,6770,6.544353,1.0
5615,11833,6.7338,1.0
7632,12682,5.4308558,1.0
262,9318,5.743548,1.0
7353,7690,5.1314864,1.0
428,9751,4.086908,1.0
3694,7916,2.1082273,1.0
5914,7441,2.8526065,1.0
1026,10541,5.777262,1.0
2374,8520,-1.0490232,1.0
4782,6388,6.748228,1.0
8423,9846,-5.4386334,1.0
806,6985,2.2400284,1.0
4599,11111,4.203224,1.0
6216,8772,6.830816,1.0
6286,9456,5.023433,1.0
7298,9497,2.6285431,1.0
3117,4111,1.3426065,1.0
8613,9199,5.6959867,1.0
9565,10332,5.734579,1.0
379,10145,3.7348487,1.0
3885,12484,3.5948155,1.0
5295,12199,3.090091,1.0
6661,12310,4.1508827,1.0
8700,11180,5.185411,1.0
5047,10973,2.211693,1.0
2103,10017,5.4668756,1.0
45,8741,2.6990533,1.0
6114,6726,6.412708,1.0
8735,11317,1.796774,1.0
4478,6365,3.253566,1.0
7141,7681,5.472412,1.0
5138,10695,1.5234178,1.0
6114,11662,5.525791,1.0
1560,4729,4.974318,1.0
12552,12946,5.687578,1.0
4011,6441,6.8974433,1.0
8011,12439,-5.153924,1.0
7006,8368,-5.6989202,1.0
1501,3773,7.2860003,1.0
11904,12460,5.8172193,1.0
685,2545,2.504822,1.0
3811,12385,2.7802434,1.0
4044,6946,6.258419,1.0
7478,12107,7.2846785,1.0
9071,10340,5.1549664,1.0
10239,11070,6.0725713,1.0
10206,12199,5.7113824,1.0
904,6263,5.911334,1.0
2164,11360,4.8674498,1.0
1993,6048,5.8142395,1.0
2652,11661,3.0323412,1.0
870,1850,5.5247755,1.0
11436,13114,4.9655223,1.0
4781,5325,-4.6232786,1.0
1016,6653,2.96022,1.0
1999,12645,5.0723567,1.0
4255,7069,2.3249474,1.0
8571,12982,6.737484,1.0
1739,7744,5.458556,1.0
3498,4801,6.3764358,1.0
1913,9455,3.708675,1.0
2535,3016,-1.7128484,1.0
10173,12201,3.9496715,1.0
2007,2411,4.544982,1.0
7142,10094,0.9397892,1.0
2540,11397,5.453306,1.0
831,4569,4.442467,1.0
59,4088,3.2627766,1.0
2651,5614,4.542103,1.0
9402,12487,2.6920712,1.0
5057,12580,2.546548,1.0
2081,6826,2.6173007,1.0
4710,9801,0.4612998,1.0
487,12068,4.0621924,1.0
7237,12199,6.182133,1.0
3863,10223,-0.49282566,1.0
729,6691,3.9451272,1.0
5185,6175,4.6455936,1.0
666,6761,6.476417,1.0
3368,5452,1.9555125,1.0
3796,4319,4.0368066,1.0
3520,7744,6.621304,1.0
7938,11940,0.4714624,1.0
2373,7794,5.809417,1.0
1174,2380,2.0394902,1.0
6174,10082,3.2806072,1.0
