edge_index0,edge_index1,pred,gr
26,702,6.421436,1.0
2105,2328,2.1306217,1.0
807,1921,5.57052,1.0
159,2095,6.3837175,1.0
127,603,6.345405,1.0
1057,2224,4.062255,1.0
1052,1294,-5.9882092,1.0
539,2158,6.3410945,1.0
1444,1505,5.9361434,1.0
533,1145,6.1623206,1.0
2144,2248,6.076985,1.0
234,1055,5.969127,1.0
776,1528,4.2342796,1.0
1022,1566,5.9884477,1.0
1186,1622,6.3648024,1.0
399,539,6.3628974,1.0
774,1401,1.5459018,1.0
538,1431,7.180343,1.0
406,562,0.16624504,1.0
956,1232,5.6344953,1.0
643,1459,6.4952617,1.0
1824,2061,6.45783,1.0
1446,2313,3.4503605,1.0
980,1277,1.6523831,1.0
1685,2022,6.1213403,1.0
232,1542,3.473054,1.0
1590,2245,5.998177,1.0
999,1901,2.6199105,1.0
901,1162,5.995537,1.0
682,1007,6.260794,1.0
2172,2320,6.811606,1.0
1349,1401,6.050712,1.0
573,675,-1.226418,1.0
1718,1723,4.479221,1.0
1355,1501,5.9006143,1.0
1215,1355,6.4675345,1.0
740,745,6.259203,1.0
635,2050,5.8177485,1.0
1329,2055,5.828577,1.0
322,730,1.6972523,1.0
2308,2367,5.409188,1.0
1273,1447,5.845243,1.0
133,928,2.6322494,1.0
425,1955,6.7839513,1.0
897,1462,5.698332,1.0
1650,2483,2.1135528,1.0
2156,2386,5.07893,1.0
353,585,4.047145,1.0
557,1997,-0.21264404,1.0
170,702,7.1578565,1.0
700,2004,5.293464,1.0
1796,2017,6.04977,1.0
378,2130,6.2795415,1.0
54,1591,3.12816,1.0
443,985,5.5685234,1.0
1311,2484,-1.0955937,1.0
652,1418,6.6199517,1.0
39,80,0.45725375,1.0
1162,1853,6.0901933,1.0
208,1324,5.9835095,1.0
171,2029,0.7163645,1.0
559,1060,5.1954093,1.0
299,479,6.153856,1.0
2234,2333,-1.760256,1.0
1201,1210,7.157941,1.0
1144,1460,1.4370033,1.0
351,601,3.3299882,1.0
1109,1112,6.1606245,1.0
278,1276,-0.79555094,1.0
769,1063,4.2701497,1.0
1696,2046,3.2684567,1.0
673,1060,2.7937994,1.0
507,1142,4.869245,1.0
1480,1506,6.432781,1.0
544,1132,7.0195594,1.0
2055,2397,4.288627,1.0
324,1363,5.839866,1.0
1668,1838,6.5970035,1.0
324,2245,6.105391,1.0
439,1878,6.632074,1.0
165,236,4.1868587,1.0
136,2186,4.908686,1.0
590,996,5.6570516,1.0
499,1407,6.3373446,1.0
22,159,5.99981,1.0
