model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-e5-large,0,40.71,58.86,71.74,80.38,88.76,93.26,49.6,40.71,58.86,71.74,80.38,88.76,93.26,98.04,98.15,92.39
MLP-e5-large,1,38.81,55.4,72.26,80.12,88.59,93.17,47.71,38.81,55.4,72.26,80.12,88.59,93.17,98.06,98.16,92.26
MLP-e5-large,2,36.13,55.4,72.52,79.95,88.5,93.52,47.62,36.13,55.4,72.52,79.95,88.5,93.52,98.06,98.16,92.44
MLP-e5-large,3,39.5,53.15,72.26,80.64,88.94,93.17,49.36,39.5,53.15,72.26,80.64,88.94,93.17,98.06,98.17,92.48
MLP-e5-large,4,40.19,46.24,71.91,80.55,88.76,93.34,47.91,40.19,46.24,71.91,80.55,88.76,93.34,98.05,98.16,92.26
MLP-minilm,0,28.87,46.15,67.16,78.57,89.63,94.64,39.75,28.87,46.15,67.16,78.57,89.63,94.64,97.86,97.95,93.3
MLP-minilm,1,27.23,43.91,67.16,77.7,90.32,94.38,38.65,27.23,43.91,67.16,77.7,90.32,94.38,97.86,97.97,93.17
MLP-minilm,2,26.97,45.98,67.85,77.87,89.89,94.38,38.28,26.97,45.98,67.85,77.87,89.89,94.38,97.85,97.95,93.3
MLP-minilm,3,28.09,46.15,65.17,78.48,89.97,94.47,39.13,28.09,46.15,65.17,78.48,89.97,94.47,97.86,97.95,93.26
MLP-minilm,4,26.79,45.55,66.03,78.22,89.97,94.38,39.13,26.79,45.55,66.03,78.22,89.97,94.38,97.85,97.93,93.47
MLP-bert,0,1.3,3.28,14.87,24.63,40.19,53.15,5.92,1.3,3.28,14.87,24.63,40.19,53.15,86.71,85.71,78.69
MLP-bert,1,1.73,6.83,14.26,25.76,41.14,55.49,6.27,1.73,6.83,14.26,25.76,41.14,55.49,86.15,85.4,77.83
MLP-bert,2,1.12,3.37,15.21,23.94,44.77,56.96,5.73,1.12,3.37,15.21,23.94,44.77,56.96,86.25,85.54,77.79
MLP-bert,3,2.68,5.27,15.56,23.08,42.18,55.06,6.75,2.68,5.27,15.56,23.08,42.18,55.06,86.52,85.58,78.35
MLP-bert,4,0.86,7.95,14.61,25.84,39.15,55.23,6.18,0.86,7.95,14.61,25.84,39.15,55.23,85.45,85.23,77.44
MLP-minilm,0,17.29,50.48,67.07,78.65,89.89,96.02,37.63,17.29,50.48,67.07,78.65,89.89,96.02,98.41,98.33,93.22
MLP-e5-large,0,27.14,58.95,73.98,80.64,89.8,93.86,43.48,27.14,58.95,73.98,80.64,89.8,93.86,97.94,98.1,93.04
MLP-minilm,1,19.71,50.82,68.37,79.52,90.15,95.16,36.07,19.71,50.82,68.37,79.52,90.15,95.16,98.34,98.25,93.26
MLP-e5-large,1,22.73,54.71,74.24,80.03,90.15,94.12,42.24,22.73,54.71,74.24,80.03,90.15,94.12,97.92,98.08,93.13
MLP-minilm,2,19.01,42.01,68.54,78.74,91.27,95.68,37.73,19.01,42.01,68.54,78.74,91.27,95.68,98.45,98.33,93.09
MLP-e5-large,2,25.76,57.65,74.59,81.16,90.32,94.12,43.82,25.76,57.65,74.59,81.16,90.32,94.12,97.92,98.11,93.04
MLP-minilm,3,22.3,49.78,67.93,78.57,91.01,95.51,38.91,22.3,49.78,67.93,78.57,91.01,95.51,98.37,98.3,93.65
MLP-e5-large,3,25.06,53.24,73.98,79.6,90.23,93.69,43.65,25.06,53.24,73.98,79.6,90.23,93.69,97.92,98.09,92.83
MLP-minilm,4,21.18,46.24,69.32,78.22,90.41,95.59,38.74,21.18,46.24,69.32,78.22,90.41,95.59,98.4,98.34,93.65
MLP-e5-large,4,26.79,55.06,73.55,80.73,90.32,94.3,41.05,26.79,55.06,73.55,80.73,90.32,94.3,97.92,98.07,92.57
MLP-e5-large,0,47.36,54.54,65.6,77.1,88.07,93.86,54.66,47.36,54.54,65.6,77.1,88.07,93.86,97.84,97.95,92.91
MLP-minilm,0,26.71,46.59,70.79,79.86,88.68,95.07,41.89,26.71,46.59,70.79,79.86,88.68,95.07,98.21,98.21,93.35
MLP-e5-large,1,47.54,53.93,65.43,76.84,88.59,93.6,53.39,47.54,53.93,65.43,76.84,88.59,93.6,97.84,97.96,93.04
MLP-minilm,1,25.32,44.77,70.79,79.34,88.68,95.16,42.71,25.32,44.77,70.79,79.34,88.68,95.16,98.21,98.24,93.3
MLP-e5-large,2,47.71,54.62,65.25,77.36,88.68,94.04,53.15,47.71,54.62,65.25,77.36,88.68,94.04,97.83,97.94,92.7
MLP-e5-large,3,49.61,53.07,64.91,75.11,88.25,93.69,54.14,49.61,53.07,64.91,75.11,88.25,93.69,97.82,97.96,92.74
MLP-minilm,2,25.67,44.17,70.96,80.29,88.68,94.99,40.06,25.67,44.17,70.96,80.29,88.68,94.99,98.2,98.22,93.13
MLP-e5-large,4,47.97,53.33,64.65,77.7,88.85,93.86,53.27,47.97,53.33,64.65,77.7,88.85,93.86,97.82,97.94,92.91
MLP-minilm,3,22.39,46.24,71.39,80.29,88.25,95.25,39.78,22.39,46.24,71.39,80.29,88.25,95.25,98.21,98.23,93.52
MLP-bert,0,1.99,5.96,14.43,23.08,38.81,52.46,6.35,1.99,5.96,14.43,23.08,38.81,52.46,83.7,83.54,74.46
MLP-minilm,4,23.77,46.24,72.77,80.47,88.85,95.16,41.11,23.77,46.24,72.77,80.47,88.85,95.16,98.19,98.22,93.26
MLP-bert,1,2.85,5.88,10.89,19.36,42.61,54.19,6.29,2.85,5.88,10.89,19.36,42.61,54.19,83.66,83.23,74.98
MLP-bert,0,1.56,4.67,13.74,23.08,44.77,58.77,5.98,1.56,4.67,13.74,23.08,44.77,58.77,87.11,86.19,78.48
MLP-bert,2,2.77,5.01,17.37,23.6,42.18,52.2,7.23,2.77,5.01,17.37,23.6,42.18,52.2,84.33,83.79,75.02
MLP-bert,1,1.82,5.53,18.93,30.34,43.13,57.74,6.27,1.82,5.53,18.93,30.34,43.13,57.74,86.62,86.13,78.39
MLP-bert,3,2.25,8.64,14.78,22.9,35.87,51.51,7.44,2.25,8.64,14.78,22.9,35.87,51.51,83.52,83.28,74.63
MLP-bert,2,1.47,1.04,12.19,27.74,42.61,59.03,5.15,1.47,1.04,12.19,27.74,42.61,59.03,86.6,85.65,79.39
MLP-bert,4,2.77,7.17,12.53,23.68,38.98,51.25,7.33,2.77,7.17,12.53,23.68,38.98,51.25,84.04,83.99,75.28
MLP-bert,3,2.33,2.77,15.13,27.23,44.34,59.03,6.34,2.33,2.77,15.13,27.23,44.34,59.03,87.05,86.5,79.34
MLP-bert,4,1.12,6.31,12.27,28.09,43.56,59.81,6.25,1.12,6.31,12.27,28.09,43.56,59.81,87.09,86.42,78.65
MLP-llama,0,41.14,71.39,82.54,88.59,94.64,97.41,53.13,41.14,71.39,82.54,88.59,94.64,97.41,99.09,99.07,95.42
MLP-llama,1,11.84,65.34,81.68,88.33,94.47,98.1,40.3,11.84,65.34,81.68,88.33,94.47,98.1,99.12,98.98,94.9
MLP-llama,2,37.6,66.03,80.47,86.43,93.34,98.18,51.0,37.6,66.03,80.47,86.43,93.34,98.18,99.02,98.97,95.07
MLP-llama,3,21.61,62.49,82.63,86.34,94.55,97.75,40.55,21.61,62.49,82.63,86.34,94.55,97.75,99.02,98.99,95.03
MLP-llama,4,30.94,55.92,79.43,87.64,95.33,97.67,46.08,30.94,55.92,79.43,87.64,95.33,97.67,99.03,98.99,95.25
MLP-llama,0,68.45,73.98,84.53,89.46,94.81,97.67,78.01,68.45,73.98,84.53,89.46,94.81,97.67,99.06,99.17,95.2
MLP-llama,1,70.35,80.29,86.52,89.28,94.64,97.49,74.59,70.35,80.29,86.52,89.28,94.64,97.49,99.07,99.16,94.99
MLP-llama,2,76.58,78.31,85.57,89.11,94.47,97.84,79.39,76.58,78.31,85.57,89.11,94.47,97.84,99.09,99.19,95.33
MLP-minilm,0,19.9,68.17,74.91,83.22,95.33,98.62,45.85,19.9,68.17,74.91,83.22,95.33,98.62,98.25,98.16,93.34
MLP-minilm,0,16.94,51.17,64.65,76.23,89.28,95.76,35.48,16.94,51.17,64.65,76.23,89.28,95.76,98.17,98.11,93.65
MLP-minilm,0,25.92,38.04,63.17,74.67,82.86,89.29,37.71,25.92,38.04,63.17,74.67,82.86,89.29,98.51,98.54,93.33
MLP-minilm,0,6.02,13.51,30.08,40.09,61.05,71.64,14.58,6.02,13.51,30.08,40.09,61.05,71.64,98.32,98.29,93.5
