Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pubmed_runygm2l1i2_BUDDY_hyperk90dt6c0,0.45,9.54,32.54,47.77,69.65,86.55,10.23,0.45,9.54,32.54,47.77,69.65,86.55,98.82,98.47,76.49,128,512,0.01,2,0.1,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyperm4ezak5w,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperc7h9yyfw,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperaamtmwv9,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyperwnhfaiup,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyperusjp1ecf,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper8m4x9bs4,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperf8cy62zg,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyper11yaxwjh,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.1,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyper7ywxvwjg,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyperh49n57wb,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperg89dtlgw,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperduzum1fo,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyper4blmjnts,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyperpr12mq24,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper30h4jnei,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperk9mdd7ej,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyper03c36l1s,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.3,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyper6rzsxn4z,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hypercq7ctdek,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyper6vo97lzg,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyper8wiskn21,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyperszp2lbok,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyper768svyvr,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper98f56qs0,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperntdwdhfq,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyperd5ut3ed3,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,2,0.5,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyper7yn3bvzf,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hypergkdhozf3,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyper81n7dwdc,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hypergvgqmvu7,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyper850p1usr,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyperpyfh8xa0,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper8pa94sdt,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperxws6uu4j,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hypermhe36mh7,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.1,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperldd8tca5,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyperddqa8bcs,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyper37rr1glc,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyper2c5a4ku8,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyper9cku3eax,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyperb104fznc,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyper4gt0y44z,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.01,3,0.3,0.5,0.1
