Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout
pubmed_run84spsww8_ELPH_hyperlz6lb0fa,18.86,27.12,46.93,49.68,56.36,65.88,26.95,18.86,27.12,46.93,49.68,56.36,65.88,91.88,92.69,54.38,128,512,0.01,2,0.1,0.1
pubmed_run84spsww8_ELPH_hyperfli7mr2i,19.0,27.12,46.93,44.72,56.36,62.91,27.2,19.0,27.12,46.93,44.72,56.36,62.91,91.88,92.69,54.38,128,512,0.01,2,0.1,0.3
pubmed_run84spsww8_ELPH_hyper0ag9xnmb,19.0,27.12,46.93,44.72,56.36,62.91,27.2,19.0,27.12,46.93,44.72,56.36,62.91,91.88,92.69,54.38,128,512,0.01,2,0.1,0.5
pubmed_run84spsww8_ELPH_hyperaw7pje1s,19.0,27.12,46.93,46.16,56.36,62.91,27.2,19.0,27.12,46.93,46.16,56.36,62.91,93.36,94.11,54.38,128,512,0.01,2,0.3,0.1
pubmed_run84spsww8_ELPH_hyper820one91,19.0,27.12,46.93,46.16,56.36,65.93,27.2,19.0,27.12,46.93,46.16,56.36,65.93,93.36,94.11,54.38,128,512,0.01,2,0.3,0.3
pubmed_run84spsww8_ELPH_hyperylihyqzn,19.0,26.71,43.41,46.16,56.36,65.93,27.2,19.0,26.71,43.41,46.16,56.36,65.93,93.32,94.11,54.38,128,512,0.01,2,0.3,0.5
pubmed_run84spsww8_ELPH_hyperpi5k0esz,22.16,33.08,44.4,47.29,56.36,65.93,27.62,22.16,33.08,44.4,47.29,56.36,65.93,93.32,94.11,54.38,128,512,0.01,2,0.5,0.1
pubmed_run84spsww8_ELPH_hyperr1vpvy85,22.16,28.61,44.4,47.29,56.36,65.93,27.62,22.16,28.61,44.4,47.29,56.36,65.93,93.32,94.11,54.38,128,512,0.01,2,0.5,0.3
pubmed_run84spsww8_ELPH_hyper1lan131h,22.16,28.61,44.4,47.29,56.36,65.93,27.62,22.16,28.61,44.4,47.29,56.36,65.93,93.32,94.11,54.38,128,512,0.01,2,0.5,0.5
pubmed_run84spsww8_ELPH_hyperi06tcrpj,22.16,28.61,44.4,47.29,56.36,65.93,27.62,22.16,28.61,44.4,47.29,56.36,65.93,93.32,94.11,69.4,128,512,0.01,3,0.1,0.1
pubmed_run84spsww8_ELPH_hypericlxdg40,22.16,28.61,44.4,47.29,56.36,65.93,27.62,22.16,28.61,44.4,47.29,56.36,65.93,93.32,94.11,69.4,128,512,0.01,3,0.1,0.3
