Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pubmed_run<built-in function id>_MLP-bert_hypersg9tf82b,0.5,0.41,0.54,3.47,6.45,11.01,1.12,0.5,0.05,1.13,3.47,6.45,11.01,59.59,59.93,50.02,0.01,64
pubmed_run<built-in function id>_MLP-bert_hyper279skcrl,0.09,2.75,5.42,7.85,15.84,22.07,2.34,0.09,2.75,5.42,7.85,15.84,22.07,67.86,68.32,60.76,0.01,128
pubmed_run<built-in function id>_MLP-bert_hyper4krq61mf,0.45,2.21,5.1,8.66,18.55,24.19,2.46,0.45,2.21,5.1,8.66,18.55,24.19,67.86,68.32,60.76,0.01,256
pubmed_run<built-in function id>_MLP-bert_hyperc8db0fee,0.14,2.21,5.1,8.21,18.55,24.19,2.46,0.14,2.21,5.1,8.21,18.55,24.19,67.86,68.28,60.76,0.01,512
pubmed_run<built-in function id>_MLP-bert_hyperau26xlk6,0.14,2.21,7.31,8.62,18.95,23.33,2.66,0.14,2.21,7.31,8.62,13.9,23.33,71.02,72.32,64.26,0.01,1024
pubmed_run<built-in function id>_MLP-bert_hyperjfsrvmd8,1.17,1.99,7.22,10.88,22.2,25.27,3.36,1.17,1.99,7.22,10.88,22.2,25.27,78.25,77.74,70.67,0.001,64
pubmed_run<built-in function id>_MLP-bert_hyperuxitn50l,2.84,4.56,9.88,14.89,23.65,34.16,5.05,2.84,4.56,9.88,14.89,23.65,34.16,82.06,81.45,74.08,0.001,128
pubmed_run<built-in function id>_MLP-bert_hyperupbxazl3,2.66,5.69,8.8,16.47,26.94,33.71,4.36,2.66,5.69,8.8,16.47,26.94,33.71,83.77,83.21,75.34,0.001,256
pubmed_run<built-in function id>_MLP-bert_hyperc4dcouvb,1.85,5.69,9.7,16.02,25.0,34.48,4.36,1.85,5.69,9.7,16.02,25.0,34.48,83.77,83.21,75.0,0.001,512
pubmed_run<built-in function id>_MLP-bert_hyperpzmyxe3j,1.85,5.69,9.7,13.94,25.23,34.48,4.36,1.85,5.69,9.7,13.94,25.23,34.48,83.77,83.21,74.89,0.001,1024
pubmed_run<built-in function id>_MLP-bert_hyperwj1sd461,1.85,5.69,9.7,16.38,26.71,39.44,4.36,1.85,5.69,9.7,16.38,26.71,39.44,84.6,84.09,75.95,0.0001,64
pubmed_run<built-in function id>_MLP-bert_hypereajzdde7,1.85,5.69,9.7,16.38,26.71,39.44,4.36,1.85,5.69,9.7,16.38,26.71,39.44,84.6,84.09,75.95,0.0001,128
pubmed_run<built-in function id>_MLP-bert_hyperle91olh6,1.85,5.69,9.7,16.38,26.71,39.44,4.36,1.85,5.69,9.7,16.38,26.71,39.44,84.6,84.09,75.95,0.0001,256
pubmed_run<built-in function id>_MLP-bert_hyperrzn45e2z,1.85,5.69,9.7,16.38,26.71,39.44,4.36,1.85,5.69,9.7,16.38,26.71,39.44,84.6,84.09,75.95,0.0001,512
pubmed_run<built-in function id>_MLP-bert_hyper2lyq5499,1.85,5.69,9.7,16.38,26.71,39.44,4.36,1.85,5.69,9.7,16.38,26.71,39.44,84.6,84.09,75.95,0.0001,1024
pubmed_run<built-in function id>_MLP-bert_hyper0q1pzwww,0.0,0.41,2.12,2.93,8.21,13.63,0.88,0.0,0.41,2.12,2.93,8.21,13.63,58.43,59.54,54.04,0.01,64
pubmed_run<built-in function id>_MLP-bert_hypergypmdoji,0.18,2.98,6.72,9.21,18.46,23.24,2.57,0.18,2.98,6.72,9.21,18.46,23.24,64.82,68.34,60.63,0.01,128
pubmed_run<built-in function id>_MLP-bert_hyper69rbiets,0.18,2.71,6.81,8.98,19.45,24.1,2.57,0.18,2.71,6.81,8.98,19.45,24.1,69.04,68.53,62.07,0.01,256
pubmed_run<built-in function id>_MLP-bert_hyperscdgbdf4,0.18,2.71,6.81,8.98,19.45,24.1,2.57,0.18,2.71,6.81,8.98,19.45,24.1,69.04,70.42,62.07,0.01,512
pubmed_run<built-in function id>_MLP-bert_hypero9bqecvy,0.18,2.71,6.81,8.98,19.45,24.1,2.57,0.18,2.71,6.81,8.98,16.38,24.1,69.04,70.42,62.07,0.01,1024
pubmed_run<built-in function id>_MLP-bert_hyper8vb1g0ye,1.31,2.66,8.12,12.95,21.12,30.37,3.71,1.31,2.66,8.12,12.95,21.12,30.55,81.25,80.63,73.69,0.001,64
pubmed_run<built-in function id>_MLP-bert_hyperokzjxfgn,1.31,2.03,8.94,13.76,22.43,32.63,3.71,1.31,2.03,8.94,13.76,22.43,32.63,82.12,81.49,74.44,0.001,128
pubmed_run<built-in function id>_MLP-bert_hyperfb0bx1ai,1.31,2.03,8.94,13.31,22.43,34.7,3.71,1.31,2.03,8.94,13.31,22.43,34.7,82.12,81.49,74.44,0.001,256
pubmed_run<built-in function id>_MLP-bert_hyperowubwxoa,2.08,3.88,10.02,14.58,24.86,35.69,4.99,2.08,3.88,10.02,14.58,24.86,35.69,83.53,83.11,74.46,0.001,512
pubmed_run<built-in function id>_MLP-bert_hyperc0i4gdia,2.08,3.88,10.02,14.58,24.86,35.69,4.99,2.08,3.88,10.02,14.58,24.86,35.69,83.53,83.11,74.98,0.001,1024
pubmed_run<built-in function id>_MLP-bert_hypersw59eez8,2.08,3.88,10.02,14.58,25.59,38.09,4.99,2.08,3.88,10.02,14.58,25.59,38.09,84.64,84.35,76.2,0.0001,64
pubmed_run<built-in function id>_MLP-bert_hyperu6890fr8,2.08,3.88,10.02,14.58,28.61,38.09,4.99,2.08,3.88,10.02,14.58,28.61,38.09,84.64,84.35,76.2,0.0001,128
pubmed_run<built-in function id>_MLP-bert_hyperzlqy88mw,2.08,3.88,10.02,14.58,28.61,38.09,4.99,2.08,3.88,10.02,14.58,28.61,38.09,84.64,84.35,76.2,0.0001,256
pubmed_run<built-in function id>_MLP-bert_hyper2wo8o4z6,2.08,3.88,10.02,14.58,28.61,38.09,4.99,2.08,3.88,10.02,14.58,28.61,38.09,84.64,84.35,76.2,0.0001,512
pubmed_run<built-in function id>_MLP-bert_hypereu2tjexd,2.08,3.88,10.02,14.58,28.61,38.09,4.99,2.08,3.88,10.02,14.58,28.61,38.09,84.64,84.35,76.2,0.0001,1024
pubmed_run<built-in function id>_MLP-bert_hyper35g8si3m,0.27,1.71,4.56,7.94,15.61,21.48,2.29,0.27,1.71,4.56,7.94,15.61,21.48,60.22,64.54,60.2,0.01,64
pubmed_run<built-in function id>_MLP-bert_hyperqkyj6jl4,0.23,1.49,7.08,9.39,18.19,23.65,2.84,0.23,1.49,7.08,9.39,18.19,23.65,64.62,68.42,61.06,0.01,128
pubmed_run<built-in function id>_MLP-bert_hyperirrqb3ki,0.23,1.49,7.08,9.39,18.19,23.65,2.84,0.23,1.49,7.08,9.39,18.19,23.65,70.73,70.86,63.72,0.01,256
pubmed_run<built-in function id>_MLP-bert_hypery3k9zgr5,0.23,1.49,7.08,9.39,18.19,23.65,2.84,0.23,1.49,7.08,9.39,18.19,23.65,70.73,70.86,63.72,0.01,512
pubmed_run<built-in function id>_MLP-bert_hyper4wlrlqko,0.23,1.49,7.08,9.39,18.19,23.65,2.84,0.23,1.49,7.08,9.39,18.19,23.65,70.73,70.86,63.2,0.01,1024
pubmed_run<built-in function id>_MLP-bert_hyperzpy04ulq,1.35,4.38,7.94,15.88,22.38,32.81,4.27,1.35,4.38,7.94,15.88,22.38,32.81,81.7,81.05,73.33,0.001,64
pubmed_run<built-in function id>_MLP-bert_hypervg32r577,1.35,4.38,7.94,15.88,22.38,32.81,4.27,1.35,4.38,7.94,15.88,22.38,32.81,81.7,81.05,73.33,0.001,128
pubmed_run<built-in function id>_MLP-bert_hyperh2tyl4lv,1.85,2.84,7.94,12.68,23.69,32.76,3.83,1.85,2.84,7.94,12.68,23.69,32.76,82.06,81.45,73.56,0.001,256
pubmed_run<built-in function id>_MLP-bert_hypert57x72e2,1.85,2.84,10.79,17.33,23.33,37.95,4.56,1.85,2.84,10.79,17.33,23.33,37.95,84.03,83.5,75.81,0.001,512
pubmed_run<built-in function id>_MLP-bert_hyperky542tct,1.85,2.84,10.79,17.33,24.68,36.96,4.56,1.85,2.84,10.79,17.33,24.68,36.96,84.14,83.81,75.72,0.001,1024
pubmed_run<built-in function id>_MLP-bert_hyperx1db00c0,1.85,2.84,10.15,15.43,27.26,38.22,4.56,1.85,2.84,10.15,15.43,27.26,38.22,84.93,84.39,77.19,0.0001,64
pubmed_run<built-in function id>_MLP-bert_hypero1ppsjyc,1.85,2.84,10.15,15.43,27.26,38.22,4.56,1.85,2.84,10.15,15.43,27.26,38.22,84.51,84.39,75.88,0.0001,128
pubmed_run<built-in function id>_MLP-bert_hyperpe3hladf,1.85,2.84,10.15,15.43,27.26,38.22,4.56,1.85,2.84,10.15,15.43,27.26,38.22,84.51,84.39,75.88,0.0001,256
