Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pubmed_run<built-in function id>_MLP-llama_hypernspf7wcg,7.04,18.68,35.56,51.04,69.72,81.95,19.03,7.04,18.68,35.56,51.04,69.72,81.95,96.01,95.93,89.98,0.01,64
pubmed_run<built-in function id>_MLP-llama_hyperilav3v16,13.49,21.98,48.47,52.84,75.14,85.74,22.48,13.49,21.98,48.47,52.84,75.14,85.74,97.12,97.02,91.7,0.01,128
pubmed_run<built-in function id>_MLP-llama_hyperfs4p2m9y,13.49,21.98,48.47,52.84,75.14,85.74,22.48,13.49,21.98,48.47,52.84,75.14,85.74,97.12,97.02,91.7,0.01,256
pubmed_run<built-in function id>_MLP-llama_hypers1udtbbp,13.49,21.98,48.47,52.84,75.14,85.74,22.48,13.49,21.98,48.47,52.84,75.14,85.74,97.12,97.02,91.7,0.01,512
pubmed_run<built-in function id>_MLP-llama_hypercsag3anu,13.49,21.98,48.47,52.84,75.14,85.74,22.48,13.49,21.98,48.47,52.84,75.14,85.74,97.12,97.02,91.7,0.01,1024
pubmed_run<built-in function id>_MLP-llama_hyperpwm1sjqy,13.49,21.98,48.47,52.84,75.14,85.74,22.48,13.49,21.98,48.47,52.84,75.14,85.74,97.12,97.02,91.7,0.01,2048
pubmed_run<built-in function id>_MLP-llama_hyper42a2osg6,24.14,37.41,53.29,63.58,77.26,88.49,25.84,24.14,37.41,53.29,63.58,77.26,88.49,97.76,97.66,92.31,0.001,64
pubmed_run<built-in function id>_MLP-llama_hyperk0cy9cok,24.14,37.41,50.68,63.58,77.26,88.49,25.84,24.14,37.41,50.68,63.58,77.26,88.49,97.64,97.52,92.49,0.001,128
pubmed_run<built-in function id>_MLP-llama_hypermnqo64sa,3.47,37.41,50.68,61.87,77.26,88.0,22.68,3.47,37.41,50.68,61.87,77.26,88.0,97.82,97.71,92.71,0.001,256
pubmed_run<built-in function id>_MLP-llama_hyperoo77mksk,3.47,37.41,50.68,61.87,77.75,88.0,22.68,3.47,37.41,50.68,61.87,77.75,88.0,97.9,97.77,92.6,0.001,512
pubmed_run<built-in function id>_MLP-llama_hypernlve9j2e,3.47,24.91,51.13,63.4,76.44,88.0,22.68,3.47,24.91,51.13,63.4,76.44,88.0,97.9,97.65,92.6,0.001,1024
pubmed_run<built-in function id>_MLP-llama_hyperu7cpjx8a,3.47,24.91,51.13,64.53,76.44,88.0,22.68,3.47,24.91,51.13,64.53,76.44,88.0,97.9,97.65,92.6,0.001,2048
pubmed_run<built-in function id>_MLP-llama_hyperneb9emss,3.47,24.91,51.13,64.53,77.53,89.71,22.68,3.47,24.91,51.13,64.53,77.53,89.71,97.89,97.7,92.96,0.0001,64
pubmed_run<built-in function id>_MLP-llama_hypery37ccedi,3.47,24.91,51.13,64.53,77.53,89.71,22.68,3.47,24.91,51.13,64.53,77.53,89.71,97.95,97.85,93.1,0.0001,128
pubmed_run<built-in function id>_MLP-llama_hyper1bfhmfws,3.47,22.34,51.13,64.53,77.53,90.34,22.68,3.47,22.34,51.13,64.53,77.53,90.34,97.98,97.89,93.1,0.0001,256
pubmed_run<built-in function id>_MLP-llama_hypervi0t1dvh,3.47,20.94,51.13,64.53,77.53,90.34,22.68,3.47,20.94,51.13,64.53,77.53,90.34,97.98,97.89,93.1,0.0001,512
pubmed_run<built-in function id>_MLP-llama_hyper1ujqu5fc,3.47,24.37,51.13,64.53,77.53,90.34,22.68,3.47,24.37,51.13,64.53,77.53,90.34,97.98,97.89,93.1,0.0001,1024
pubmed_run<built-in function id>_MLP-llama_hyper5c7q5bdb,3.47,24.37,51.13,64.53,77.53,90.34,22.68,3.47,24.37,51.13,64.53,77.53,90.34,97.98,97.89,93.1,0.0001,2048
Best,24.14,37.41,53.29,64.53,77.75,90.34,25.84,24.14,37.41,53.29,64.53,77.75,90.34,97.98,97.89,93.1,0.01,2048
