Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pubmed_run<built-in function id>_MLP-minilm_hypere3as76a6,15.03,17.82,32.27,51.04,72.47,81.09,20.11,15.03,17.82,32.27,51.04,72.47,81.09,96.18,96.14,90.28,0.01,64
pubmed_run<built-in function id>_MLP-minilm_hyperqyyzhhqg,10.69,17.82,32.27,49.68,72.25,81.18,21.63,10.69,17.82,32.27,49.68,72.25,81.18,96.26,96.19,90.28,0.01,128
pubmed_run<built-in function id>_MLP-minilm_hyperzfepjgny,10.69,17.82,29.74,49.68,72.25,81.18,16.51,10.69,17.82,29.74,49.68,72.25,81.18,96.36,96.25,90.34,0.01,256
pubmed_run<built-in function id>_MLP-minilm_hypertv59etej,10.69,17.82,28.66,49.68,72.25,81.18,16.51,10.69,17.82,28.66,49.68,72.25,81.18,96.39,96.3,90.55,0.01,512
pubmed_run<built-in function id>_MLP-minilm_hyperhp5mtf5r,10.69,17.82,28.66,49.68,72.92,82.76,16.51,10.69,17.82,28.66,49.68,72.92,82.76,96.45,96.35,90.59,0.01,1024
pubmed_run<built-in function id>_MLP-minilm_hyper1ivmb4cl,10.69,17.82,28.66,49.68,72.47,83.21,16.51,10.69,17.82,28.66,49.68,72.47,83.21,96.5,96.36,90.97,0.001,64
pubmed_run<built-in function id>_MLP-minilm_hypern8au2etk,10.69,17.82,28.66,49.68,72.7,83.21,16.51,10.69,17.82,28.66,49.68,72.7,83.21,96.5,96.36,90.97,0.001,128
pubmed_run<built-in function id>_MLP-minilm_hyperwyoo2aeh,10.69,17.82,28.66,49.68,72.7,83.21,16.51,10.69,17.82,28.66,49.68,72.7,83.21,96.5,96.36,90.97,0.001,256
pubmed_run<built-in function id>_MLP-minilm_hyper49hoqpnd,10.69,17.82,28.66,49.68,72.7,83.21,16.51,10.69,17.82,28.66,49.68,72.7,83.21,96.5,96.36,90.97,0.001,512
Best,15.03,17.82,32.27,51.04,72.92,83.21,21.63,15.03,17.82,32.27,51.04,72.92,83.21,96.5,96.36,90.97,0.01,1024
