Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,probscale,pt,proboffset,batch_size
pubmed_runon2yzl5g_NCNC_hyperg384y9vn,1.49,26.24,59.88,83.82,94.83,98.71,17.72,1.49,26.24,59.88,83.82,94.83,98.71,99.63,99.41,98.17,1.0,0.0,0.5,2048
pubmed_runon2yzl5g_NCNC_hypernpr9sl0p,8.89,26.24,48.58,79.44,97.45,98.89,21.97,8.89,26.24,48.58,79.44,97.45,98.89,99.63,99.43,98.15,1.0,0.1,0.5,2048
pubmed_runon2yzl5g_NCNC_hyperhozqx1wr,8.89,8.73,46.05,79.44,97.45,98.89,21.97,8.89,8.73,46.05,79.44,97.45,98.89,99.63,99.43,98.15,1.0,0.3,0.5,2048
pubmed_runon2yzl5g_NCNC_hyperrmtx8dby,3.29,16.43,46.05,71.07,96.41,98.89,16.4,3.29,16.43,46.05,71.07,96.41,98.89,99.63,99.44,98.15,1.0,0.5,0.5,2048
pubmed_runon2yzl5g_NCNC_hyperlacygyiz,3.29,16.43,46.05,71.07,96.41,98.89,16.4,3.29,16.43,46.05,71.07,96.41,98.89,99.63,99.44,98.15,1.0,0.75,0.5,2048
pubmed_runon2yzl5g_NCNC_hyperfgtnrjcq,3.29,16.43,46.05,71.07,96.41,98.89,16.4,3.29,16.43,46.05,71.07,96.41,98.89,99.63,99.44,98.15,1.0,0.0,1.0,2048
pubmed_runon2yzl5g_NCNC_hyper90dm9gnw,3.29,16.43,46.05,75.43,96.41,99.01,16.4,3.29,16.43,46.05,75.43,96.41,99.01,99.63,99.44,98.15,1.0,0.1,1.0,2048
pubmed_runon2yzl5g_NCNC_hypersa1223c3,3.29,16.43,46.05,75.43,96.41,99.01,16.4,3.29,16.43,46.05,75.43,96.41,99.01,99.63,99.44,98.15,1.0,0.3,1.0,2048
pubmed_runon2yzl5g_NCNC_hyperxyiw6fwi,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.5,1.0,2048
pubmed_runon2yzl5g_NCNC_hypers283emys,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.75,1.0,2048
pubmed_runon2yzl5g_NCNC_hyperr31hyra1,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.0,2.0,2048
pubmed_runon2yzl5g_NCNC_hypero1svsesx,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.1,2.0,2048
pubmed_runon2yzl5g_NCNC_hyper5nhpyy7l,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.3,2.0,2048
pubmed_runon2yzl5g_NCNC_hyper2wp7wj9u,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.5,2.0,2048
pubmed_runon2yzl5g_NCNC_hypertxqtkfjw,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.75,2.0,2048
pubmed_runon2yzl5g_NCNC_hypersfoijdpw,3.29,16.43,45.76,68.57,97.04,99.01,16.4,3.29,16.43,45.76,68.57,97.04,99.01,99.61,99.4,98.15,1.0,0.0,2.8,2048
pubmed_runon2yzl5g_NCNC_hyper1b6ddfqm,3.29,37.36,70.67,85.47,97.04,98.89,16.4,3.29,37.36,70.67,85.47,97.04,98.89,99.61,99.4,98.15,1.0,0.1,2.8,2048
pubmed_runon2yzl5g_NCNC_hypermcpolca3,3.29,37.36,70.67,85.47,97.04,98.89,16.4,3.29,37.36,70.67,85.47,97.04,98.89,99.61,99.4,98.15,1.0,0.3,2.8,2048
pubmed_runon2yzl5g_NCNC_hyper5srcpo4h,3.29,37.36,70.67,85.47,97.43,98.89,16.4,3.29,37.36,70.67,85.47,97.43,98.89,99.61,99.4,98.15,1.0,0.5,2.8,2048
pubmed_runon2yzl5g_NCNC_hyperohlgxdn3,3.29,37.36,70.67,85.47,97.43,98.89,16.4,3.29,37.36,70.67,85.47,97.43,98.89,99.61,99.4,98.15,1.0,0.75,2.8,2048
pubmed_runon2yzl5g_NCNC_hyperxlj8dv5y,3.29,37.36,70.67,85.47,97.43,98.89,16.4,3.29,37.36,70.67,85.47,97.43,98.89,99.61,99.4,98.15,1.0,0.0,3.0,2048
pubmed_runon2yzl5g_NCNC_hyper0sw8jexi,5.87,40.07,75.9,92.08,98.44,99.23,29.87,5.87,40.07,75.9,92.08,98.44,99.23,99.76,99.71,98.15,1.0,0.1,3.0,2048
pubmed_runon2yzl5g_NCNC_hyperhnn9mqzz,5.87,40.07,75.9,92.08,98.44,99.23,29.87,5.87,40.07,75.9,92.08,98.44,99.23,99.76,99.71,98.15,1.0,0.3,3.0,2048
pubmed_runon2yzl5g_NCNC_hyperhr5o3g23,5.87,24.28,75.9,92.08,98.44,99.23,29.87,5.87,24.28,75.9,92.08,98.44,99.23,99.76,99.71,98.15,1.0,0.5,3.0,2048
pubmed_runon2yzl5g_NCNC_hyperfgy8n671,5.87,24.28,75.9,92.08,98.44,99.23,29.87,5.87,24.28,75.9,92.08,98.44,99.23,99.76,99.71,98.15,1.0,0.75,3.0,2048
pubmed_runon2yzl5g_NCNC_hyperj3y5tdz4,5.87,24.28,75.9,92.08,98.44,99.23,29.87,5.87,24.28,75.9,92.08,98.44,99.23,99.76,99.71,98.15,1.0,0.0,4.0,2048
pubmed_runon2yzl5g_NCNC_hyperr74dcd9b,5.87,21.91,83.96,94.45,98.31,99.1,19.57,5.87,21.91,83.96,94.45,98.31,99.1,99.78,99.66,98.52,1.0,0.1,4.0,2048
pubmed_runon2yzl5g_NCNC_hyperm7bdejl3,5.55,17.42,73.98,94.45,98.31,99.1,22.07,5.55,17.42,73.98,94.45,98.31,99.1,99.78,99.66,98.52,1.0,0.3,4.0,2048
pubmed_runon2yzl5g_NCNC_hyper1ui0a20x,5.55,33.06,73.98,94.45,98.31,99.1,22.07,5.55,33.06,73.98,94.45,98.31,99.1,99.78,99.66,98.52,1.0,0.5,4.0,2048
pubmed_runon2yzl5g_NCNC_hypercjsvonz3,5.55,33.06,73.98,94.45,98.31,99.1,22.07,5.55,33.06,73.98,94.45,98.31,99.1,99.78,99.66,98.52,1.0,0.75,4.0,2048
pubmed_run7n01p1fe_NCNC_hypershr1842e,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2048
pubmed_run7n01p1fe_NCNC_hyperl7w1i7b0,,,,,,,,,,,,,,,,,2.0,0.1,0.0,2048
pubmed_run7n01p1fe_NCNC_hyper6prtffby,,,,,,,,,,,,,,,,,2.0,0.3,0.0,2048
pubmed_run7n01p1fe_NCNC_hyperrg9vmhxu,,,,,,,,,,,,,,,,,2.0,0.5,0.0,2048
pubmed_runc0jcvrzb_NCNC_hyperl5uuk1a1,15.03,17.19,43.82,68.34,90.46,97.63,16.2,15.03,17.19,43.82,68.34,90.46,97.63,99.48,99.27,97.44,2.0,0.0,0.0,2048
pubmed_runc0jcvrzb_NCNC_hyperrkq78miw,2.89,23.33,59.0,77.12,96.91,98.71,16.29,2.89,23.33,59.0,77.12,96.91,98.71,99.66,99.58,98.05,2.0,0.1,0.0,2048
pubmed_runc0jcvrzb_NCNC_hyperjf9epzp2,2.89,23.33,59.0,77.12,96.91,98.71,16.29,2.89,23.33,59.0,77.12,96.91,98.71,99.66,99.56,98.05,2.0,0.3,0.0,2048
pubmed_runc0jcvrzb_NCNC_hyperq4smif97,2.89,23.33,59.0,83.08,96.91,98.71,16.29,2.89,23.33,59.0,83.08,96.91,98.71,99.66,99.56,98.35,2.0,0.5,0.0,2048
pubmed_runc0jcvrzb_NCNC_hypere0vw8t2q,2.89,23.33,59.0,83.08,94.7,98.71,16.29,2.89,23.33,59.0,83.08,94.7,98.71,99.66,99.56,98.35,2.0,0.75,0.0,2048
pubmed_runc0jcvrzb_NCNC_hyperdkhdppd2,2.89,23.33,59.0,83.08,94.7,98.71,16.29,2.89,23.33,59.0,83.08,94.7,98.71,99.66,99.56,98.35,2.0,0.0,1.0,2048
pubmed_runc0jcvrzb_NCNC_hyperxevrstyg,2.89,23.33,59.0,83.24,98.33,99.07,16.29,2.89,23.33,59.0,83.24,98.33,99.07,99.69,99.61,98.35,2.0,0.1,1.0,2048
pubmed_runc0jcvrzb_NCNC_hyperho9wnglo,2.89,23.33,59.0,83.24,98.33,99.07,16.29,2.89,23.33,59.0,83.24,98.33,99.07,99.69,99.61,98.35,2.0,0.3,1.0,2048
pubmed_runc0jcvrzb_NCNC_hyperu4r3zxw0,2.89,23.33,59.77,83.24,98.33,99.07,16.29,2.89,23.33,59.77,83.24,98.33,99.07,99.69,99.51,98.35,2.0,0.5,1.0,2048
pubmed_runc0jcvrzb_NCNC_hyperrq821e36,2.89,23.33,59.77,83.24,98.33,99.07,16.29,2.89,23.33,59.77,83.24,98.33,99.07,99.69,99.51,97.99,2.0,0.75,1.0,2048
pubmed_runc0jcvrzb_NCNC_hyperlaxb3b8n,2.89,23.33,59.77,83.24,98.33,99.07,16.29,2.89,23.33,59.77,83.24,98.33,99.07,99.69,99.51,97.99,2.0,0.0,2.0,2048
pubmed_runc0jcvrzb_NCNC_hypervf9vrw75,6.54,18.3,66.99,85.06,98.22,99.07,18.89,6.54,18.3,66.99,85.06,98.22,99.07,99.72,99.66,97.99,2.0,0.1,2.0,2048
pubmed_runc0jcvrzb_NCNC_hyper36pnuotk,6.54,18.3,66.99,85.06,98.22,99.07,18.89,6.54,18.3,66.99,85.06,98.22,99.07,99.72,99.66,97.99,2.0,0.3,2.0,2048
pubmed_runc0jcvrzb_NCNC_hyperhos9bf3g,6.54,18.3,66.99,85.06,98.22,99.07,18.89,6.54,18.3,66.99,85.06,98.22,99.07,99.72,99.66,97.99,2.0,0.5,2.0,2048
pubmed_runc0jcvrzb_NCNC_hyperjr7cj7r7,6.54,18.3,66.99,85.06,98.22,99.07,18.89,6.54,18.3,66.99,85.06,98.22,99.07,99.72,99.66,97.99,2.0,0.75,2.0,2048
pubmed_runc0jcvrzb_NCNC_hyperx56ktukk,6.54,18.3,66.99,85.06,98.22,99.07,18.89,6.54,18.3,66.99,85.06,98.22,99.07,99.72,99.66,97.99,2.0,0.0,2.8,2048
pubmed_runc0jcvrzb_NCNC_hyper0q0m0tso,0.43,8.96,71.05,90.43,98.22,98.89,17.69,0.43,8.96,71.05,90.43,98.22,98.89,99.72,99.68,98.42,2.0,0.1,2.8,2048
pubmed_runc0jcvrzb_NCNC_hypertsje1ndd,0.43,8.96,67.46,90.43,98.24,98.98,17.69,0.43,8.96,67.46,90.43,98.24,98.98,99.72,99.68,98.42,2.0,0.3,2.8,2048
pubmed_runjtl8lrd3_NCNC_hyper43rhwnol,,,,,,,,,,,,,,,,,4.0,0.0,0.0,2048
pubmed_runjtl8lrd3_NCNC_hyperfddc68pw,4.51,17.94,50.68,80.73,95.71,99.12,24.78,4.51,17.94,50.68,80.73,95.71,99.12,99.66,99.52,98.32,4.0,0.1,0.0,2048
pubmed_runjtl8lrd3_NCNC_hyper1czusbe1,8.12,22.31,50.68,80.73,95.71,99.12,22.07,8.12,22.31,50.68,80.73,95.71,99.12,99.66,99.52,98.32,4.0,0.3,0.0,2048
pubmed_runjtl8lrd3_NCNC_hyperwy5dnz5s,8.12,22.31,50.68,80.73,95.71,99.12,22.07,8.12,22.31,50.68,80.73,95.71,99.12,99.66,99.52,98.32,4.0,0.5,0.0,2048
pubmed_runjtl8lrd3_NCNC_hypertpwxz8ic,8.12,22.31,50.68,80.73,95.71,99.12,22.07,8.12,22.31,50.68,80.73,95.71,99.12,99.66,99.52,98.32,4.0,0.75,0.0,2048
