Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
pubmed_run09zkr755_NCN_hyper9pmt3eoj,4.02,38.09,61.15,74.41,90.66,97.25,19.57,4.02,38.09,61.15,74.41,90.66,97.25,99.15,99.06,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
pubmed_run09zkr755_NCN_hyper5bynbil8,4.02,38.09,61.15,74.41,91.29,96.71,19.57,4.02,38.09,61.15,74.41,91.29,96.71,99.14,99.0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
pubmed_run09zkr755_NCN_hyper2y8vqqcm,4.02,30.19,70.13,83.3,91.29,97.11,19.57,4.02,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
pubmed_run09zkr755_NCN_hypertnk1hwt3,4.02,30.19,70.13,83.3,91.29,97.11,19.57,4.02,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
pubmed_run09zkr755_NCN_hyperubjezhxg,19.4,30.19,70.13,83.3,91.29,97.11,28.48,19.4,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
pubmed_run09zkr755_NCN_hyperk0yro5oa,19.4,30.19,70.13,83.3,91.29,97.11,28.48,19.4,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
pubmed_run09zkr755_NCN_hyper9bg3bl8j,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
pubmed_run09zkr755_NCN_hyper4jgfdpbq,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
pubmed_run09zkr755_NCN_hyper8x0zoc3c,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
pubmed_run09zkr755_NCN_hyperukuno30y,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
pubmed_run09zkr755_NCN_hyperh9u4xyh2,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
pubmed_run09zkr755_NCN_hyperlpphki32,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
pubmed_run09zkr755_NCN_hyperxadjr1hh,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
pubmed_run09zkr755_NCN_hyper2fgeqnjp,9.61,30.19,70.13,83.3,91.29,97.11,23.72,9.61,30.19,70.13,83.3,91.29,97.11,99.18,99.03,95.92,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
