Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
pubmed_runlrsoyy2r_NCN_hyperb1brhjnp,36.6,50.27,62.77,78.7,90.12,96.25,45.94,36.6,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
pubmed_runlrsoyy2r_NCN_hypert4nj5txy,36.6,50.27,62.77,78.7,90.12,96.25,45.94,36.6,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
pubmed_runlrsoyy2r_NCN_hypermntzk7ms,36.6,50.27,62.77,78.7,90.12,96.25,45.94,36.6,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
pubmed_runlrsoyy2r_NCN_hyperiasm6l93,22.56,50.27,62.77,78.7,90.12,96.25,45.94,22.56,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
pubmed_runlrsoyy2r_NCN_hyperops87wwb,22.56,50.27,62.77,78.7,90.12,96.25,45.94,22.56,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
pubmed_runlrsoyy2r_NCN_hypernzvfopfj,22.56,50.27,62.77,78.7,90.12,96.25,45.94,22.56,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
pubmed_runlrsoyy2r_NCN_hyperruc96shh,22.56,50.27,62.77,78.7,90.12,96.25,45.94,22.56,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
pubmed_runlrsoyy2r_NCN_hyperuazpc44a,21.66,50.27,62.77,78.7,90.12,96.25,34.56,21.66,50.27,62.77,78.7,90.12,96.25,99.13,98.99,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
pubmed_runlrsoyy2r_NCN_hyper3np23utz,21.66,51.17,62.77,78.7,90.12,96.25,41.43,21.66,51.17,62.77,78.7,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
pubmed_runlrsoyy2r_NCN_hyperdu53bk9d,21.66,51.17,62.77,78.7,90.12,96.25,41.43,21.66,51.17,62.77,78.7,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
pubmed_runlrsoyy2r_NCN_hyper9pcxjr8m,21.66,51.17,62.77,78.7,90.12,96.25,41.43,21.66,51.17,62.77,78.7,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
pubmed_runlrsoyy2r_NCN_hyperid4iw1r3,21.66,51.17,62.77,78.7,90.12,96.25,41.43,21.66,51.17,62.77,78.7,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
pubmed_runlrsoyy2r_NCN_hyperkg6m2l7h,21.66,51.17,62.77,71.71,90.12,96.25,41.43,21.66,51.17,62.77,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
pubmed_runlrsoyy2r_NCN_hyper3y317n1b,21.66,51.17,62.77,71.71,90.12,96.25,41.43,21.66,51.17,62.77,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
pubmed_runlrsoyy2r_NCN_hyperzu8gd1nf,21.66,51.17,62.77,71.71,90.12,96.25,41.43,21.66,51.17,62.77,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
pubmed_runlrsoyy2r_NCN_hyperssixeg54,21.66,51.17,62.77,71.71,90.12,96.25,41.43,21.66,51.17,62.77,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
pubmed_runlrsoyy2r_NCN_hypervs5y0cgb,23.33,51.17,62.77,71.71,90.12,96.25,33.0,23.33,51.17,62.77,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,256
pubmed_runlrsoyy2r_NCN_hyperc3it1sxj,23.33,51.17,62.77,71.71,90.12,96.25,33.0,23.33,51.17,62.77,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,256
pubmed_runlrsoyy2r_NCN_hyperfg72vgqi,23.33,54.6,65.48,71.71,90.12,96.25,33.0,23.33,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,256
pubmed_runlrsoyy2r_NCN_hyperam6soaw8,23.33,54.6,65.48,71.71,90.12,96.25,33.0,23.33,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,256
pubmed_runlrsoyy2r_NCN_hyper16bisbch,23.33,54.6,65.48,71.71,90.12,96.25,33.0,23.33,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,512
pubmed_runlrsoyy2r_NCN_hyperptq6c17m,23.33,54.6,65.48,71.71,90.12,96.25,33.0,23.33,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,512
pubmed_runlrsoyy2r_NCN_hyperhcu61mim,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,512
pubmed_runlrsoyy2r_NCN_hypersswhegde,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,512
pubmed_runlrsoyy2r_NCN_hyperurnkohzp,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,1024
pubmed_runlrsoyy2r_NCN_hypercnbo1wq3,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,1024
pubmed_runlrsoyy2r_NCN_hyperlfj6ysgm,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,1024
pubmed_runlrsoyy2r_NCN_hypertas6bql3,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,1024
pubmed_runlrsoyy2r_NCN_hyperf5bw5djh,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,2048
pubmed_runlrsoyy2r_NCN_hyperdd9w92pi,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,2048
pubmed_runlrsoyy2r_NCN_hyperkdqyv4xc,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,2048
pubmed_runlrsoyy2r_NCN_hyper6sdedc8s,41.97,54.6,65.48,71.71,90.12,96.25,33.0,41.97,54.6,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,2048
pubmed_runlrsoyy2r_NCN_hyperxf6drmfr,41.97,52.62,65.48,71.71,90.12,96.25,33.0,41.97,52.62,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
pubmed_runlrsoyy2r_NCN_hyperp4yp8m5e,41.97,52.62,65.48,71.71,90.12,96.25,33.0,41.97,52.62,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
pubmed_runlrsoyy2r_NCN_hyperl8tducjf,41.97,52.62,65.48,71.71,90.12,96.25,33.0,41.97,52.62,65.48,71.71,90.12,96.25,99.13,98.99,95.71,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
