Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
pubmed_run<built-in function id>_NCN_hyper4l0movi8,1.94,18.12,46.48,56.68,84.59,96.48,16.52,1.94,18.12,46.48,56.68,84.59,96.48,99.36,99.14,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
pubmed_run<built-in function id>_NCN_hyper3upv9azd,1.94,18.12,36.42,56.68,84.59,96.48,16.52,1.94,18.12,36.42,56.68,84.59,96.48,99.36,99.14,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
pubmed_run<built-in function id>_NCN_hyperf1addkl3,4.17,16.02,41.7,56.97,84.59,95.04,16.82,4.17,16.02,41.7,56.97,84.59,95.04,99.36,99.14,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
pubmed_run<built-in function id>_NCN_hyperxlg6cvq6,4.17,12.05,41.7,56.97,84.59,95.04,16.82,4.17,12.05,41.7,56.97,84.59,95.04,99.36,99.14,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
pubmed_run<built-in function id>_NCN_hyperqrxq1e5y,4.17,21.75,41.7,56.97,84.59,95.04,16.82,4.17,21.75,41.7,56.97,84.59,95.04,99.36,99.14,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
pubmed_run<built-in function id>_NCN_hyperhmge6795,4.17,21.75,41.7,56.97,84.59,95.04,16.82,4.17,21.75,41.7,56.97,84.59,95.04,99.36,99.14,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
pubmed_run<built-in function id>_NCN_hyperzmx51y3k,4.17,22.09,42.71,56.14,81.93,95.04,17.97,4.17,22.09,42.71,56.14,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
pubmed_run<built-in function id>_NCN_hyper91ixilxj,4.17,22.09,42.71,56.14,81.93,95.04,17.97,4.17,22.09,42.71,56.14,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
pubmed_run<built-in function id>_NCN_hyper418s04ot,4.17,22.09,42.71,56.14,81.93,95.04,17.97,4.17,22.09,42.71,56.14,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
pubmed_run<built-in function id>_NCN_hyperhz3uw6sl,4.17,22.09,42.71,56.14,81.93,95.04,17.97,4.17,22.09,42.71,56.14,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
pubmed_run<built-in function id>_NCN_hypervrzd6i30,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
pubmed_run<built-in function id>_NCN_hyperexx0hbrd,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
pubmed_run<built-in function id>_NCN_hypercrfvp317,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
pubmed_run<built-in function id>_NCN_hyperr3lgwaib,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
pubmed_run<built-in function id>_NCN_hyperefs9qvl9,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
pubmed_run<built-in function id>_NCN_hyperev2s7e89,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
pubmed_run<built-in function id>_NCN_hyper9w3i1wm8,4.17,13.13,42.71,60.09,81.93,95.04,17.97,4.17,13.13,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,256
pubmed_run<built-in function id>_NCN_hyperonbvyilb,4.17,6.18,42.71,60.09,81.93,95.04,17.97,4.17,6.18,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,256
pubmed_run<built-in function id>_NCN_hypereeexinvd,4.17,18.41,42.71,60.09,81.93,95.04,17.97,4.17,18.41,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,256
pubmed_run<built-in function id>_NCN_hyperrhjibt8y,4.17,18.41,42.71,60.09,81.93,95.04,17.97,4.17,18.41,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,256
pubmed_run<built-in function id>_NCN_hypergnhrycum,4.17,18.41,42.71,60.09,81.93,95.04,17.97,4.17,18.41,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,512
pubmed_run<built-in function id>_NCN_hypernb0poy4k,4.17,18.41,42.71,60.09,81.93,95.04,17.97,4.17,18.41,42.71,60.09,81.93,95.04,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,512
pubmed_run<built-in function id>_NCN_hyperi0e2lc5f,4.17,18.41,42.71,60.09,81.93,96.1,17.97,4.17,18.41,42.71,60.09,81.93,96.1,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,512
pubmed_run<built-in function id>_NCN_hyperv71ss8s9,4.17,18.41,42.71,60.09,81.93,96.1,17.97,4.17,18.41,42.71,60.09,81.93,96.1,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,512
pubmed_run<built-in function id>_NCN_hyperhhjkbt69,4.17,18.41,42.71,60.09,81.93,96.1,17.97,4.17,18.41,42.71,60.09,81.93,96.1,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,1024
pubmed_run<built-in function id>_NCN_hyper7w0jq66v,4.17,18.41,42.71,60.09,81.93,96.1,17.97,4.17,18.41,42.71,60.09,81.93,96.1,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,1024
pubmed_run<built-in function id>_NCN_hyperataexnla,4.17,18.41,42.71,60.09,81.93,96.1,17.97,4.17,18.41,42.71,60.09,81.93,96.1,99.34,99.12,97.99,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,1024
