Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,mlp_num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
pubmed_runvgosstnu_NeoGNN_hyper9lls2xa0,24.05,38.31,50.99,58.39,66.83,69.58,38.35,24.05,38.31,50.99,58.39,66.83,69.58,84.01,85.84,79.81,256,1,2,128,8,0.0,256,0.01
pubmed_rundmluuti4_NeoGNN_hyper5tl8qg0h,34.57,38.76,54.74,61.51,68.5,83.12,39.12,34.57,38.76,54.74,61.51,68.5,83.12,97.43,97.45,74.64,256,1,2,128,8,0.0,256,0.01
pubmed_rundmluuti4_NeoGNN_hyper3kh205x3,34.57,38.76,50.59,61.51,68.5,83.12,39.12,34.57,38.76,50.59,61.51,68.5,83.12,97.43,97.45,76.87,256,1,2,128,8,0.0,256,0.001
pubmed_rundmluuti4_NeoGNN_hyper6vlff6yc,34.57,38.76,46.71,61.51,68.5,83.12,39.12,34.57,38.76,46.71,61.51,68.5,83.12,97.43,97.45,80.26,256,1,2,128,8,0.0,256,0.0001
pubmed_rundmluuti4_NeoGNN_hyper3f38qsxz,34.57,38.76,46.71,61.51,68.5,83.12,39.12,34.57,38.76,46.71,61.51,68.5,83.12,97.43,97.45,81.11,256,1,2,128,8,0.0,512,0.01
pubmed_rundmluuti4_NeoGNN_hyper1oig4ntk,34.57,38.76,50.45,61.51,68.5,83.12,39.12,34.57,38.76,50.45,61.51,68.5,83.12,97.43,97.45,81.11,256,1,2,128,8,0.0,512,0.001
pubmed_rundmluuti4_NeoGNN_hyperg6x7dvg2,34.57,38.76,50.45,61.51,68.5,83.12,39.12,34.57,38.76,50.45,61.51,68.5,83.12,97.43,97.45,81.11,256,1,2,128,8,0.0,512,0.0001
pubmed_rundmluuti4_NeoGNN_hypers2howv1l,32.31,38.76,54.24,61.51,68.5,83.12,37.65,32.31,38.76,54.24,61.51,68.5,83.12,97.43,97.45,81.11,256,1,2,128,8,0.0,1024,0.01
pubmed_rundmluuti4_NeoGNN_hyperljzjqvmi,32.31,38.76,54.24,61.51,68.5,83.12,37.65,32.31,38.76,54.24,61.51,68.5,83.12,97.43,97.45,81.11,256,1,2,128,8,0.0,1024,0.001
pubmed_rundmluuti4_NeoGNN_hypers7w7iwee,32.31,38.76,54.24,61.51,68.5,83.12,37.65,32.31,38.76,54.24,61.51,68.5,83.12,97.43,97.45,81.11,256,1,2,128,8,0.0,1024,0.0001
pubmed_rundmluuti4_NeoGNN_hyper3pyett9y,32.31,37.5,54.24,61.51,68.5,83.12,37.65,32.31,37.5,54.24,61.51,68.5,83.12,97.5,97.52,81.11,256,1,2,128,8,0.1,256,0.01
pubmed_rundmluuti4_NeoGNN_hypergqo9651n,32.31,37.5,54.24,61.51,68.5,83.12,37.65,32.31,37.5,54.24,61.51,68.5,83.12,97.5,97.52,81.11,256,1,2,128,8,0.1,256,0.001
pubmed_rundmluuti4_NeoGNN_hyperaa0k81py,32.31,37.5,54.24,61.51,68.5,83.12,37.65,32.31,37.5,54.24,61.51,68.5,83.12,97.5,97.52,81.11,256,1,2,128,8,0.1,256,0.0001
pubmed_rundmluuti4_NeoGNN_hyperg80v56up,32.31,37.5,54.24,61.51,70.49,85.15,37.65,32.31,37.5,54.24,61.51,70.49,85.15,97.75,97.72,81.11,256,1,2,128,8,0.1,512,0.01
pubmed_rundmluuti4_NeoGNN_hypergfccam4t,32.31,37.5,54.24,61.51,70.49,85.15,37.65,32.31,37.5,54.24,61.51,70.49,85.15,97.75,97.72,81.11,256,1,2,128,8,0.1,512,0.001
pubmed_rundmluuti4_NeoGNN_hyperv1jo0daf,32.31,37.5,54.24,61.51,70.49,85.15,37.65,32.31,37.5,54.24,61.51,70.49,85.15,97.75,97.72,81.11,256,1,2,128,8,0.1,512,0.0001
pubmed_rundmluuti4_NeoGNN_hyperil1f8jhj,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.1,1024,0.01
pubmed_rundmluuti4_NeoGNN_hyper9lqgom6d,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.1,1024,0.001
pubmed_rundmluuti4_NeoGNN_hyperj7kc6369,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.1,1024,0.0001
pubmed_rundmluuti4_NeoGNN_hyperbkx36ji2,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,256,0.01
pubmed_rundmluuti4_NeoGNN_hyperwonx9cc7,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,256,0.001
pubmed_rundmluuti4_NeoGNN_hyper8j9qk9s0,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,256,0.0001
pubmed_rundmluuti4_NeoGNN_hyper47lf1b3w,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,512,0.01
pubmed_rundmluuti4_NeoGNN_hyper27h6kuo6,32.31,37.5,52.3,61.51,75.09,87.5,37.65,32.31,37.5,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,512,0.001
pubmed_rundmluuti4_NeoGNN_hyperibeyue50,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,512,0.0001
pubmed_rundmluuti4_NeoGNN_hyperte3cfgn7,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,1024,0.01
pubmed_rundmluuti4_NeoGNN_hyperrkqdg6m2,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,1024,0.001
pubmed_rundmluuti4_NeoGNN_hyper82tuq1jo,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.11,256,1,2,128,8,0.3,1024,0.0001
pubmed_rundmluuti4_NeoGNN_hyper17evjbqj,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,80.71,256,1,3,128,8,0.0,256,0.01
pubmed_rundmluuti4_NeoGNN_hyper9a2stkkg,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,80.71,256,1,3,128,8,0.0,256,0.001
pubmed_rundmluuti4_NeoGNN_hyperkt81wmgh,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,80.71,256,1,3,128,8,0.0,256,0.0001
pubmed_rundmluuti4_NeoGNN_hyperai5x2vby,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,80.71,256,1,3,128,8,0.0,512,0.01
pubmed_rundmluuti4_NeoGNN_hypertnxnydmk,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,80.71,256,1,3,128,8,0.0,512,0.001
pubmed_rundmluuti4_NeoGNN_hyperwkj0j3dx,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.59,256,1,3,128,8,0.0,512,0.0001
pubmed_rundmluuti4_NeoGNN_hyperh6j38lx7,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.59,256,1,3,128,8,0.0,1024,0.01
pubmed_rundmluuti4_NeoGNN_hyper86qbvp4k,32.31,36.28,52.3,61.51,75.09,87.5,35.66,32.31,36.28,52.3,61.51,75.09,87.5,97.75,97.72,81.59,256,1,3,128,8,0.0,1024,0.001
pubmed_rundmluuti4_NeoGNN_hyper3d8yru66,31.45,36.37,52.3,61.51,75.09,87.5,34.89,31.45,36.37,52.3,61.51,75.09,87.5,97.75,97.72,83.06,256,1,3,128,8,0.0,1024,0.0001
pubmed_rundmluuti4_NeoGNN_hyperfsnsp1pl,31.45,36.37,52.3,61.51,75.09,87.5,34.89,31.45,36.37,52.3,61.51,75.09,87.5,97.75,97.72,83.06,256,1,3,128,8,0.1,256,0.01
pubmed_rundmluuti4_NeoGNN_hyper2aty11x2,31.45,36.37,52.3,61.51,75.09,87.5,34.89,31.45,36.37,52.3,61.51,75.09,87.5,97.75,97.72,83.06,256,1,3,128,8,0.1,256,0.001
