Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
pubmed_runvfqri0ee_NeoGNN_hyperk0iw7fho,23.87,34.03,55.73,59.03,64.17,65.16,30.68,23.87,34.03,55.73,59.03,64.17,65.16,83.62,88.02,77.98,128,2,64,8,0.0,256,0.01
pubmed_runvfqri0ee_NeoGNN_hyperdlfft57b,23.87,34.03,45.98,59.03,64.17,65.16,30.68,23.87,34.03,45.98,59.03,64.17,65.16,83.62,88.02,77.98,128,2,64,8,0.0,256,0.001
pubmed_runvfqri0ee_NeoGNN_hyperhs77ax88,25.9,34.03,45.98,59.03,62.0,62.41,31.93,25.9,34.03,45.98,59.03,62.0,65.16,90.04,91.31,77.98,128,2,64,8,0.0,512,0.01
pubmed_runvfqri0ee_NeoGNN_hyperzfqntq2r,25.9,35.97,46.21,59.03,62.0,62.41,31.93,25.9,35.97,46.21,59.03,62.0,65.16,90.04,91.31,77.98,128,2,64,8,0.0,512,0.001
pubmed_runvfqri0ee_NeoGNN_hyperjdze1rer,25.9,35.97,46.21,54.92,62.0,67.64,31.93,25.9,35.97,46.21,54.92,62.0,67.64,90.04,91.31,77.98,128,2,64,8,0.0,1024,0.01
pubmed_runvfqri0ee_NeoGNN_hyperyrcr5wdb,25.9,35.97,46.21,54.92,62.0,67.64,31.93,25.9,35.97,46.21,54.92,62.0,67.64,92.69,92.36,77.98,128,2,64,8,0.0,1024,0.001
pubmed_runvfqri0ee_NeoGNN_hyper1pu6lab0,25.9,35.97,46.21,54.92,62.0,67.64,31.93,25.9,35.97,46.21,54.92,62.0,67.64,92.69,92.36,77.98,128,2,64,8,0.1,256,0.01
pubmed_runvfqri0ee_NeoGNN_hyper4fn0tfjo,25.9,35.97,46.21,54.92,62.0,67.64,31.93,25.9,35.97,46.21,54.92,62.0,67.64,92.69,92.36,77.98,128,2,64,8,0.1,256,0.001
pubmed_runvfqri0ee_NeoGNN_hyperqgapwwgd,25.9,35.97,46.21,54.92,62.0,67.64,31.93,25.9,35.97,46.21,54.92,62.0,67.64,92.69,92.36,77.98,128,2,64,8,0.1,512,0.01
pubmed_runvfqri0ee_NeoGNN_hypervyznxjuy,25.9,35.97,46.21,54.92,62.0,67.64,31.93,25.9,35.97,46.21,54.92,62.0,67.64,92.69,92.36,77.98,128,2,64,8,0.1,512,0.001
pubmed_runvfqri0ee_NeoGNN_hyper1p1pnvm3,25.9,35.97,46.21,54.92,62.0,67.64,36.86,25.9,35.97,46.21,54.92,62.0,67.64,92.69,92.36,79.06,128,2,64,8,0.1,1024,0.01
pubmed_runvfqri0ee_NeoGNN_hyper5zkhfy43,25.9,35.97,46.21,54.92,62.0,67.64,36.86,25.9,35.97,46.21,54.92,62.0,67.64,92.69,91.93,79.06,128,2,64,8,0.1,1024,0.001
pubmed_runvfqri0ee_NeoGNN_hyperhw2xfo74,25.9,35.97,46.21,54.92,62.0,67.64,36.86,25.9,35.97,46.21,54.92,62.0,67.64,92.69,91.93,79.06,128,2,64,8,0.3,256,0.01
pubmed_runvfqri0ee_NeoGNN_hyper6orsvb2a,25.9,35.97,46.21,54.92,62.0,67.64,36.86,25.9,35.97,46.21,54.92,62.0,67.64,92.69,91.93,78.95,128,2,64,8,0.3,256,0.001
pubmed_runvfqri0ee_NeoGNN_hyper8ju361ef,25.9,35.97,46.21,54.92,62.0,67.64,36.86,25.9,35.97,46.21,54.92,62.0,67.64,92.69,91.93,78.95,128,2,64,8,0.3,512,0.01
pubmed_runvfqri0ee_NeoGNN_hypert3knot0x,25.9,35.97,46.21,54.92,62.0,67.64,36.86,25.9,35.97,46.21,54.92,62.0,67.64,92.69,91.93,79.74,128,2,64,8,0.3,512,0.001
pubmed_runvfqri0ee_NeoGNN_hyperijgyhchu,25.9,35.97,44.22,54.92,62.0,67.64,36.86,25.9,35.97,44.22,54.92,62.0,67.64,92.69,91.93,79.74,128,2,64,8,0.3,1024,0.01
pubmed_runvfqri0ee_NeoGNN_hyper9yku0d13,25.9,35.97,44.22,54.92,62.0,67.64,36.86,25.9,35.97,44.22,54.92,62.0,67.64,93.67,93.64,79.74,128,2,64,8,0.3,1024,0.001
