Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
pubmed_runrws6ow5d_NeoGNN_hypery4lj6vo4,6.3,14.42,34.16,50.72,72.79,85.99,15.51,6.3,14.42,34.16,50.72,72.79,85.99,96.92,97.37,93.42,64,2,64,64,0.0,512,4096,0.01
pubmed_runrws6ow5d_NeoGNN_hyper3d661gr4,11.78,14.42,34.16,50.72,72.79,85.99,18.25,11.78,14.42,34.16,50.72,72.79,85.99,96.92,97.37,93.42,64,2,64,64,0.0,512,4096,0.001
pubmed_runrws6ow5d_NeoGNN_hyperhgcx18r4,11.78,14.42,33.1,51.47,72.79,85.99,18.25,11.78,14.42,33.1,51.47,72.79,85.99,96.92,97.37,93.42,64,2,64,64,0.0,512,8192,0.01
pubmed_runrws6ow5d_NeoGNN_hyperdbvtc2w8,11.78,14.42,33.1,51.47,72.79,85.99,18.25,11.78,14.42,33.1,51.47,72.79,85.99,96.92,97.37,93.42,64,2,64,64,0.0,512,8192,0.001
pubmed_runrws6ow5d_NeoGNN_hyper082frr67,11.78,14.42,33.1,45.08,76.11,88.29,18.25,11.78,14.42,33.1,45.08,76.11,88.29,97.36,97.66,93.6,64,2,64,64,0.0,1024,4096,0.01
pubmed_runrws6ow5d_NeoGNN_hyperjfqc58l1,11.78,17.71,32.2,45.08,76.11,88.29,16.34,11.78,17.71,32.2,45.08,76.11,88.29,97.36,97.66,93.6,64,2,64,64,0.0,1024,4096,0.001
pubmed_runrws6ow5d_NeoGNN_hyperf2jlvivq,11.78,17.71,32.2,45.08,76.11,88.29,16.34,11.78,17.71,32.2,45.08,76.11,88.29,97.36,97.66,93.6,64,2,64,64,0.0,1024,8192,0.01
pubmed_runrws6ow5d_NeoGNN_hyperawnw9tfn,11.78,17.71,32.2,45.08,76.11,88.29,16.34,11.78,17.71,32.2,45.08,76.11,88.29,97.36,97.66,93.6,64,2,64,64,0.0,1024,8192,0.001
pubmed_runrws6ow5d_NeoGNN_hyperlh8a2c8o,5.05,17.71,32.2,45.08,76.11,88.33,16.74,5.05,17.71,32.2,45.08,76.11,88.33,97.36,97.66,93.64,64,2,64,64,0.1,512,4096,0.01
pubmed_runrws6ow5d_NeoGNN_hyper8o8cefq3,5.05,17.71,32.2,45.08,76.11,88.33,16.74,5.05,17.71,32.2,45.08,76.11,88.33,97.36,97.66,93.64,64,2,64,64,0.1,512,4096,0.001
pubmed_runrws6ow5d_NeoGNN_hyperd852zuun,5.05,17.71,32.2,45.08,76.11,88.33,16.74,5.05,17.71,32.2,45.08,76.11,88.33,97.36,97.66,93.64,64,2,64,64,0.1,512,8192,0.01
pubmed_runrws6ow5d_NeoGNN_hyperapddbnon,5.05,17.71,32.2,45.08,76.11,88.33,16.74,5.05,17.71,32.2,45.08,76.11,88.33,97.36,97.66,93.64,64,2,64,64,0.1,512,8192,0.001
pubmed_runrws6ow5d_NeoGNN_hyperptlxusc0,5.05,17.71,32.2,45.08,76.11,88.33,16.74,5.05,17.71,32.2,45.08,76.11,88.33,97.36,97.66,93.56,64,2,64,64,0.1,1024,4096,0.01
pubmed_runrws6ow5d_NeoGNN_hyperujwljy8v,5.05,17.71,33.69,45.08,76.11,88.33,16.74,5.05,17.71,33.69,45.08,76.11,88.33,97.36,97.66,93.56,64,2,64,64,0.1,1024,4096,0.001
pubmed_runrws6ow5d_NeoGNN_hypernqewk9h2,5.05,17.71,33.69,45.08,76.11,89.15,16.74,5.05,17.71,33.69,45.08,76.11,89.15,97.36,97.63,93.98,64,2,64,64,0.1,1024,8192,0.01
pubmed_runrws6ow5d_NeoGNN_hyperxmvhl47c,5.05,17.71,33.69,45.08,76.11,89.15,16.74,5.05,17.71,33.69,45.08,76.11,89.15,97.36,97.63,93.98,64,2,64,64,0.1,1024,8192,0.001
pubmed_runrws6ow5d_NeoGNN_hyperv32saqxd,5.05,17.71,33.69,56.25,78.23,89.15,16.74,5.05,17.71,33.69,56.25,78.23,89.15,97.43,97.86,93.98,64,2,64,64,0.3,512,4096,0.01
