Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
pubmed_runnidowyor_SEAL,6.45,8.42,35.0,47.68,64.03,75.07,16.3,6.45,8.42,35.0,47.68,64.03,75.07,97.53,97.21,82.98,32,32,0.001
pubmed_runfjqhyv8l_SEAL,12.16,21.03,34.48,54.76,69.97,82.42,19.41,12.16,21.03,34.48,54.76,69.97,82.42,98.3,98.08,91.99,32,32,0.0001
pubmed_runmfq4f0ox_SEAL,12.16,21.03,34.48,54.76,69.97,82.42,19.41,12.16,21.03,34.48,54.76,69.97,82.42,98.3,98.08,91.99,32,64,0.001
pubmed_runlnjxd0a7_SEAL,9.84,18.59,41.16,58.39,69.38,82.42,18.74,9.84,18.59,41.16,58.39,69.38,82.42,98.3,98.08,91.99,32,64,0.0001
pubmed_runswweik52_SEAL,9.84,18.59,41.16,58.39,69.38,82.42,18.74,9.84,18.59,41.16,58.39,69.38,82.42,98.3,98.08,91.99,32,128,0.001
pubmed_runffz69brd_SEAL,9.84,18.59,40.86,58.39,69.38,82.42,18.74,9.84,18.59,40.86,58.39,69.38,82.42,98.3,98.08,91.99,32,128,0.0001
pubmed_run8p6jvyc4_SEAL,8.55,18.59,40.86,58.39,68.05,82.42,18.74,8.55,18.59,40.86,58.39,68.05,82.42,98.3,98.08,91.99,32,256,0.001
pubmed_runiovq09ta_SEAL,8.55,18.59,40.86,58.39,68.05,82.42,18.74,8.55,18.59,40.86,58.39,68.05,82.42,98.3,98.08,91.99,32,256,0.0001
pubmed_runsqkp6lg3_SEAL,8.55,18.59,40.86,58.39,68.05,82.42,18.74,8.55,18.59,40.86,58.39,68.05,82.42,98.3,98.08,91.99,64,32,0.001
pubmed_run8e1l4x0i_SEAL,8.55,18.59,40.86,58.39,68.05,82.42,18.74,8.55,18.59,40.86,58.39,68.05,82.42,98.3,98.08,91.99,64,32,0.0001
pubmed_runho5m2ags_SEAL,8.55,18.59,40.86,58.39,68.05,82.42,18.74,8.55,18.59,40.86,58.39,68.05,82.42,98.3,98.08,91.99,64,64,0.001
pubmed_run3xcx9mz2_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,64,64,0.0001
pubmed_runuitj7jlb_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,64,128,0.001
pubmed_runx8dv5xam_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,64,128,0.0001
pubmed_runypzhpf7u_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,64,256,0.001
pubmed_runhltlry9d_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,64,256,0.0001
pubmed_runwn8wq31i_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,128,32,0.001
pubmed_runqyv4d459_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,128,32,0.0001
pubmed_runm4uozq7o_SEAL,8.55,18.59,40.86,58.39,68.05,80.37,18.74,8.55,18.59,40.86,58.39,68.05,80.37,98.33,98.02,91.99,128,64,0.001
pubmed_runpc5spfvh_SEAL,8.55,18.59,29.31,58.39,69.02,80.37,18.74,8.55,18.59,29.31,58.39,69.02,80.37,98.33,98.02,91.76,128,64,0.0001
pubmed_runz3bpprkl_SEAL,8.55,18.59,29.31,58.39,69.02,80.37,18.74,8.55,18.59,29.31,58.39,69.02,80.37,98.33,98.02,91.76,128,128,0.001
pubmed_runkn4tedj0_SEAL,8.55,18.59,29.31,58.39,69.02,80.37,18.74,8.55,18.59,29.31,58.39,69.02,80.37,98.33,98.02,91.76,128,128,0.0001
pubmed_runizijveid_SEAL,8.55,18.59,29.31,58.39,69.02,80.37,18.74,8.55,18.59,29.31,58.39,69.02,80.37,98.33,98.02,91.76,128,256,0.001
pubmed_runy7nr4xzb_SEAL,8.55,18.59,29.31,58.39,69.13,80.37,18.74,8.55,18.59,29.31,58.39,69.13,80.37,98.33,98.02,91.76,128,256,0.0001
pubmed_run2ct41cwn_SEAL,8.55,18.59,29.31,58.39,69.13,80.37,18.74,8.55,18.59,29.31,58.39,69.13,80.37,98.33,98.02,91.76,256,32,0.001
pubmed_run4ssgn4yl_SEAL,8.55,18.59,29.31,58.39,69.13,80.37,18.74,8.55,18.59,29.31,58.39,69.13,80.37,98.33,98.02,91.76,256,32,0.0001
pubmed_runt55isq57_SEAL,8.55,18.59,32.67,53.72,69.13,80.37,18.74,8.55,18.59,32.67,53.72,69.13,80.37,98.33,98.02,91.76,256,64,0.001
pubmed_runlqszbie9_SEAL,8.55,18.59,32.67,53.72,69.13,80.37,18.74,8.55,18.59,32.67,53.72,69.13,80.37,98.33,98.02,91.76,256,64,0.0001
pubmed_runv1bu8qcx_SEAL,6.68,18.59,32.67,54.83,69.13,80.37,18.74,6.68,18.59,32.67,54.83,69.13,80.37,98.33,98.02,91.76,256,128,0.001
pubmed_run7egrrxfj_SEAL,6.68,18.59,32.67,54.83,72.99,81.88,18.74,6.68,18.59,32.67,54.83,72.99,81.88,98.32,98.16,91.76,256,128,0.0001
pubmed_runwjtbk1if_SEAL,6.68,18.59,32.67,54.83,72.99,81.88,18.74,6.68,18.59,32.67,54.83,72.99,81.88,98.32,98.16,91.76,256,256,0.001
pubmed_runsz20nsok_SEAL,6.68,18.59,32.67,54.83,72.99,81.88,18.74,6.68,18.59,32.67,54.83,72.99,81.88,98.32,98.16,91.76,256,256,0.0001
pubmed_runzqbw7f39_SEAL,4.51,19.9,26.02,46.19,69.25,80.98,24.16,4.51,19.9,26.02,46.19,69.25,80.98,98.06,97.93,79.05,32,32,0.001
pubmed_runrlx9tcgv_SEAL,12.95,15.16,35.79,53.72,71.12,80.1,15.18,12.95,15.16,35.79,53.72,71.12,80.1,98.23,97.98,79.05,32,32,0.0001
pubmed_run6wrlf468_SEAL,12.95,15.16,35.79,53.72,71.12,80.1,15.18,12.95,15.16,35.79,53.72,71.12,80.1,98.23,97.98,79.05,32,64,0.001
pubmed_run1ulkj6jy_SEAL,12.95,15.16,35.79,53.72,71.12,80.1,15.18,12.95,15.16,35.79,53.72,71.12,80.1,98.23,97.98,79.05,32,64,0.0001
pubmed_runp9vijgzw_SEAL,14.87,15.16,35.79,53.72,71.12,80.1,20.04,14.87,15.16,35.79,53.72,71.12,80.1,98.23,97.98,79.05,32,128,0.001
pubmed_runhoqguow4_SEAL,14.87,15.16,35.79,53.72,71.12,80.1,20.04,14.87,15.16,35.79,53.72,71.12,80.1,98.23,97.98,79.05,32,128,0.0001
pubmed_runvggbqlqy_SEAL,14.87,15.16,34.43,53.72,71.12,80.57,20.04,14.87,15.16,34.43,53.72,71.12,80.57,98.31,98.06,79.05,32,256,0.001
pubmed_runzlh8eqae_SEAL,14.87,15.16,38.47,53.72,71.12,80.57,20.04,14.87,15.16,38.47,53.72,71.12,80.57,98.31,98.06,79.05,32,256,0.0001
pubmed_rungiv5c5ss_SEAL,14.87,15.16,38.47,53.72,71.12,80.57,20.04,14.87,15.16,38.47,53.72,71.12,80.57,98.31,98.06,79.05,64,32,0.001
pubmed_runqmlinekm_SEAL,14.87,15.16,38.47,53.72,71.12,80.57,20.04,14.87,15.16,38.47,53.72,71.12,80.57,98.31,98.06,79.05,64,32,0.0001
