model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
NCN,0,25.18,33.89,62.68,72.74,88.99,94.86,29.74,25.18,33.89,62.68,72.74,88.99,94.86,98.89,98.83,95.01
NCNC,0,10.2,16.25,65.16,70.67,87.91,94.04,26.29,10.2,16.25,65.16,70.67,87.91,94.04,98.82,98.68,95.22
NCN,1,9.52,53.84,62.23,75.09,87.36,93.73,31.15,9.52,53.84,62.23,75.09,87.36,93.73,98.8,98.74,94.95
NCNC,1,6.59,17.33,56.77,74.5,86.37,93.77,18.63,6.59,17.33,56.77,74.5,86.37,93.77,98.72,98.41,94.76
NCN,2,6.59,29.96,55.28,71.34,87.14,92.24,23.53,6.59,29.96,55.28,71.34,87.14,92.24,98.58,98.42,94.04
NCNC,2,1.71,8.3,34.21,64.21,85.6,93.91,10.61,1.71,8.3,34.21,64.21,85.6,93.91,98.53,98.27,94.43
BUDDY,0,2.39,15.7,34.84,63.18,81.27,92.15,17.54,2.39,15.7,34.84,63.18,81.27,92.15,98.2,97.91,70.1
NCN,3,5.69,32.49,49.37,64.62,84.34,92.92,21.01,5.69,32.49,49.37,64.62,84.34,92.92,98.45,98.2,94.56
BUDDY,1,14.35,21.89,40.3,54.74,74.68,90.93,23.15,14.35,21.89,40.3,54.74,74.68,90.93,97.84,97.53,90.32
NCNC,3,10.65,30.05,49.01,65.7,85.56,93.46,26.34,10.65,30.05,49.01,65.7,85.56,93.46,98.57,98.41,94.54
NCN,4,8.26,43.46,59.93,71.71,84.39,92.28,24.17,8.26,43.46,59.93,71.71,84.39,92.28,98.59,98.27,94.79
BUDDY,2,5.6,17.46,41.06,58.57,75.36,88.22,18.18,5.6,17.46,41.06,58.57,75.36,88.22,97.77,97.55,92.42
BUDDY,3,1.17,19.45,52.66,60.2,77.39,88.49,20.69,1.17,19.45,52.66,60.2,77.39,88.49,97.94,97.66,91.88
NCNC,4,4.38,21.53,56.41,74.64,87.0,93.5,19.7,4.38,21.53,56.41,74.64,87.0,93.5,98.68,98.49,94.67
BUDDY,4,7.04,26.71,46.8,57.72,71.98,86.46,17.73,7.04,26.71,46.8,57.72,71.98,86.46,97.85,97.52,81.34
ELPH,0,1.4,5.05,16.25,19.54,31.72,42.33,5.52,1.4,5.05,16.25,19.54,31.72,42.33,82.8,84.03,51.56
SEAL,0,46.14,41.79,44.27,73.53,83.44,88.0,50.71,46.14,41.79,44.27,73.53,83.44,88.0,98.75,98.77,50.01
SEAL,1,45.37,47.11,58.15,76.71,83.28,88.43,51.8,45.37,47.11,58.15,76.71,83.28,88.43,98.8,98.87,93.26
ELPH,0,0.95,5.73,16.2,21.39,31.5,42.28,3.56,0.95,5.73,16.2,21.39,31.5,42.28,82.78,83.97,52.89
ELPH,1,1.81,15.21,20.08,25.59,32.85,41.34,13.74,1.81,15.21,20.08,25.59,32.85,41.34,82.87,84.63,50.38
MLP-minilm,0,14.98,21.07,33.21,48.96,66.29,81.9,21.58,14.98,21.07,33.21,48.96,66.29,81.9,96.2,96.26,90.12
MLP-minilm,1,14.85,20.62,34.16,48.51,66.38,81.86,21.44,14.85,20.62,34.16,48.51,66.38,81.86,96.2,96.25,90.05
MLP-e5-large,0,10.79,26.17,45.62,55.01,71.34,82.63,24.26,10.79,26.17,45.62,55.01,71.34,82.63,96.77,96.8,90.64
MLP-minilm,2,15.93,19.4,34.16,48.69,66.79,81.9,21.72,15.93,19.4,34.16,48.69,66.79,81.9,96.2,96.25,90.0
MLP-e5-large,1,5.91,25.72,44.86,53.38,70.26,82.76,20.38,5.91,25.72,44.86,53.38,70.26,82.76,96.73,96.7,90.66
MLP-minilm,3,16.02,22.79,33.21,48.51,66.34,81.95,21.5,16.02,22.79,33.21,48.51,66.34,81.95,96.2,96.24,90.05
MLP-e5-large,2,7.72,27.89,46.34,54.2,71.57,82.4,20.73,7.72,27.89,46.34,54.2,71.57,82.4,96.73,96.71,90.57
MLP-minilm,4,15.25,20.71,34.12,48.56,65.97,81.9,21.47,15.25,20.71,34.12,48.56,65.97,81.9,96.19,96.26,89.98
MLP-e5-large,3,8.21,25.05,46.93,55.23,70.85,82.27,21.18,8.21,25.05,46.93,55.23,70.85,82.27,96.7,96.73,90.59
SEAL,2,18.57,51.08,60.13,65.48,82.83,89.12,41.14,18.57,51.08,60.13,65.48,82.83,89.12,98.64,98.67,89.54
MLP-e5-large,4,7.67,27.03,46.39,52.48,72.56,82.9,22.4,7.67,27.03,46.39,52.48,72.56,82.9,96.7,96.72,90.64
SEAL,3,42.55,51.49,59.32,78.61,85.85,91.04,52.87,42.55,51.49,59.32,78.61,85.85,91.04,98.94,99.0,83.11
SEAL,4,50.36,58.91,70.28,79.6,86.42,90.59,56.86,50.36,58.91,70.28,79.6,86.42,90.59,98.96,99.02,94.38
MLP-bert,0,2.84,4.69,11.51,23.65,36.01,47.02,5.97,2.84,4.69,11.51,23.65,36.01,47.02,88.71,87.91,80.69
MLP-bert,1,0.95,6.99,13.99,23.29,36.15,50.54,6.99,0.95,6.99,13.99,23.29,36.15,50.54,88.64,88.51,80.93
