Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
pubmed_runscjyfpzt_SAGE_Variant,23.95 ± 9.40,38.03 ± 3.90,58.17 ± 4.48,69.95 ± 2.95,86.55 ± 0.55,93.36 ± 0.70,35.63 ± 5.75,23.95 ± 9.40,38.03 ± 3.90,58.17 ± 4.48,69.95 ± 2.95,86.55 ± 0.55,93.36 ± 0.70,98.66 ± 0.15,98.56 ± 0.14,86.16 ± 0.82
pubmed_run08v8qg8k_GCN_Variant,10.15 ± 7.13,31.62 ± 8.36,55.71 ± 7.87,70.32 ± 5.17,83.11 ± 2.19,89.59 ± 1.73,24.55 ± 4.02,10.15 ± 7.13,31.62 ± 8.36,55.71 ± 7.87,70.32 ± 5.17,83.11 ± 2.19,89.59 ± 1.73,98.24 ± 0.16,98.07 ± 0.24,93.91 ± 0.30
pubmed_runtht2hpv6_GIN_Variant,10.46 ± 6.91,33.17 ± 6.22,54.70 ± 10.02,74.27 ± 2.59,86.92 ± 1.68,92.02 ± 0.91,24.63 ± 2.24,10.46 ± 6.91,33.17 ± 6.22,54.70 ± 10.02,74.27 ± 2.59,86.92 ± 1.68,92.02 ± 0.91,97.79 ± 0.16,97.73 ± 0.46,88.61 ± 0.64
pubmed_runb2cg5q6w_GAT_Variant,6.22 ± 6.08,19.39 ± 10.24,44.95 ± 7.17,56.72 ± 6.29,74.23 ± 2.54,84.03 ± 1.59,18.13 ± 5.81,6.22 ± 6.08,19.39 ± 10.24,44.95 ± 7.17,56.72 ± 6.29,74.23 ± 2.54,84.03 ± 1.59,96.90 ± 0.39,96.88 ± 0.41,86.50 ± 1.09
minilm-pubmed-origin_dot,0.45 ± nan,3.38 ± nan,9.52 ± nan,13.00 ± nan,20.85 ± nan,32.76 ± nan,3.66 ± nan,0.45 ± nan,3.38 ± nan,9.52 ± nan,13.04 ± nan,20.85 ± nan,32.76 ± nan,79.38 ± nan,79.46 ± nan,70.78 ± nan
bert-pubmed-origin_dot,0.09 ± nan,0.23 ± nan,2.35 ± nan,4.33 ± nan,9.39 ± nan,16.25 ± nan,1.03 ± nan,0.09 ± nan,0.23 ± nan,2.35 ± nan,4.33 ± nan,9.39 ± nan,16.25 ± nan,61.69 ± nan,63.45 ± nan,58.73 ± nan
e5-large-pubmed-origin_dot,1.58 ± nan,6.50 ± nan,13.99 ± nan,15.52 ± nan,25.45 ± nan,31.90 ± nan,5.08 ± nan,1.58 ± nan,6.50 ± nan,13.99 ± nan,15.52 ± nan,25.45 ± nan,31.90 ± nan,71.58 ± nan,74.35 ± nan,63.74 ± nan
llama-pubmed-origin_dot,1.94 ± nan,4.65 ± nan,20.49 ± nan,41.16 ± nan,58.44 ± nan,75.14 ± nan,8.41 ± nan,1.94 ± nan,4.65 ± nan,20.49 ± nan,41.16 ± nan,58.44 ± nan,75.14 ± nan,95.78 ± nan,95.11 ± nan,90.10 ± nan
minilm-ncn-pubmed,18.00 ± 15.31,36.75 ± 6.26,58.65 ± 7.98,76.30 ± 3.08,88.85 ± 0.89,95.49 ± 0.66,33.60 ± 7.51,18.00 ± 15.31,36.75 ± 6.26,58.65 ± 7.98,76.30 ± 3.08,88.85 ± 0.89,95.49 ± 0.66,98.97 ± 0.10,98.87 ± 0.09,95.39 ± 0.28
llama-ncn-pubmed,15.99 ± 12.75,34.28 ± 7.86,59.43 ± 2.28,75.33 ± 4.78,90.05 ± 1.66,96.30 ± 0.62,30.73 ± 10.11,15.99 ± 12.75,34.28 ± 7.86,59.43 ± 2.28,75.33 ± 4.78,90.05 ± 1.66,96.30 ± 0.62,99.11 ± 0.07,98.98 ± 0.14,95.86 ± 0.35
llamabuddy-pubmed,8.93 ± 7.21,25.53 ± 9.20,62.59 ± 2.75,73.65 ± 5.79,88.10 ± 2.08,94.60 ± 0.98,24.57 ± 3.66,8.93 ± 7.21,25.53 ± 9.20,62.59 ± 2.75,73.65 ± 5.79,88.10 ± 2.08,94.60 ± 0.98,98.75 ± 0.18,98.62 ± 0.16,91.39 ± 3.22
minilmbuddy-pubmed,12.44 ± 4.52,23.93 ± 6.43,53.76 ± 6.96,69.11 ± 3.54,85.98 ± 1.19,93.56 ± 0.66,25.45 ± 4.86,12.44 ± 4.52,23.93 ± 6.43,53.76 ± 6.96,69.11 ± 3.54,85.98 ± 1.19,93.56 ± 0.66,98.68 ± 0.07,98.53 ± 0.09,73.38 ± 11.12
e5-largebuddy-pubmed,7.85 ± 8.21,28.84 ± 3.86,53.12 ± 2.23,70.09 ± 2.25,88.07 ± 0.57,93.95 ± 0.34,22.90 ± 5.86,7.85 ± 8.21,28.84 ± 3.86,53.12 ± 2.23,70.09 ± 2.25,88.07 ± 0.57,93.95 ± 0.34,98.72 ± 0.06,98.56 ± 0.11,91.99 ± 4.86
bertbuddy-pubmed,4.34 ± 4.43,15.84 ± 8.51,29.98 ± 3.54,41.59 ± 7.56,62.03 ± 3.16,78.54 ± 1.26,13.15 ± 2.84,4.34 ± 4.43,15.84 ± 8.51,29.98 ± 3.54,41.59 ± 7.56,62.03 ± 3.16,78.54 ± 1.26,96.25 ± 0.17,95.75 ± 0.18,85.22 ± 3.49
bert-ncn-pubmed,10.92 ± 8.73,29.84 ± 3.76,41.72 ± 3.56,52.79 ± 3.00,67.95 ± 3.42,81.09 ± 2.46,23.16 ± 6.75,10.92 ± 8.73,29.84 ± 3.76,41.72 ± 3.56,52.79 ± 3.00,67.95 ± 3.42,81.09 ± 2.46,97.24 ± 0.20,96.97 ± 0.26,91.49 ± 0.47
e5-large-ncn-pubmed,17.38 ± 13.25,37.19 ± 5.85,61.73 ± 8.29,76.90 ± 5.25,90.97 ± 1.77,96.33 ± 0.70,32.19 ± 4.80,17.38 ± 13.25,37.19 ± 5.85,61.73 ± 8.29,76.90 ± 5.25,90.97 ± 1.77,96.33 ± 0.70,99.10 ± 0.09,98.91 ± 0.10,95.95 ± 0.27
llama-ncnc-pubmed,5.33 ± 2.48,18.29 ± 12.43,49.91 ± 7.95,67.49 ± 1.36,84.65 ± 1.95,92.39 ± 1.46,20.51 ± 9.80,5.33 ± 2.48,18.29 ± 12.43,49.91 ± 7.95,67.49 ± 1.36,84.65 ± 1.95,92.39 ± 1.46,98.54 ± 0.18,98.24 ± 0.42,94.26 ± 0.28
minilm-ncnc-pubmed,15.58 ± 11.23,28.66 ± 8.27,57.86 ± 3.65,74.50 ± 4.21,90.32 ± 1.52,96.11 ± 0.60,22.56 ± 3.30,15.58 ± 11.23,28.66 ± 8.27,57.86 ± 3.65,74.50 ± 4.21,90.32 ± 1.52,96.11 ± 0.60,99.07 ± 0.07,98.81 ± 0.10,95.79 ± 0.36
bert-ncnc-pubmed,12.45 ± 6.61,23.29 ± 5.75,39.94 ± 4.27,50.07 ± 3.73,72.80 ± 1.78,82.48 ± 1.43,23.49 ± 3.07,12.45 ± 6.61,23.29 ± 5.75,39.94 ± 4.27,50.07 ± 3.73,72.80 ± 1.78,82.48 ± 1.43,97.40 ± 0.20,97.11 ± 0.28,91.31 ± 0.67
