Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pwc_small_runzdry013k_BUDDY_hyper1b3qwwck,30.0,40.0,45.0,95.0,100.0,100.0,39.66,30.0,40.0,45.0,95.0,100.0,100.0,49.25,70.39,50.0,128,512,0.01,1,0.1,0.1,0.1
pwc_small_runzdry013k_BUDDY_hyperpf9eijk4,30.0,40.0,45.0,90.0,100.0,100.0,39.66,30.0,40.0,45.0,90.0,100.0,100.0,49.25,70.39,50.0,128,512,0.01,1,0.1,0.1,0.3
pwc_small_runzdry013k_BUDDY_hyperl3eahrct,30.0,40.0,60.0,90.0,100.0,100.0,39.66,30.0,40.0,60.0,90.0,100.0,100.0,63.25,70.34,65.0,128,512,0.01,1,0.1,0.1,0.5
pwc_small_runzdry013k_BUDDY_hyper32ucmdq9,30.0,55.0,60.0,90.0,100.0,100.0,39.66,30.0,55.0,60.0,90.0,100.0,100.0,63.25,70.34,65.0,128,512,0.01,1,0.1,0.1,0.7
pwc_small_runzdry013k_BUDDY_hypersanfch2y,30.0,55.0,60.0,90.0,100.0,100.0,39.66,30.0,55.0,60.0,90.0,100.0,100.0,63.25,70.34,65.0,128,512,0.01,1,0.1,0.3,0.1
pwc_small_runzdry013k_BUDDY_hypererouocpj,30.0,45.0,60.0,90.0,100.0,100.0,36.78,30.0,45.0,60.0,90.0,100.0,100.0,63.25,73.14,65.0,128,512,0.01,1,0.1,0.3,0.3
pwc_small_runzdry013k_BUDDY_hyperr1ywczup,30.0,45.0,60.0,90.0,100.0,100.0,36.78,30.0,45.0,60.0,90.0,100.0,100.0,63.25,73.14,65.0,128,512,0.01,1,0.1,0.3,0.5
pwc_small_runzdry013k_BUDDY_hyperd5zalyst,30.0,45.0,55.0,90.0,100.0,100.0,36.78,30.0,45.0,55.0,90.0,100.0,100.0,52.5,73.14,65.0,128,512,0.01,1,0.1,0.3,0.7
pwc_small_runzdry013k_BUDDY_hyper8bh6al4u,30.0,45.0,55.0,90.0,100.0,100.0,36.78,30.0,45.0,55.0,90.0,100.0,100.0,52.5,73.14,65.0,128,512,0.01,1,0.1,0.5,0.1
pwc_small_runzdry013k_BUDDY_hyper5e5h5eo9,30.0,45.0,55.0,90.0,100.0,100.0,36.78,30.0,45.0,55.0,90.0,100.0,100.0,52.5,73.14,65.0,128,512,0.01,1,0.1,0.5,0.3
