Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pwc_small_run8mljdctv_ELPH_hyperby1yrncl,25.0,65.0,90.0,100.0,100.0,100.0,49.34,25.0,65.0,90.0,100.0,100.0,100.0,79.25,83.2,75.0,128,512,0.01,1,0.1,0.1,0.1
pwc_small_run8mljdctv_ELPH_hypers6rohzo7,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,67.5,79.82,75.0,128,512,0.01,1,0.1,0.1,0.3
pwc_small_run8mljdctv_ELPH_hyper8bget3ev,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,67.5,79.82,82.5,128,512,0.01,1,0.1,0.1,0.5
pwc_small_run8mljdctv_ELPH_hyper8nqgwv7x,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,67.5,79.82,82.5,128,512,0.01,1,0.1,0.1,0.7
pwc_small_run8mljdctv_ELPH_hyper9gelgtaf,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,67.5,79.82,82.5,128,512,0.01,1,0.1,0.3,0.1
pwc_small_run8mljdctv_ELPH_hyperetuyc5t6,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,67.5,79.82,82.5,128,512,0.01,1,0.1,0.3,0.3
pwc_small_run8mljdctv_ELPH_hyperwladqsol,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,67.5,79.82,82.5,128,512,0.01,1,0.1,0.3,0.5
pwc_small_run8mljdctv_ELPH_hypermuec46s6,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,72.25,73.34,82.5,128,512,0.01,1,0.1,0.3,0.7
pwc_small_run8mljdctv_ELPH_hyperhniicz4i,25.0,65.0,100.0,100.0,100.0,100.0,43.69,25.0,65.0,100.0,100.0,100.0,100.0,72.25,73.34,82.5,128,512,0.01,1,0.1,0.5,0.1
pwc_small_run8mljdctv_ELPH_hyper7hj3soim,25.0,65.0,100.0,95.0,100.0,100.0,43.69,25.0,65.0,100.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.1,0.5,0.3
pwc_small_run8mljdctv_ELPH_hyperyl249do6,25.0,65.0,100.0,95.0,100.0,100.0,43.69,25.0,65.0,100.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.1,0.5,0.5
pwc_small_run8mljdctv_ELPH_hyperzjt3g3tx,25.0,65.0,100.0,95.0,100.0,100.0,43.69,25.0,65.0,100.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.1,0.5,0.7
pwc_small_run8mljdctv_ELPH_hyper3owaqsyq,25.0,65.0,100.0,95.0,100.0,100.0,43.69,25.0,65.0,100.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.1,0.1
pwc_small_run8mljdctv_ELPH_hyperw2wxfjq1,25.0,65.0,100.0,95.0,100.0,100.0,43.69,25.0,65.0,100.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.1,0.3
pwc_small_run8mljdctv_ELPH_hyperjfwinwr7,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.1,0.5
pwc_small_run8mljdctv_ELPH_hyperwyos7xez,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.1,0.7
pwc_small_run8mljdctv_ELPH_hyper0wmlunla,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.3,0.1
pwc_small_run8mljdctv_ELPH_hyper1rj7it3r,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.3,0.3
pwc_small_run8mljdctv_ELPH_hypera2jsqspy,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.3,0.5
pwc_small_run8mljdctv_ELPH_hyperygvv0oce,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.3,0.7
