Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pwc_small_run<built-in function id>_MLP-bert_hyperc0vfpdqu,25.0,30.0,55.0,100.0,100.0,100.0,29.29,25.0,30.0,55.0,100.0,100.0,100.0,61.5,67.9,57.5,0.01,64
pwc_small_run<built-in function id>_MLP-bert_hyperqp6ofafg,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,62.0,67.9,47.5,0.01,128
pwc_small_run<built-in function id>_MLP-bert_hyperilehgf70,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,62.0,67.9,47.5,0.01,256
pwc_small_run<built-in function id>_MLP-bert_hyperl1xj6s0w,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,62.0,67.9,47.5,0.01,512
pwc_small_run<built-in function id>_MLP-bert_hyper4acavk5c,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,62.0,67.9,47.5,0.01,1024
pwc_small_run<built-in function id>_MLP-bert_hyper5utooqme,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,62.0,67.9,47.5,0.01,2048
pwc_small_run<built-in function id>_MLP-bert_hyper0g1yup5k,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.001,64
pwc_small_run<built-in function id>_MLP-bert_hyper9pxhldbw,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.001,128
pwc_small_run<built-in function id>_MLP-bert_hyper3ab5upba,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.001,256
pwc_small_run<built-in function id>_MLP-bert_hyperor9rq7np,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.001,512
pwc_small_run<built-in function id>_MLP-bert_hyperrxtaqc1t,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.001,1024
pwc_small_run<built-in function id>_MLP-bert_hyperkn8uys41,25.0,30.0,70.0,100.0,100.0,100.0,29.29,25.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.001,2048
pwc_small_run<built-in function id>_MLP-bert_hyperm0o4mth6,0.0,30.0,70.0,100.0,100.0,100.0,29.29,0.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.0001,64
pwc_small_run<built-in function id>_MLP-bert_hypera9zu9544,0.0,30.0,70.0,100.0,100.0,100.0,29.29,0.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.0001,128
pwc_small_run<built-in function id>_MLP-bert_hyperm21qk9dp,0.0,30.0,70.0,100.0,100.0,100.0,29.29,0.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.0001,256
pwc_small_run<built-in function id>_MLP-bert_hypermja5c2lk,0.0,30.0,70.0,100.0,100.0,100.0,29.29,0.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.0001,512
pwc_small_run<built-in function id>_MLP-bert_hypers6ho3w6q,0.0,30.0,70.0,100.0,100.0,100.0,29.29,0.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.0001,1024
pwc_small_run<built-in function id>_MLP-bert_hyperth1o4t9w,0.0,30.0,70.0,100.0,100.0,100.0,29.29,0.0,30.0,70.0,100.0,100.0,100.0,61.25,67.9,57.5,0.0001,2048
pwc_small_run<built-in function id>_MLP-bert_hypersonkwveq,0.0,30.0,60.0,100.0,100.0,100.0,23.06,0.0,30.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.01,64
pwc_small_run<built-in function id>_MLP-bert_hyperedszgmek,0.0,30.0,60.0,100.0,100.0,100.0,23.06,0.0,30.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.01,128
pwc_small_run<built-in function id>_MLP-bert_hypery641cnje,0.0,30.0,60.0,100.0,100.0,100.0,23.06,0.0,30.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.01,256
pwc_small_run<built-in function id>_MLP-bert_hyperywrfs2ep,0.0,30.0,60.0,100.0,100.0,100.0,23.06,0.0,30.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.01,512
pwc_small_run<built-in function id>_MLP-bert_hyperjyck7fdm,0.0,30.0,60.0,100.0,100.0,100.0,23.06,0.0,30.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.01,1024
pwc_small_run<built-in function id>_MLP-bert_hypertnmc484v,0.0,30.0,60.0,100.0,100.0,100.0,23.06,0.0,30.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.01,2048
pwc_small_run<built-in function id>_MLP-bert_hyperadu66crc,0.0,45.0,60.0,100.0,100.0,100.0,23.06,0.0,45.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.001,64
pwc_small_run<built-in function id>_MLP-bert_hyper72x8tk2y,0.0,45.0,60.0,100.0,100.0,100.0,23.06,0.0,45.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.001,128
pwc_small_run<built-in function id>_MLP-bert_hyperobt6d9ce,0.0,45.0,60.0,100.0,100.0,100.0,23.06,0.0,45.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.001,256
pwc_small_run<built-in function id>_MLP-bert_hyperq7zxaqct,0.0,45.0,60.0,100.0,100.0,100.0,23.06,0.0,45.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.001,512
pwc_small_run<built-in function id>_MLP-bert_hyperaxllfaru,0.0,45.0,60.0,100.0,100.0,100.0,23.06,0.0,45.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.001,1024
pwc_small_run<built-in function id>_MLP-bert_hyper8awz996l,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.001,2048
pwc_small_run<built-in function id>_MLP-bert_hyperrchnasop,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.0001,64
pwc_small_run<built-in function id>_MLP-bert_hyperne31tnqx,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.0001,128
pwc_small_run<built-in function id>_MLP-bert_hyperd0rr0ysa,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.0001,256
pwc_small_run<built-in function id>_MLP-bert_hyperrxo7exr7,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.0001,512
pwc_small_run<built-in function id>_MLP-bert_hyperyc5ffz1m,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.0001,1024
pwc_small_run<built-in function id>_MLP-bert_hyperq7cmpn07,0.0,10.0,60.0,100.0,100.0,100.0,23.06,0.0,10.0,65.0,100.0,100.0,100.0,63.25,62.96,60.0,0.0001,2048
pwc_small_run<built-in function id>_MLP-bert_hyper8937qj3o,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.01,64
pwc_small_run<built-in function id>_MLP-bert_hyper0oq5ijpd,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.01,128
pwc_small_run<built-in function id>_MLP-bert_hyper40x8oo00,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.01,256
pwc_small_run<built-in function id>_MLP-bert_hyperq03yxg3o,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.01,512
pwc_small_run<built-in function id>_MLP-bert_hyperopgrvn5m,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.01,1024
pwc_small_run<built-in function id>_MLP-bert_hyperfbpyc0n0,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.01,2048
pwc_small_run<built-in function id>_MLP-bert_hyperlwqmemnj,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.001,64
pwc_small_run<built-in function id>_MLP-bert_hypernwmbho25,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.001,128
pwc_small_run<built-in function id>_MLP-bert_hypergodv6jdl,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.001,256
pwc_small_run<built-in function id>_MLP-bert_hyper8gjjtcty,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.001,512
pwc_small_run<built-in function id>_MLP-bert_hyperug0agcj2,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.001,1024
pwc_small_run<built-in function id>_MLP-bert_hypervvuz1jhl,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.001,2048
pwc_small_run<built-in function id>_MLP-bert_hypere7q42ah9,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.0001,64
pwc_small_run<built-in function id>_MLP-bert_hyper2o2qti8i,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.0001,128
pwc_small_run<built-in function id>_MLP-bert_hyperg62y91ec,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.0001,256
pwc_small_run<built-in function id>_MLP-bert_hyperbz9dqp9i,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.0001,512
pwc_small_run<built-in function id>_MLP-bert_hyper2qc5jpu6,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.0001,1024
pwc_small_run<built-in function id>_MLP-bert_hypermq0v0lhf,0.0,30.0,65.0,100.0,100.0,100.0,22.44,0.0,30.0,65.0,100.0,100.0,100.0,59.75,62.69,55.0,0.0001,2048
