Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pwc_small_run<built-in function id>_MLP-e5-large_hypera6q0csx4,25.0,50.0,95.0,100.0,100.0,100.0,44.43,25.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.01,64
pwc_small_run<built-in function id>_MLP-e5-large_hyperrr405zlf,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.01,128
pwc_small_run<built-in function id>_MLP-e5-large_hyperve2n0n6f,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.01,256
pwc_small_run<built-in function id>_MLP-e5-large_hyper1begu6za,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.01,512
pwc_small_run<built-in function id>_MLP-e5-large_hypertwmplpcc,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.01,1024
pwc_small_run<built-in function id>_MLP-e5-large_hyperx57v3h6c,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.01,2048
pwc_small_run<built-in function id>_MLP-e5-large_hyperefu5bn8s,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.001,64
pwc_small_run<built-in function id>_MLP-e5-large_hyper4ady2o27,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.001,128
pwc_small_run<built-in function id>_MLP-e5-large_hyperhkuoj9c7,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.001,256
pwc_small_run<built-in function id>_MLP-e5-large_hyper56zmpkzz,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.001,512
pwc_small_run<built-in function id>_MLP-e5-large_hyperx5q5hhmi,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.001,1024
pwc_small_run<built-in function id>_MLP-e5-large_hyperh94fb5t6,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.001,2048
pwc_small_run<built-in function id>_MLP-e5-large_hyperhg0eoz70,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.0001,64
pwc_small_run<built-in function id>_MLP-e5-large_hyper3tpnpr9v,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.0001,128
pwc_small_run<built-in function id>_MLP-e5-large_hyper5xgl9siz,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.0001,256
pwc_small_run<built-in function id>_MLP-e5-large_hyperrt79p3pg,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.0001,512
pwc_small_run<built-in function id>_MLP-e5-large_hyper0klhobmg,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.0001,1024
pwc_small_run<built-in function id>_MLP-e5-large_hyperwvu3uak5,30.0,50.0,95.0,100.0,100.0,100.0,44.43,30.0,50.0,95.0,100.0,100.0,100.0,83.5,84.44,72.5,0.0001,2048
pwc_small_run<built-in function id>_MLP-e5-large_hyperxmb6s425,25.0,55.0,95.0,100.0,100.0,100.0,42.88,25.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.01,64
pwc_small_run<built-in function id>_MLP-e5-large_hyper2fib5uqv,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.01,128
pwc_small_run<built-in function id>_MLP-e5-large_hyper7fw7p80m,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.01,256
pwc_small_run<built-in function id>_MLP-e5-large_hyperbay1zukd,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.01,512
pwc_small_run<built-in function id>_MLP-e5-large_hypermo8lqt8m,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.01,1024
pwc_small_run<built-in function id>_MLP-e5-large_hypertycsas78,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.01,2048
pwc_small_run<built-in function id>_MLP-e5-large_hyper6b7wu515,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.001,64
pwc_small_run<built-in function id>_MLP-e5-large_hypery9q0icjc,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.001,128
pwc_small_run<built-in function id>_MLP-e5-large_hyperixdkcckm,30.0,55.0,95.0,100.0,100.0,100.0,42.88,30.0,55.0,95.0,100.0,100.0,100.0,83.25,81.87,75.0,0.001,256
