Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pwc_small_run<built-in function id>_MLP-llama_hyperbx64iy5u,0.0,0.0,0.0,0.0,100.0,100.0,9.09,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,0.01,64
pwc_small_run<built-in function id>_MLP-llama_hyperfw2hm7qy,0.0,0.0,0.0,0.0,100.0,100.0,9.09,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,0.01,128
pwc_small_run<built-in function id>_MLP-llama_hyper4rw2w6aq,0.0,0.0,0.0,0.0,100.0,100.0,9.09,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,0.01,64
pwc_small_run<built-in function id>_MLP-llama_hypersbj7wx7r,0.0,25.0,60.0,100.0,100.0,100.0,27.04,0.0,25.0,60.0,100.0,100.0,100.0,55.25,63.79,50.0,0.01,128
pwc_small_run<built-in function id>_MLP-llama_hyperj3rqr8ud,40.0,85.0,95.0,100.0,100.0,100.0,81.57,40.0,85.0,95.0,100.0,100.0,100.0,92.75,94.67,82.5,0.01,256
pwc_small_run<built-in function id>_MLP-llama_hypersbe6kvkk,40.0,85.0,95.0,100.0,100.0,100.0,81.57,40.0,85.0,95.0,100.0,100.0,100.0,92.75,94.67,82.5,0.01,512
pwc_small_run<built-in function id>_MLP-llama_hyperf08rvr21,40.0,85.0,95.0,100.0,100.0,100.0,81.57,40.0,85.0,95.0,100.0,100.0,100.0,92.75,94.67,82.5,0.01,1024
pwc_small_run<built-in function id>_MLP-llama_hyperjznpyqsm,40.0,85.0,95.0,100.0,100.0,100.0,81.57,40.0,85.0,95.0,100.0,100.0,100.0,92.75,94.67,82.5,0.01,2048
pwc_small_run<built-in function id>_MLP-llama_hyperkhvjeb2x,65.0,85.0,95.0,100.0,100.0,100.0,81.0,65.0,85.0,95.0,100.0,100.0,100.0,94.5,95.78,90.0,0.001,64
pwc_small_run<built-in function id>_MLP-llama_hyperc0z54h60,65.0,85.0,95.0,100.0,100.0,100.0,81.0,65.0,85.0,95.0,100.0,100.0,100.0,96.5,95.78,90.0,0.001,128
pwc_small_run<built-in function id>_MLP-llama_hyperfksjg7ac,65.0,85.0,95.0,100.0,100.0,100.0,81.0,65.0,85.0,95.0,100.0,100.0,100.0,96.5,95.78,90.0,0.001,256
pwc_small_run<built-in function id>_MLP-llama_hyper2jg7hvda,65.0,85.0,95.0,100.0,100.0,100.0,81.0,65.0,85.0,95.0,100.0,100.0,100.0,96.5,95.78,90.0,0.001,512
pwc_small_run<built-in function id>_MLP-llama_hyperglmh4qhk,65.0,85.0,95.0,100.0,100.0,100.0,81.0,65.0,85.0,95.0,100.0,100.0,100.0,96.5,95.78,90.0,0.001,1024
pwc_small_run<built-in function id>_MLP-llama_hypergdx9dhve,65.0,85.0,95.0,100.0,100.0,100.0,81.0,65.0,85.0,95.0,100.0,100.0,100.0,96.5,95.78,90.0,0.001,2048
pwc_small_run<built-in function id>_MLP-llama_hyperhwnpfc97,65.0,85.0,100.0,100.0,100.0,100.0,81.0,65.0,85.0,100.0,100.0,100.0,100.0,96.5,95.78,90.0,0.0001,64
pwc_small_run<built-in function id>_MLP-llama_hyperfwzbfv6g,65.0,85.0,100.0,100.0,100.0,100.0,81.0,65.0,85.0,100.0,100.0,100.0,100.0,96.5,95.78,90.0,0.0001,128
pwc_small_run<built-in function id>_MLP-llama_hyperz66b99a6,65.0,85.0,100.0,100.0,100.0,100.0,81.0,65.0,85.0,100.0,100.0,100.0,100.0,96.5,95.78,90.0,0.0001,256
pwc_small_run<built-in function id>_MLP-llama_hyperweww4p1t,65.0,85.0,100.0,100.0,100.0,100.0,81.0,65.0,85.0,100.0,100.0,100.0,100.0,96.5,95.78,90.0,0.0001,512
pwc_small_run<built-in function id>_MLP-llama_hyperzeukyxb4,65.0,85.0,100.0,100.0,100.0,100.0,81.0,65.0,85.0,100.0,100.0,100.0,100.0,96.5,95.78,90.0,0.0001,1024
pwc_small_run<built-in function id>_MLP-llama_hypern3q92qqx,65.0,85.0,100.0,100.0,100.0,100.0,81.0,65.0,85.0,100.0,100.0,100.0,100.0,96.5,95.78,90.0,0.0001,2048
pwc_small_run<built-in function id>_MLP-llama_hyper9t4g9znn,0.0,0.0,0.0,0.0,100.0,100.0,9.09,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,0.01,64
pwc_small_run<built-in function id>_MLP-llama_hyper6nu69mh1,0.0,0.0,0.0,0.0,100.0,100.0,9.09,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,0.01,128
pwc_small_run<built-in function id>_MLP-llama_hyper6y7jdtme,0.0,0.0,0.0,0.0,100.0,100.0,9.09,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,50.0,0.01,256
pwc_small_run<built-in function id>_MLP-llama_hyperpltgeyuf,5.0,10.0,45.0,95.0,100.0,100.0,16.74,5.0,10.0,45.0,95.0,100.0,100.0,50.0,50.0,50.0,0.01,512
pwc_small_run<built-in function id>_MLP-llama_hyperaa1fx096,5.0,15.0,45.0,100.0,100.0,100.0,16.74,5.0,15.0,45.0,100.0,100.0,100.0,50.0,61.26,57.5,0.01,1024
pwc_small_run<built-in function id>_MLP-llama_hypermf4drnjh,5.0,15.0,45.0,100.0,100.0,100.0,16.74,5.0,15.0,45.0,100.0,100.0,100.0,50.0,61.26,57.5,0.01,2048
pwc_small_run<built-in function id>_MLP-llama_hyperna15f3ka,70.0,95.0,95.0,100.0,100.0,100.0,83.33,70.0,95.0,95.0,100.0,100.0,100.0,95.75,97.68,95.0,0.001,64
pwc_small_run<built-in function id>_MLP-llama_hypergrhhhauh,70.0,95.0,95.0,100.0,100.0,100.0,83.33,70.0,95.0,95.0,100.0,100.0,100.0,95.75,97.68,95.0,0.001,128
pwc_small_run<built-in function id>_MLP-llama_hyperxjtq2j6e,70.0,95.0,95.0,100.0,100.0,100.0,83.33,70.0,95.0,95.0,100.0,100.0,100.0,95.75,97.68,95.0,0.001,256
pwc_small_run<built-in function id>_MLP-llama_hypertjp0zx4u,70.0,95.0,95.0,100.0,100.0,100.0,83.33,70.0,95.0,95.0,100.0,100.0,100.0,95.75,97.68,95.0,0.001,512
Best,70.0,95.0,100.0,100.0,100.0,100.0,83.33,70.0,95.0,100.0,100.0,100.0,100.0,96.5,97.68,95.0,0.01,2048
