Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pwc_small_run<built-in function id>_MLP-minilm_hyper5zaoizhk,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,80.0,0.01,64
pwc_small_run<built-in function id>_MLP-minilm_hyperoqdspvac,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,80.0,0.01,128
pwc_small_run<built-in function id>_MLP-minilm_hyper8ef17zkn,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,80.0,0.01,256
pwc_small_run<built-in function id>_MLP-minilm_hyperjguowhzx,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,80.0,0.01,512
pwc_small_run<built-in function id>_MLP-minilm_hyperc3vt5pfb,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,80.0,0.01,1024
pwc_small_run<built-in function id>_MLP-minilm_hyper9ubh23kw,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,80.0,0.01,2048
pwc_small_run<built-in function id>_MLP-minilm_hyper8k0mq87s,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.001,64
pwc_small_run<built-in function id>_MLP-minilm_hyperv8u6q90c,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.001,128
pwc_small_run<built-in function id>_MLP-minilm_hyperv0bmiwef,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.001,256
pwc_small_run<built-in function id>_MLP-minilm_hyper41lupgxv,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.001,512
pwc_small_run<built-in function id>_MLP-minilm_hyperum3cxbaa,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.001,1024
pwc_small_run<built-in function id>_MLP-minilm_hyper6gepxvbn,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.001,2048
pwc_small_run<built-in function id>_MLP-minilm_hyperw8u8jpz3,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.0001,64
pwc_small_run<built-in function id>_MLP-minilm_hyperfn5hqnx5,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.0001,128
pwc_small_run<built-in function id>_MLP-minilm_hyperv2ncyvep,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.0001,256
pwc_small_run<built-in function id>_MLP-minilm_hyper5j46hk3r,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.0001,512
pwc_small_run<built-in function id>_MLP-minilm_hyper6ndkcih4,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.0001,1024
pwc_small_run<built-in function id>_MLP-minilm_hyperbal1bqnu,70.0,90.0,100.0,100.0,100.0,100.0,79.12,70.0,90.0,100.0,100.0,100.0,100.0,95.5,95.94,90.0,0.0001,2048
pwc_small_run<built-in function id>_MLP-minilm_hyper1zz9c1kh,80.0,95.0,100.0,100.0,100.0,100.0,88.75,80.0,95.0,100.0,100.0,100.0,100.0,95.25,97.75,85.0,0.01,64
pwc_small_run<built-in function id>_MLP-minilm_hypersd8mjhxn,70.0,95.0,100.0,100.0,100.0,100.0,91.0,70.0,95.0,100.0,100.0,100.0,100.0,96.0,96.33,90.0,0.01,128
pwc_small_run<built-in function id>_MLP-minilm_hyper01zwfx42,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.01,256
pwc_small_run<built-in function id>_MLP-minilm_hyperopvjz1it,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.01,512
pwc_small_run<built-in function id>_MLP-minilm_hyperl9g2zvg6,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.01,1024
pwc_small_run<built-in function id>_MLP-minilm_hyperdzrrw33p,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.01,2048
pwc_small_run<built-in function id>_MLP-minilm_hypervenk8eiq,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.001,64
pwc_small_run<built-in function id>_MLP-minilm_hyperejuh4ozz,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.001,128
pwc_small_run<built-in function id>_MLP-minilm_hyperfo4br9ff,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.001,256
pwc_small_run<built-in function id>_MLP-minilm_hyperci6qlu7c,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.001,512
pwc_small_run<built-in function id>_MLP-minilm_hypera5u6pm54,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.001,1024
pwc_small_run<built-in function id>_MLP-minilm_hyperh01tntk5,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.001,2048
pwc_small_run<built-in function id>_MLP-minilm_hypere188haoe,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.0001,64
pwc_small_run<built-in function id>_MLP-minilm_hypertzlfymr3,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.0001,128
pwc_small_run<built-in function id>_MLP-minilm_hyperb9v1du0p,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.0001,256
pwc_small_run<built-in function id>_MLP-minilm_hyper3j9v4sog,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.0001,512
pwc_small_run<built-in function id>_MLP-minilm_hypert6ptdp4w,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.0001,1024
pwc_small_run<built-in function id>_MLP-minilm_hyperx5uq68mb,70.0,95.0,100.0,100.0,100.0,100.0,78.01,70.0,95.0,100.0,100.0,100.0,100.0,94.75,95.33,90.0,0.0001,2048
pwc_small_run<built-in function id>_MLP-minilm_hyper9wpc5jq1,70.0,95.0,100.0,100.0,100.0,100.0,81.55,70.0,95.0,100.0,100.0,100.0,100.0,97.25,97.66,90.0,0.01,64
pwc_small_run<built-in function id>_MLP-minilm_hyperzm8rmtmg,70.0,90.0,100.0,100.0,100.0,100.0,78.01,70.0,90.0,100.0,100.0,100.0,100.0,95.0,96.33,77.5,0.01,128
pwc_small_run<built-in function id>_MLP-minilm_hyperg4sfc5m5,70.0,90.0,100.0,100.0,100.0,100.0,81.88,70.0,90.0,100.0,100.0,100.0,100.0,95.0,96.33,77.5,0.01,256
pwc_small_run<built-in function id>_MLP-minilm_hyper3udxl6js,70.0,90.0,100.0,100.0,100.0,100.0,81.88,70.0,90.0,100.0,100.0,100.0,100.0,95.0,96.33,77.5,0.01,512
pwc_small_run<built-in function id>_MLP-minilm_hyperjj95d7xa,70.0,90.0,100.0,100.0,100.0,100.0,81.88,70.0,90.0,100.0,100.0,100.0,100.0,95.0,96.33,77.5,0.01,1024
