Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,probscale,pt,proboffset,batch_size
pwc_small_run14fzu0g5_NCNC_hyperg41nieag,30.0,65.0,70.0,100.0,100.0,100.0,48.22,30.0,65.0,70.0,100.0,100.0,100.0,69.0,79.37,75.0,1.0,0.05,0.0,1024
pwc_small_run14fzu0g5_NCNC_hyper6gsea59m,30.0,65.0,70.0,100.0,100.0,100.0,48.22,30.0,65.0,70.0,100.0,100.0,100.0,69.0,79.37,75.0,1.0,0.1,0.0,1024
pwc_small_run14fzu0g5_NCNC_hyper9gw6lyit,30.0,65.0,70.0,100.0,100.0,100.0,48.22,30.0,65.0,70.0,100.0,100.0,100.0,69.0,79.37,75.0,1.0,0.05,1.0,1024
pwc_small_run14fzu0g5_NCNC_hyper6ygl4rzh,30.0,65.0,70.0,100.0,100.0,100.0,48.22,30.0,65.0,70.0,100.0,100.0,100.0,69.0,79.37,75.0,1.0,0.1,1.0,1024
pwc_small_run14fzu0g5_NCNC_hyperqosxhjnf,30.0,65.0,70.0,100.0,100.0,100.0,48.22,30.0,65.0,70.0,100.0,100.0,100.0,69.0,79.37,75.0,1.0,0.05,3.0,1024
pwc_small_run14fzu0g5_NCNC_hyperqu40hab5,30.0,65.0,80.0,100.0,100.0,100.0,48.22,30.0,65.0,80.0,100.0,100.0,100.0,69.0,79.37,82.5,1.0,0.1,3.0,1024
pwc_small_run14fzu0g5_NCNC_hyper3oc5ic32,30.0,65.0,80.0,100.0,100.0,100.0,48.22,30.0,65.0,80.0,100.0,100.0,100.0,69.0,79.37,82.5,1.0,0.05,5.0,1024
pwc_small_run14fzu0g5_NCNC_hyperbz3288c9,30.0,65.0,75.0,100.0,100.0,100.0,48.22,30.0,65.0,75.0,100.0,100.0,100.0,69.0,79.37,82.5,1.0,0.1,5.0,1024
pwc_small_run14fzu0g5_NCNC_hyper39wlq890,30.0,65.0,75.0,100.0,100.0,100.0,48.22,30.0,65.0,75.0,100.0,100.0,100.0,69.0,79.37,82.5,1.0,0.05,0.0,1024
pwc_small_run14fzu0g5_NCNC_hyperb9mrgqci,30.0,65.0,75.0,100.0,100.0,100.0,48.22,30.0,65.0,75.0,100.0,100.0,100.0,69.0,79.37,82.5,1.0,0.1,0.0,1024
