Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
pwc_small_runzn7fjguh_NCN_hypercoecctud,10.0,70.0,70.0,100.0,100.0,100.0,32.76,10.0,70.0,70.0,100.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperx0woz6j0,10.0,70.0,70.0,85.0,100.0,100.0,32.76,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hypernu5qgds7,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperpzjenhxu,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hyperx5edvvdt,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyperqe5clwjq,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyperja5fxifn,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyper88ivcpn3,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyper8u97zv51,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hyperyuk3oswn,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hypern44zdan2,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hyperkjvy1fa5,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hyperw9jaf6w7,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hyper4d5ni3k0,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperpj7ia132,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hypercj75ub7j,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperbhbkidsq,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperk6xfc6oa,10.0,70.0,70.0,85.0,100.0,100.0,34.31,10.0,70.0,70.0,85.0,100.0,100.0,75.0,82.11,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hypermxc0n9xu,0.0,70.0,70.0,85.0,100.0,100.0,33.82,0.0,70.0,70.0,85.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyper6oj1wzce,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hypercesvla2p,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyperjo287niv,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hypermxh0y5kx,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyper83waspno,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyperv9bu0pjv,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hypergnf5eijd,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,1024
