Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,mlp_num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
pwc_small_run6crcuvmb_NeoGNN_hypervhd0ii3e,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,77.37,82.04,77.5,128,1,2,128,8,0.0,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hypertd6lxr1w,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,77.5,128,1,2,128,8,0.0,256,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperelstbc45,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,77.5,128,1,2,128,8,0.0,256,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperekro200v,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.0,512,0.01
pwc_small_run6crcuvmb_NeoGNN_hypermke50ayq,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.0,512,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperel5y1ize,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.0,512,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperid1lvc1b,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.0,1024,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperxxq5pktv,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.0,1024,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperff5gxjsa,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.0,1024,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperxk4kn0fm,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperp9qt4els,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,256,0.001
pwc_small_run6crcuvmb_NeoGNN_hyper4ztt76tu,20.0,75.0,85.0,100.0,100.0,100.0,46.07,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,256,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperk0fwns97,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,512,0.01
pwc_small_run6crcuvmb_NeoGNN_hypera75wzetj,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,512,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperj8lffje4,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,512,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyper6lys3vet,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,1024,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperxsgngr77,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,1024,0.001
pwc_small_run6crcuvmb_NeoGNN_hyper1hijodnu,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.1,1024,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperbg55cp7m,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperd4ggyv5t,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,256,0.001
pwc_small_run6crcuvmb_NeoGNN_hypero7uk40ru,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,256,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyper8sptgpv0,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,512,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperdwhnrd6f,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,512,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperpfazj06n,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,512,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperutgqo0i2,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,1024,0.01
pwc_small_run6crcuvmb_NeoGNN_hypervcpps0kw,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,1024,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperkghh89fs,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,1,2,128,8,0.3,1024,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperu1rzdr1g,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hyper0pkt7yl1,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,256,0.001
pwc_small_run6crcuvmb_NeoGNN_hyper9vbd2063,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,256,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyper5cd6x1dy,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,512,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperx0hbv1j5,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,512,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperr8iqr57q,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,512,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyper1fxayx14,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,1024,0.01
pwc_small_run6crcuvmb_NeoGNN_hyper30cw9w8y,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,1024,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperl3cnitdr,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.0,1024,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperijkym43b,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,79.25,82.64,80.0,128,2,2,128,8,0.1,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperl3uqs98h,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,80.0,82.64,80.0,128,2,2,128,8,0.1,256,0.001
pwc_small_run6crcuvmb_NeoGNN_hyper6em1oya1,20.0,75.0,85.0,100.0,100.0,100.0,46.69,20.0,75.0,85.0,100.0,100.0,100.0,81.75,82.64,80.0,128,2,2,128,8,0.1,256,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperkvifl5l0,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.75,82.64,80.0,128,2,2,128,8,0.1,512,0.01
pwc_small_run6crcuvmb_NeoGNN_hypernnaxdhn1,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.75,82.64,80.0,128,2,2,128,8,0.1,512,0.001
pwc_small_run6crcuvmb_NeoGNN_hypert46yeui3,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.64,80.0,128,2,2,128,8,0.1,512,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperiquvsdg8,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.64,80.0,128,2,2,128,8,0.1,1024,0.01
pwc_small_run6crcuvmb_NeoGNN_hypermdm1plc4,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.64,80.0,128,2,2,128,8,0.1,1024,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperm70dfez0,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.64,80.0,128,2,2,128,8,0.1,1024,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperd5td50km,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.64,80.0,128,2,2,128,8,0.3,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperb0vhnsq7,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,256,0.001
pwc_small_run6crcuvmb_NeoGNN_hyperzai77eeq,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,256,0.0001
pwc_small_run6crcuvmb_NeoGNN_hypercvbb5lxd,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,512,0.01
pwc_small_run6crcuvmb_NeoGNN_hypert467bte7,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,512,0.001
pwc_small_run6crcuvmb_NeoGNN_hyper386i1ydf,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,512,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyper1oywp2su,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,1024,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperne6d6w4q,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,1024,0.001
pwc_small_run6crcuvmb_NeoGNN_hyper55srlcfp,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,2,2,128,8,0.3,1024,0.0001
pwc_small_run6crcuvmb_NeoGNN_hyperoigk58wj,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,3,2,128,8,0.0,256,0.01
pwc_small_run6crcuvmb_NeoGNN_hyperw6d9209k,20.0,75.0,90.0,100.0,100.0,100.0,46.69,20.0,75.0,90.0,100.0,100.0,100.0,81.5,82.82,80.0,128,3,2,128,8,0.0,256,0.001
