model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-e5-large,0,25.0,85.0,95.0,100.0,100.0,100.0,45.15,25.0,85.0,95.0,100.0,100.0,100.0,91.5,88.94,82.5
MLP-e5-large,1,25.0,85.0,95.0,100.0,100.0,100.0,45.12,25.0,85.0,95.0,100.0,100.0,100.0,91.75,88.78,82.5
MLP-e5-large,2,35.0,80.0,95.0,100.0,100.0,100.0,50.38,35.0,80.0,95.0,100.0,100.0,100.0,92.0,90.79,85.0
MLP-e5-large,0,10.0,40.0,90.0,100.0,100.0,100.0,31.31,10.0,40.0,90.0,100.0,100.0,100.0,88.25,88.07,90.0
MLP-e5-large,1,10.0,35.0,90.0,100.0,100.0,100.0,32.58,10.0,35.0,90.0,100.0,100.0,100.0,87.0,88.91,85.0
MLP-e5-large,0,10.0,20.0,70.0,100.0,100.0,100.0,24.36,10.0,20.0,70.0,100.0,100.0,100.0,65.5,66.24,60.0
MLP-e5-large,1,10.0,20.0,70.0,100.0,100.0,100.0,24.42,10.0,20.0,70.0,100.0,100.0,100.0,65.75,66.46,62.5
MLP-e5-large,2,5.0,20.0,70.0,100.0,100.0,100.0,21.26,5.0,20.0,70.0,100.0,100.0,100.0,66.0,61.27,62.5
MLP-e5-large,3,0.0,15.0,75.0,100.0,100.0,100.0,17.39,0.0,15.0,75.0,100.0,100.0,100.0,66.25,59.72,62.5
MLP-e5-large,4,10.0,60.0,70.0,100.0,100.0,100.0,24.53,10.0,60.0,70.0,100.0,100.0,100.0,64.75,62.69,62.5
MLP-minilm,0,15.0,20.0,55.0,95.0,100.0,100.0,27.26,15.0,20.0,55.0,95.0,100.0,100.0,58.0,64.72,52.5
MLP-minilm,1,25.0,40.0,60.0,100.0,100.0,100.0,35.79,25.0,40.0,60.0,100.0,100.0,100.0,63.75,71.09,57.5
MLP-minilm,2,5.0,15.0,50.0,95.0,100.0,100.0,17.59,5.0,15.0,50.0,95.0,100.0,100.0,50.0,55.13,52.5
MLP-minilm,3,20.0,45.0,75.0,100.0,100.0,100.0,37.03,20.0,45.0,75.0,100.0,100.0,100.0,66.75,73.64,60.0
MLP-minilm,4,5.0,5.0,40.0,95.0,100.0,100.0,13.35,5.0,5.0,40.0,95.0,100.0,100.0,41.5,48.05,47.5
MLP-bert,0,20.0,70.0,80.0,100.0,100.0,100.0,41.56,20.0,70.0,80.0,100.0,100.0,100.0,78.5,87.57,72.5
MLP-bert,1,0.0,0.0,65.0,100.0,100.0,100.0,15.39,0.0,0.0,70.0,100.0,100.0,100.0,81.0,58.68,72.5
MLP-bert,2,25.0,35.0,95.0,100.0,100.0,100.0,26.07,25.0,35.0,95.0,100.0,100.0,100.0,78.0,76.81,75.0
MLP-bert,3,0.0,35.0,90.0,100.0,100.0,100.0,30.57,0.0,35.0,90.0,100.0,100.0,100.0,61.5,74.21,72.5
MLP-bert,4,25.0,40.0,90.0,100.0,100.0,100.0,40.6,25.0,40.0,85.0,100.0,100.0,100.0,79.5,80.23,60.0
MLP-e5-large,0,25.0,60.0,90.0,100.0,100.0,100.0,54.12,25.0,60.0,90.0,100.0,100.0,100.0,89.25,86.71,77.5
MLP-e5-large,1,20.0,45.0,90.0,100.0,100.0,100.0,42.13,20.0,45.0,90.0,100.0,100.0,100.0,87.75,84.19,80.0
MLP-e5-large,2,40.0,45.0,90.0,100.0,100.0,100.0,39.68,40.0,45.0,90.0,100.0,100.0,100.0,90.25,90.42,80.0
MLP-e5-large,3,35.0,50.0,90.0,100.0,100.0,100.0,45.88,35.0,50.0,90.0,100.0,100.0,100.0,87.5,85.34,80.0
MLP-e5-large,4,30.0,45.0,90.0,100.0,100.0,100.0,46.05,30.0,45.0,90.0,100.0,100.0,100.0,88.5,87.88,77.5
MLP-minilm,0,0.0,0.0,50.0,100.0,100.0,100.0,11.62,0.0,0.0,50.0,100.0,100.0,100.0,52.62,49.86,55.0
MLP-minilm,1,0.0,5.0,35.0,95.0,100.0,100.0,10.64,0.0,5.0,35.0,95.0,100.0,100.0,40.88,45.05,45.0
MLP-minilm,2,0.0,0.0,25.0,90.0,100.0,100.0,7.92,0.0,0.0,25.0,90.0,100.0,100.0,28.25,39.27,32.5
MLP-minilm,3,15.0,20.0,40.0,95.0,100.0,100.0,23.71,15.0,20.0,40.0,95.0,100.0,100.0,43.25,56.7,47.5
MLP-minilm,4,0.0,20.0,55.0,100.0,100.0,100.0,18.42,0.0,20.0,55.0,100.0,100.0,100.0,53.0,56.62,52.5
MLP-bert,0,0.0,20.0,75.0,85.0,100.0,100.0,42.02,0.0,55.0,85.0,90.0,100.0,100.0,65.37,69.51,60.0
MLP-bert,1,5.0,30.0,80.0,90.0,100.0,100.0,28.51,5.0,30.0,80.0,90.0,100.0,100.0,70.25,67.19,57.5
MLP-bert,2,15.0,55.0,80.0,90.0,100.0,100.0,31.79,15.0,55.0,80.0,90.0,100.0,100.0,68.25,71.16,55.0
MLP-bert,3,0.0,25.0,75.0,95.0,100.0,100.0,20.53,0.0,25.0,80.0,100.0,100.0,100.0,67.75,70.38,57.5
MLP-bert,4,0.0,45.0,70.0,90.0,100.0,100.0,27.79,0.0,35.0,85.0,85.0,100.0,100.0,70.0,70.72,57.5
MLP-e5-large,0,15.0,55.0,75.0,100.0,100.0,100.0,39.01,15.0,55.0,75.0,100.0,100.0,100.0,83.0,82.22,70.0
MLP-e5-large,1,30.0,45.0,90.0,100.0,100.0,100.0,40.34,30.0,45.0,90.0,100.0,100.0,100.0,82.75,79.82,70.0
MLP-e5-large,2,40.0,55.0,75.0,100.0,100.0,100.0,49.37,40.0,55.0,75.0,100.0,100.0,100.0,81.5,83.11,70.0
MLP-e5-large,3,30.0,50.0,70.0,100.0,100.0,100.0,43.56,30.0,50.0,70.0,100.0,100.0,100.0,77.5,80.82,67.5
MLP-e5-large,4,25.0,55.0,75.0,100.0,100.0,100.0,39.68,25.0,55.0,75.0,100.0,100.0,100.0,78.25,81.85,67.5
MLP-minilm,0,10.0,10.0,80.0,100.0,100.0,100.0,24.5,10.0,10.0,80.0,100.0,100.0,100.0,66.25,66.11,55.0
MLP-minilm,1,0.0,10.0,50.0,100.0,100.0,100.0,15.74,0.0,10.0,50.0,100.0,100.0,100.0,51.0,53.79,50.0
MLP-minilm,2,0.0,0.0,20.0,95.0,100.0,100.0,8.33,0.0,0.0,20.0,95.0,100.0,100.0,37.38,41.85,35.0
MLP-minilm,3,10.0,15.0,60.0,100.0,100.0,100.0,23.24,10.0,15.0,60.0,100.0,100.0,100.0,60.0,62.9,57.5
MLP-minilm,4,10.0,10.0,35.0,100.0,100.0,100.0,18.01,10.0,10.0,35.0,100.0,100.0,100.0,44.88,52.52,45.0
MLP-bert,0,15.0,50.0,85.0,100.0,100.0,100.0,31.04,15.0,50.0,85.0,100.0,100.0,100.0,71.75,71.86,65.0
MLP-bert,1,0.0,45.0,70.0,100.0,100.0,100.0,26.46,0.0,45.0,75.0,100.0,100.0,100.0,69.0,68.92,67.5
MLP-bert,2,10.0,45.0,85.0,100.0,100.0,100.0,24.56,10.0,45.0,85.0,100.0,100.0,100.0,72.75,73.59,57.5
MLP-bert,3,0.0,35.0,70.0,100.0,100.0,100.0,26.94,0.0,50.0,70.0,100.0,100.0,100.0,69.0,70.07,65.0
MLP-bert,4,5.0,45.0,85.0,100.0,100.0,100.0,28.95,5.0,45.0,80.0,100.0,100.0,100.0,66.75,64.04,65.0
MLP-llama,0,60.0,90.0,100.0,100.0,100.0,100.0,77.5,60.0,90.0,100.0,100.0,100.0,100.0,94.75,94.95,85.0
MLP-llama,1,60.0,70.0,100.0,100.0,100.0,100.0,75.17,60.0,70.0,100.0,100.0,100.0,100.0,96.25,96.36,85.0
MLP-llama,2,55.0,90.0,100.0,100.0,100.0,100.0,73.92,55.0,90.0,100.0,100.0,100.0,100.0,93.0,96.03,90.0
MLP-llama,3,65.0,85.0,100.0,100.0,100.0,100.0,80.83,65.0,85.0,100.0,100.0,100.0,100.0,95.25,94.99,82.5
MLP-llama,4,60.0,60.0,100.0,100.0,100.0,100.0,76.25,60.0,60.0,100.0,100.0,100.0,100.0,94.0,96.57,85.0
NCN,0,30.0,50.0,95.0,100.0,100.0,100.0,47.91,30.0,50.0,95.0,100.0,100.0,100.0,81.25,84.47,72.5
NCN,1,30.0,75.0,90.0,100.0,100.0,100.0,80.71,30.0,75.0,90.0,100.0,100.0,100.0,90.0,94.04,82.5
NCN,2,0.0,25.0,85.0,100.0,100.0,100.0,22.06,0.0,25.0,85.0,100.0,100.0,100.0,75.0,69.59,67.5
NCN,3,15.0,40.0,85.0,100.0,100.0,100.0,40.82,15.0,40.0,85.0,100.0,100.0,100.0,78.75,70.92,70.0
NCN,4,15.0,50.0,85.0,100.0,100.0,100.0,39.12,15.0,50.0,85.0,100.0,100.0,100.0,82.25,81.68,82.5
NeoGNN,0,30.0,70.0,75.0,100.0,100.0,100.0,43.46,30.0,70.0,75.0,100.0,100.0,100.0,78.25,80.73,72.5
NeoGNN,1,30.0,65.0,85.0,100.0,100.0,100.0,52.38,30.0,65.0,85.0,100.0,100.0,100.0,82.5,85.6,67.5
NeoGNN,2,5.0,45.0,75.0,95.0,100.0,100.0,30.57,5.0,45.0,75.0,95.0,100.0,100.0,65.25,70.07,62.5
NeoGNN,3,45.0,60.0,80.0,100.0,100.0,100.0,55.33,45.0,60.0,80.0,100.0,100.0,100.0,81.75,85.1,75.0
NeoGNN,4,40.0,65.0,85.0,95.0,100.0,100.0,50.05,40.0,65.0,85.0,95.0,100.0,100.0,83.25,84.74,75.0
NCNC,0,5.0,5.0,15.0,65.0,100.0,100.0,11.29,5.0,5.0,15.0,65.0,100.0,100.0,22.5,41.08,27.5
