Name,Average Similarity,Generalized Edge Homophily,Jensen-Shannon Divergence,Hellinger Distance
pwc_small,0.47368421052631576,tensor(0.4092),0.31535255718000266,0.5433767180573175
cora,0.5019011406844106,tensor(0.1575),0.22940378781534254,0.4653769106009524
pubmed,0.5516696750902527,tensor(0.2729),0.17457474055799635,0.394212613473501
arxiv_2023,0.5110653628409676,tensor(0.8792),0.2994040912717148,0.5311762083869642
pwc_medium,0.5955718449931413,tensor(0.4580),0.2923500274868954,0.524007869896383
ogbn-arxiv,0.5013474062429822,tensor(0.8265),0.2991951118298429,0.5309625175950764
citationv8,0.6391869434648626,tensor(0.4711),0.27516554305212687,0.5085369050178808

ppa,0.480915418002646,tensor(nan),0.309193755765576,0.5394746315852244
ddi,0.5820994552311776,tensor(nan),0.24880864197173047,0.48647072084839177
collab,0.3190550061846934,tensor(0.9335),0.4432828950830933,0.6394341798868792
citation2,0.5029331608850294,tensor(0.8631),0.29052778532519186,0.5236442382965967
vessel,0.5,tensor(1.0000),0.31127504634415915,0.5411935640576978
