Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,epochs,train_time,test_time,params
cora_run285554g1_GCN_Variant,44.66,55.73,66.4,81.42,88.93,93.28,53.92,44.66,55.73,66.4,81.42,88.93,93.28,93.78,94.23,78.85,400.0,0.0785071849822998,0.0877845287322998,45888.0
cora_runvv2uxg0k_GCN_Variant,44.66,55.73,66.4,81.42,88.93,93.28,53.92,44.66,55.73,66.4,81.42,88.93,93.28,93.78,94.23,78.85,400.0,0.0715601444244384,0.0772714614868164,45888.0
cora_run0et533o0_GCN_Variant,36.36,54.55,75.89,85.38,92.49,96.44,50.9,36.36,54.55,75.89,85.38,92.49,96.44,95.52,95.95,85.77,400.0,0.0794508457183837,0.0886099338531494,45888.0
cora_runw5rhw7vx_GCN_Variant,36.36,54.55,75.89,85.38,92.49,96.44,50.9,36.36,54.55,75.89,85.38,92.49,96.44,95.52,95.95,85.77,400.0,0.0568339824676513,0.0625746250152587,45888.0
cora_runwz1m66wb_GCN_Variant,18.58,58.5,77.08,83.79,90.51,94.07,47.14,18.58,58.5,77.08,83.79,90.51,94.07,92.38,94.55,78.85,400.0,0.0525848865509033,0.0579352378845214,45888.0
cora_run8iw85sos_GCN_Variant,18.58,58.5,77.08,83.79,90.51,94.07,47.14,18.58,58.5,77.08,83.79,90.51,94.07,92.38,94.55,78.85,400.0,0.0595171451568603,0.0660459995269775,45888.0
cora_run4sxmplg0_GCN_Variant,15.02,44.66,73.12,83.79,92.89,96.84,37.37,15.02,44.66,73.12,83.79,92.89,96.84,94.68,94.73,79.45,400.0,0.0524992942810058,0.0578665733337402,45888.0
cora_runwyji9omr_GCN_Variant,15.02,44.66,73.12,83.79,92.89,96.84,37.37,15.02,44.66,73.12,83.79,92.89,96.84,94.68,94.73,79.45,400.0,0.0771985054016113,0.0859673023223877,45888.0
cora_run7oz8kwd5_GCN_Variant,16.6,39.92,75.49,87.35,94.07,97.63,34.39,16.6,39.92,75.49,87.35,94.07,97.63,95.23,95.31,85.57,400.0,0.0629782676696777,0.0686931610107421,45888.0
cora_run7oz8kwd5_GCN_Variant,26.24 ± 13.41,50.67 ± 7.96,73.60 ± 4.27,84.35 ± 2.20,91.78 ± 2.04,95.65 ± 1.88,44.74 ± 8.51,26.24 ± 13.41,50.67 ± 7.96,73.60 ± 4.27,84.35 ± 2.20,91.78 ± 2.04,95.65 ± 1.88,94.32 ± 1.27,94.95 ± 0.68,81.70 ± 3.63,,,,
cora_run1rahzg82_GCN_Variant,16.6,39.92,75.49,87.35,94.07,97.63,34.39,16.6,39.92,75.49,87.35,94.07,97.63,95.23,95.31,85.57,400.0,0.076021671295166,0.0847301483154296,45888.0
cora_run1rahzg82_GCN_Variant,26.24 ± 13.41,50.67 ± 7.96,73.60 ± 4.27,84.35 ± 2.20,91.78 ± 2.04,95.65 ± 1.88,44.74 ± 8.51,26.24 ± 13.41,50.67 ± 7.96,73.60 ± 4.27,84.35 ± 2.20,91.78 ± 2.04,95.65 ± 1.88,94.32 ± 1.27,94.95 ± 0.68,81.70 ± 3.63,,,,
Best,44.66,58.5,77.08,87.35,94.07,97.63,53.92,44.66,58.5,77.08,87.35,94.07,97.63,95.52,95.95,85.77,400.0,0.0794508457183837,0.0886099338531494,45888.0
