model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ft-MLP-minilm,0,49.01,54.55,56.52,64.03,84.58,95.65,52.62,49.01,54.55,56.52,64.03,84.58,95.65,91.34,92.04,0.0
ft-MLP-minilm,1,51.78,55.34,67.98,79.05,89.33,98.02,56.77,51.78,55.34,67.98,79.05,89.33,98.02,94.33,94.77,0.0
ft-MLP-minilm,0,13.04,17.0,25.69,32.81,61.26,79.45,17.71,13.04,17.0,25.69,32.81,61.26,79.45,78.49,78.69,0.0
ft-MLP-minilm,2,45.06,50.2,66.4,78.26,93.68,99.6,50.99,45.06,50.2,66.4,78.26,93.68,99.6,95.42,95.29,0.0
ft-MLP-minilm,1,19.76,27.27,38.34,56.92,71.15,84.58,26.03,19.76,27.27,38.34,56.92,71.15,85.38,83.4,85.04,0.0
ft-MLP-minilm,3,37.94,54.15,59.29,75.89,92.89,98.02,48.68,37.94,54.15,59.29,75.89,92.89,98.02,94.13,94.4,0.0
ft-MLP-minilm,2,14.23,18.97,35.97,53.36,69.57,83.79,21.27,14.23,18.97,35.97,53.36,69.57,83.79,81.73,83.41,0.0
ft-MLP-minilm,4,46.25,54.15,62.45,75.1,96.05,99.6,52.08,46.25,54.15,62.45,75.1,96.05,99.6,95.42,95.19,0.0
ft-MLP-minilm,3,5.93,10.28,24.11,39.53,67.59,81.42,12.45,5.93,10.28,24.11,39.53,67.59,81.42,79.92,79.4,0.0
ft-MLP-minilm,4,8.3,17.0,37.15,48.22,70.36,83.79,17.12,8.3,17.0,37.15,48.22,70.36,83.79,82.43,82.87,0.0
ft-MLP-minilm,0,49.01,54.55,56.52,63.64,84.58,95.65,52.62,49.01,54.55,56.52,63.64,84.58,95.65,91.36,92.05,0.0
ft-MLP-minilm,1,51.78,55.34,67.59,78.66,88.93,98.02,56.77,51.78,55.34,67.59,78.66,88.93,98.02,94.32,94.76,0.0
ft-MLP-minilm,2,45.06,50.2,66.8,78.26,93.68,99.6,51.12,45.06,50.2,66.8,78.26,93.68,99.6,95.41,95.29,0.0
ft-MLP-minilm,3,37.94,54.15,59.29,75.89,92.89,98.02,48.62,37.94,54.15,59.29,75.89,92.89,98.02,94.13,94.39,0.0
ft-MLP-minilm,4,46.25,54.15,62.45,75.1,96.05,99.6,52.08,46.25,54.15,62.45,75.1,96.05,99.6,95.42,95.18,0.0
ft-MLP-minilm,0,12.65,17.0,25.69,33.2,61.26,79.84,17.58,12.65,17.0,25.69,33.2,61.26,79.84,78.49,78.68,0.0
ft-MLP-minilm,1,19.76,27.67,38.34,56.92,71.54,84.58,26.06,19.76,27.67,38.34,56.92,71.54,85.38,83.43,85.06,0.0
ft-MLP-minilm,2,14.23,18.97,36.76,53.36,69.57,83.79,21.24,14.23,18.97,36.76,53.36,69.57,83.79,81.73,83.41,0.0
ft-MLP-minilm,3,5.93,10.28,24.11,39.53,67.59,81.42,12.45,5.93,10.28,24.11,39.53,67.59,81.42,79.93,79.42,0.0
ft-MLP-minilm,4,8.3,17.0,37.15,48.62,70.36,83.4,17.12,8.3,17.0,37.15,48.62,70.36,83.4,82.4,82.85,0.0
ft-MLP-minilm,0,0.0,1.58,1.58,1.58,1.58,1.58,1.56,0.0,1.58,1.58,1.58,1.58,1.58,50.19,50.17,0.0
ft-MLP-minilm,0,0.0,1.19,5.53,13.44,28.06,54.55,3.16,0.0,1.19,7.11,13.44,34.78,59.29,63.5,59.88,0.0
ft-MLP-minilm,1,1.19,4.74,11.86,20.16,46.25,57.31,7.06,1.19,4.74,20.16,29.64,46.25,70.36,71.91,69.56,0.0
ft-MLP-minilm,2,2.37,3.16,9.49,19.37,30.43,56.13,6.12,2.37,3.16,10.67,19.37,33.99,56.13,64.39,63.62,0.0
ft-MLP-minilm,3,0.4,1.19,9.49,19.76,40.32,62.45,4.98,0.4,1.19,13.04,24.51,40.32,62.45,69.82,66.74,0.0
ft-MLP-minilm,4,1.58,1.58,7.51,12.65,25.3,44.27,4.58,1.58,3.56,7.51,12.65,35.57,44.27,56.12,57.28,0.0
ft-MLP-minilm,0,0.0,1.19,5.53,13.04,27.67,58.89,3.13,0.0,1.19,7.11,13.04,33.99,58.89,63.57,59.88,0.0
ft-MLP-minilm,1,1.19,5.14,12.65,20.55,47.04,57.31,7.22,1.19,5.14,20.55,30.83,47.04,70.36,71.85,69.73,0.0
ft-MLP-minilm,2,2.37,3.16,9.09,19.76,30.43,56.13,6.09,2.37,3.16,10.67,19.76,33.99,56.13,64.32,63.49,0.0
ft-MLP-minilm,3,0.0,1.58,10.28,20.55,40.32,64.43,4.83,0.0,1.58,10.28,20.55,40.32,64.43,69.69,66.44,0.0
ft-MLP-minilm,4,1.58,1.58,6.72,12.25,24.51,44.27,4.51,1.58,3.56,6.72,12.25,34.39,44.27,55.99,57.08,0.0
ft-MLP-minilm,0,0.0,0.4,1.58,6.72,18.58,38.74,1.75,0.0,0.4,1.98,8.3,20.95,40.71,50.8,49.93,0.0
ft-MLP-minilm,0,0.0,0.4,1.58,6.72,18.58,38.74,1.75,0.0,0.4,1.98,8.3,20.95,40.71,50.73,49.93,0.0
ft-MLP-minilm,0,0.4,3.95,9.49,14.62,32.81,52.17,4.58,0.4,3.95,9.49,14.62,32.81,52.17,58.83,59.65,0.0
ft-MLP-minilm,0,1.98,3.56,9.49,21.34,32.02,50.99,6.0,1.98,3.95,9.49,21.34,39.53,55.73,62.03,62.35,0.0
ft-MLP-minilm,0,13.04,17.0,25.69,32.02,61.26,79.45,17.73,13.04,17.0,25.69,32.02,61.26,79.45,78.46,78.65,0.0
ft-MLP-minilm,0,0.0,0.4,0.79,1.58,3.56,10.67,0.96,0.0,0.4,0.79,1.58,3.56,10.67,23.24,35.82,0.0
ft-MLP-minilm,0,0.0,0.4,0.79,1.58,3.56,10.28,0.96,0.0,0.4,0.79,1.58,3.56,10.28,23.26,35.83,0.0
ft-MLP-minilm,0,13.04,17.0,25.69,32.02,61.26,79.84,17.72,13.04,17.0,25.69,32.02,61.26,79.84,78.47,78.68,0.0
ft-MLP-minilm,0,12.65,16.21,24.11,35.97,58.89,80.63,17.56,12.65,16.21,24.11,35.97,58.89,80.63,78.01,78.31,0.0
ft-MLP-minilm,0,12.65,17.0,23.72,35.97,61.66,81.03,17.71,12.65,17.0,23.72,35.97,61.66,81.03,78.46,78.7,0.0
