Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ft-MLP-minilm-cora-NCN,43.72 ± 6.72,53.99 ± 1.47,59.84 ± 3.69,67.59 ± 5.89,83.72 ± 4.14,95.18 ± 2.15,50.50 ± 3.50,43.72 ± 6.72,53.99 ± 1.47,59.84 ± 3.69,67.59 ± 5.89,83.72 ± 4.14,95.18 ± 2.15,91.60 ± 1.61,92.33 ± 1.32,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,43.95 ± 6.33,53.99 ± 1.47,59.84 ± 3.69,67.75 ± 5.87,83.79 ± 4.22,95.18 ± 2.15,50.61 ± 3.25,43.95 ± 6.33,53.99 ± 1.47,59.84 ± 3.69,67.75 ± 5.87,83.79 ± 4.22,95.18 ± 2.15,91.62 ± 1.62,92.35 ± 1.32,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,28.54 ± 15.08,54.31 ± 1.27,60.87 ± 3.61,66.32 ± 4.89,81.34 ± 1.84,92.09 ± 1.45,41.22 ± 7.68,28.54 ± 15.08,54.31 ± 1.27,60.87 ± 3.61,66.32 ± 4.89,81.50 ± 2.08,92.09 ± 1.45,89.84 ± 1.12,91.03 ± 0.86,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,44.19 ± 5.90,53.99 ± 1.47,59.92 ± 3.86,67.67 ± 5.92,83.64 ± 4.19,95.18 ± 2.15,50.71 ± 3.11,44.19 ± 5.90,53.99 ± 1.47,59.92 ± 3.86,67.67 ± 5.92,83.64 ± 4.19,95.18 ± 2.15,91.61 ± 1.62,92.34 ± 1.33,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,45.93 ± 5.36,53.60 ± 2.18,62.45 ± 4.67,74.47 ± 6.06,91.15 ± 4.41,98.18 ± 1.62,52.19 ± 3.01,45.93 ± 5.36,53.60 ± 2.18,62.45 ± 4.67,74.47 ± 6.06,91.15 ± 4.41,98.18 ± 1.62,94.13 ± 1.65,94.34 ± 1.32,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,46.17 ± 4.90,53.68 ± 2.00,62.29 ± 4.63,74.47 ± 6.25,91.15 ± 4.66,98.18 ± 1.62,52.29 ± 2.85,46.17 ± 4.90,53.68 ± 2.00,62.29 ± 4.63,74.47 ± 6.25,91.15 ± 4.66,98.18 ± 1.62,94.13 ± 1.65,94.34 ± 1.32,0.00 ± 0.00
ft-MLP-minilm-cora-NCN-qlora,45.85 ± 3.38,53.67 ± 2.35,60.71 ± 3.30,70.12 ± 6.07,87.67 ± 3.45,97.23 ± 1.85,51.58 ± 2.25,45.85 ± 3.38,53.67 ± 2.35,60.71 ± 3.30,70.12 ± 6.07,87.67 ± 3.45,97.23 ± 1.85,92.89 ± 1.40,93.31 ± 1.18,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,46.01 ± 5.21,53.68 ± 2.00,62.53 ± 4.78,74.47 ± 6.06,91.31 ± 4.47,98.18 ± 1.62,52.23 ± 2.95,46.01 ± 5.21,53.68 ± 2.00,62.53 ± 4.78,74.47 ± 6.06,91.31 ± 4.47,98.18 ± 1.62,94.13 ± 1.67,94.34 ± 1.33,0.00 ± 0.00
ft-MLP-minilm-cora-GCN_Variant,12.25 ± 5.40,18.10 ± 6.09,32.25 ± 6.79,46.17 ± 9.93,67.99 ± 3.99,82.61 ± 2.13,18.92 ± 5.07,12.25 ± 5.40,18.10 ± 6.09,32.25 ± 6.79,46.17 ± 9.93,67.99 ± 3.99,82.77 ± 2.33,81.19 ± 1.98,81.88 ± 2.72,0.00 ± 0.00
ft-MLP-minilm-cora-NCN,46.01 ± 5.21,53.68 ± 2.00,62.53 ± 4.76,74.31 ± 6.15,91.23 ± 4.51,98.18 ± 1.62,52.24 ± 2.96,46.01 ± 5.21,53.68 ± 2.00,62.53 ± 4.76,74.31 ± 6.15,91.23 ± 4.51,98.18 ± 1.62,94.13 ± 1.66,94.33 ± 1.33,0.00 ± 0.00
