edge_index0,edge_index1,pred,gr
390,1719,1.0,1.0
1036,1314,0.0,1.0
119,2220,1.0,1.0
2044,2069,1.0,1.0
230,684,1.0,1.0
943,1637,1.0,1.0
965,1310,1.0,1.0
1025,1170,1.0,1.0
283,1963,1.0,1.0
635,2166,1.0,1.0
73,821,1.0,1.0
1440,1947,1.0,1.0
772,1083,1.0,1.0
1139,1258,1.0,1.0
18,839,1.0,1.0
1444,1464,1.0,1.0
597,1425,1.0,1.0
538,1702,1.0,1.0
428,517,1.0,1.0
849,1462,1.0,1.0
1807,2338,1.0,1.0
402,899,0.0,1.0
213,1509,1.0,1.0
424,484,1.0,1.0
982,1354,1.0,1.0
1373,1598,1.0,1.0
832,953,1.0,1.0
1155,1258,1.0,1.0
402,2209,1.0,1.0
699,1935,1.0,1.0
2362,2392,1.0,1.0
1896,2154,1.0,1.0
399,539,1.0,1.0
205,2204,1.0,1.0
278,596,1.0,1.0
654,702,1.0,1.0
410,651,1.0,1.0
618,1489,1.0,1.0
924,1078,1.0,1.0
2215,2246,1.0,1.0
1876,1880,1.0,1.0
1202,1341,1.0,1.0
1141,1147,1.0,1.0
472,531,1.0,1.0
36,1843,1.0,1.0
881,1537,1.0,1.0
1834,2458,1.0,1.0
874,1253,1.0,1.0
1634,2060,1.0,1.0
1201,1512,1.0,1.0
624,2214,1.0,1.0
104,846,1.0,1.0
735,1443,1.0,1.0
1855,2402,1.0,1.0
548,1414,1.0,1.0
974,1632,1.0,1.0
633,945,1.0,1.0
1745,2249,1.0,1.0
139,215,1.0,1.0
1109,1112,1.0,1.0
1165,1192,1.0,1.0
876,2259,1.0,1.0
34,527,1.0,1.0
89,1188,1.0,1.0
626,702,1.0,1.0
180,434,1.0,1.0
985,1450,1.0,1.0
770,1144,1.0,1.0
1197,1655,1.0,1.0
1691,1878,1.0,1.0
266,432,1.0,1.0
159,2084,1.0,1.0
139,366,1.0,1.0
259,450,1.0,1.0
846,1591,0.0,1.0
1844,2440,1.0,1.0
14,706,1.0,1.0
1110,1639,1.0,1.0
170,702,1.0,1.0
253,688,1.0,1.0
1849,2274,0.0,1.0
891,1215,1.0,1.0
426,1291,1.0,1.0
1692,1708,1.0,1.0
159,370,1.0,1.0
2240,2439,1.0,1.0
949,1477,1.0,1.0
384,1225,1.0,1.0
489,663,1.0,1.0
133,2066,1.0,1.0
118,560,1.0,1.0
115,599,1.0,1.0
927,1925,1.0,1.0
461,702,1.0,1.0
815,1420,1.0,1.0
437,2192,1.0,1.0
551,606,1.0,1.0
883,1427,1.0,1.0
726,1419,1.0,1.0
1037,1232,1.0,1.0
