edge_index0,edge_index1,pred,gr
599,2469,1.0,1.0
458,1206,1.0,1.0
1617,1996,1.0,1.0
428,633,1.0,1.0
2282,2283,1.0,1.0
520,527,1.0,1.0
1197,1729,1.0,1.0
208,1324,1.0,1.0
1887,1996,1.0,1.0
133,2219,1.0,1.0
402,1042,1.0,1.0
589,646,1.0,1.0
167,598,1.0,1.0
451,2427,1.0,1.0
547,575,1.0,1.0
2171,2484,0.0,1.0
764,1019,1.0,1.0
198,598,1.0,1.0
1797,2220,1.0,1.0
1765,2018,0.0,1.0
897,1462,1.0,1.0
820,1591,1.0,1.0
1093,1459,1.0,1.0
1195,1569,0.0,1.0
896,1171,1.0,1.0
241,721,1.0,1.0
530,632,1.0,1.0
1468,2034,1.0,1.0
72,702,1.0,1.0
703,1806,1.0,1.0
20,603,1.0,1.0
918,1018,1.0,1.0
1226,1313,1.0,1.0
848,1274,1.0,1.0
2147,2320,1.0,1.0
727,1549,1.0,1.0
112,1996,1.0,1.0
1251,2253,1.0,1.0
1002,1089,1.0,1.0
1691,1878,1.0,1.0
494,1372,1.0,1.0
156,1743,1.0,1.0
2157,2395,1.0,1.0
80,533,1.0,1.0
1010,1254,1.0,1.0
557,972,1.0,1.0
889,956,1.0,1.0
141,416,0.0,1.0
1593,1640,1.0,1.0
890,1260,1.0,1.0
550,1415,1.0,1.0
889,1383,1.0,1.0
414,1790,1.0,1.0
437,493,1.0,1.0
1520,1526,1.0,1.0
815,879,1.0,1.0
159,420,1.0,1.0
2087,2174,1.0,1.0
519,2050,1.0,1.0
73,817,1.0,1.0
629,2466,1.0,1.0
1839,2188,1.0,1.0
159,1841,1.0,1.0
2,520,1.0,1.0
951,1486,1.0,1.0
335,1470,0.0,1.0
2027,2141,1.0,1.0
324,1360,1.0,1.0
109,540,1.0,1.0
942,1277,1.0,1.0
542,1902,1.0,1.0
1073,1362,1.0,1.0
278,601,0.0,1.0
1038,1110,1.0,1.0
951,952,1.0,1.0
344,533,1.0,1.0
50,147,1.0,1.0
1095,1606,0.0,1.0
1171,2359,1.0,1.0
527,2168,1.0,1.0
1044,2182,1.0,1.0
1289,2198,1.0,1.0
850,909,1.0,1.0
1279,1349,0.0,1.0
87,639,1.0,1.0
135,1617,1.0,1.0
73,821,1.0,1.0
1737,1778,1.0,1.0
339,2308,1.0,1.0
191,402,1.0,1.0
450,581,1.0,1.0
464,533,1.0,1.0
526,853,1.0,1.0
863,2198,1.0,1.0
