edge_index0,edge_index1,pred,gr
337,505,1.0,1.0
159,2327,1.0,1.0
122,1743,1.0,1.0
358,594,1.0,1.0
474,702,1.0,1.0
956,1631,1.0,1.0
1043,1191,1.0,1.0
326,343,1.0,1.0
1162,1853,1.0,1.0
89,133,1.0,1.0
17,143,1.0,1.0
69,1596,1.0,1.0
1550,2409,1.0,1.0
134,135,1.0,1.0
73,821,1.0,1.0
171,1406,0.0,1.0
15,506,1.0,1.0
807,1063,1.0,1.0
687,1562,1.0,1.0
1804,2154,1.0,1.0
1427,1489,1.0,1.0
575,2311,1.0,1.0
1065,1089,1.0,1.0
126,506,1.0,1.0
675,1572,1.0,1.0
45,209,1.0,1.0
1241,2392,1.0,1.0
534,2298,1.0,1.0
323,1230,1.0,1.0
550,1684,0.0,1.0
1016,1089,0.0,1.0
1281,1475,1.0,1.0
195,564,1.0,1.0
435,455,1.0,1.0
1012,1050,0.0,1.0
133,2300,1.0,1.0
96,1184,1.0,1.0
104,846,1.0,1.0
858,924,1.0,1.0
1168,1375,1.0,1.0
1120,1277,1.0,1.0
378,1960,1.0,1.0
1454,1791,1.0,1.0
2315,2446,1.0,1.0
643,1459,1.0,1.0
695,1573,1.0,1.0
18,700,1.0,1.0
2393,2463,1.0,1.0
1004,1045,1.0,1.0
201,307,1.0,1.0
18,839,1.0,1.0
894,1209,1.0,1.0
386,2380,1.0,1.0
169,2228,1.0,1.0
20,603,1.0,1.0
159,1480,1.0,1.0
1336,1340,1.0,1.0
1690,2041,1.0,1.0
1775,1777,1.0,1.0
2208,2309,1.0,1.0
417,649,1.0,1.0
355,2032,1.0,1.0
288,520,1.0,1.0
1832,2318,1.0,1.0
1754,2228,0.0,1.0
73,2162,1.0,1.0
520,632,1.0,1.0
693,1145,1.0,1.0
901,1162,1.0,1.0
999,1772,1.0,1.0
173,572,1.0,1.0
26,702,1.0,1.0
1084,1171,1.0,1.0
1537,2226,1.0,1.0
2011,2071,1.0,1.0
499,1407,1.0,1.0
2055,2363,1.0,1.0
1151,1401,1.0,1.0
1747,1834,1.0,1.0
702,717,1.0,1.0
1047,1994,1.0,1.0
1312,1408,0.0,1.0
1525,2170,1.0,1.0
860,1087,1.0,1.0
958,1077,0.0,1.0
159,1384,1.0,1.0
1373,1598,1.0,1.0
41,1635,1.0,1.0
538,1187,1.0,1.0
1089,1581,1.0,1.0
647,787,1.0,1.0
791,1128,1.0,1.0
964,1260,1.0,1.0
2073,2321,1.0,1.0
768,831,1.0,1.0
1045,1232,1.0,1.0
2315,2373,1.0,1.0
1437,2239,1.0,1.0
265,489,1.0,1.0
1145,1555,1.0,1.0
75,2335,1.0,1.0
56,732,1.0,1.0
154,1459,1.0,1.0
393,1238,1.0,1.0
64,698,1.0,1.0
1890,2438,1.0,1.0
386,1508,1.0,1.0
785,1864,1.0,1.0
236,602,1.0,1.0
10,186,1.0,1.0
82,939,1.0,1.0
1984,2115,1.0,1.0
577,2371,1.0,1.0
538,1304,1.0,1.0
159,1600,1.0,1.0
26,1067,1.0,1.0
1205,1995,1.0,1.0
425,1281,1.0,1.0
22,1682,1.0,1.0
1166,2317,1.0,1.0
140,326,1.0,1.0
696,702,1.0,1.0
389,412,1.0,1.0
2159,2161,1.0,1.0
970,1074,1.0,1.0
1299,1455,1.0,1.0
20,25,1.0,1.0
698,699,1.0,1.0
306,308,1.0,1.0
761,766,1.0,1.0
461,2453,1.0,1.0
133,1333,1.0,1.0
1301,1450,1.0,1.0
1537,2399,1.0,1.0
1857,2319,1.0,1.0
186,226,1.0,1.0
1946,2330,1.0,1.0
1694,2370,0.0,1.0
1010,1220,1.0,1.0
280,601,1.0,1.0
402,2254,1.0,1.0
423,2450,1.0,1.0
1192,2382,1.0,1.0
1779,2023,1.0,1.0
99,1711,1.0,1.0
76,319,1.0,1.0
85,214,1.0,1.0
1365,1489,1.0,1.0
229,542,1.0,1.0
1095,1500,0.0,1.0
1000,1486,1.0,1.0
673,1760,1.0,1.0
25,732,1.0,1.0
508,511,1.0,1.0
798,799,1.0,1.0
404,2390,1.0,1.0
2156,2386,1.0,1.0
1148,1479,1.0,1.0
575,1241,1.0,1.0
159,2363,1.0,1.0
335,1470,0.0,1.0
317,401,1.0,1.0
994,998,0.0,1.0
178,314,1.0,1.0
1681,1687,1.0,1.0
