edge_index0,edge_index1,pred,gr
156,441,1.0,1.0
1720,2191,1.0,1.0
592,1445,1.0,1.0
443,1744,1.0,1.0
1753,2240,1.0,1.0
1893,2012,1.0,1.0
148,1503,1.0,1.0
242,597,1.0,1.0
425,485,1.0,1.0
2118,2119,1.0,1.0
1267,2271,1.0,1.0
1503,1747,1.0,1.0
16,438,1.0,1.0
533,1296,1.0,1.0
444,612,1.0,1.0
34,65,0.0,1.0
533,1969,1.0,1.0
402,1212,1.0,1.0
1075,1376,1.0,1.0
174,330,1.0,1.0
1209,1512,1.0,1.0
457,1725,1.0,1.0
354,1169,1.0,1.0
2263,2268,1.0,1.0
237,2360,1.0,1.0
1760,2050,1.0,1.0
1481,1579,1.0,1.0
747,1258,1.0,1.0
208,377,1.0,1.0
646,700,1.0,1.0
912,1469,1.0,1.0
1467,1607,1.0,1.0
1992,2308,1.0,1.0
2172,2237,1.0,1.0
573,675,1.0,1.0
404,642,1.0,1.0
1089,1330,1.0,1.0
718,1481,1.0,1.0
231,533,0.0,1.0
533,1242,1.0,1.0
611,707,1.0,1.0
1089,1373,1.0,1.0
799,1641,1.0,1.0
218,381,1.0,1.0
700,907,1.0,1.0
1810,1886,1.0,1.0
1095,1606,0.0,1.0
1766,1767,1.0,1.0
430,700,1.0,1.0
451,2427,1.0,1.0
1719,2161,1.0,1.0
537,1202,1.0,1.0
325,1804,1.0,1.0
58,2306,1.0,1.0
278,474,1.0,1.0
633,945,1.0,1.0
1492,1994,1.0,1.0
404,598,1.0,1.0
75,488,1.0,1.0
812,2242,1.0,1.0
996,1282,1.0,1.0
65,205,1.0,1.0
655,1578,1.0,1.0
322,730,1.0,1.0
586,1986,1.0,1.0
1386,1567,1.0,1.0
2245,2305,1.0,1.0
1733,1734,1.0,1.0
827,951,1.0,1.0
176,440,1.0,1.0
159,1150,1.0,1.0
1403,1477,1.0,1.0
89,533,1.0,1.0
1010,1254,1.0,1.0
1194,1627,1.0,1.0
1733,1807,1.0,1.0
798,912,1.0,1.0
159,1375,0.0,1.0
567,1546,1.0,1.0
894,1364,1.0,1.0
774,1401,1.0,1.0
718,1237,1.0,1.0
1058,2105,1.0,1.0
65,2326,1.0,1.0
319,326,1.0,1.0
804,2395,1.0,1.0
2191,2375,1.0,1.0
338,1184,1.0,1.0
92,338,1.0,1.0
1408,1513,1.0,1.0
328,601,1.0,1.0
454,519,1.0,1.0
1946,2329,1.0,1.0
390,668,1.0,1.0
1012,1114,1.0,1.0
354,2031,1.0,1.0
159,1330,1.0,1.0
936,1841,1.0,1.0
145,1591,1.0,1.0
575,1472,1.0,1.0
1074,1080,1.0,1.0
1778,2214,1.0,1.0
159,1048,1.0,1.0
1055,1947,1.0,1.0
70,2259,1.0,1.0
124,2063,1.0,1.0
1714,2059,1.0,1.0
1927,2063,1.0,1.0
2113,2114,1.0,1.0
703,1818,1.0,1.0
10,489,1.0,1.0
36,1930,1.0,1.0
185,663,1.0,1.0
386,1387,1.0,1.0
1149,1440,1.0,1.0
533,1889,1.0,1.0
996,1234,1.0,1.0
242,2193,1.0,1.0
1092,1604,1.0,1.0
711,797,1.0,1.0
1741,1970,1.0,1.0
216,2412,1.0,1.0
1375,1379,1.0,1.0
949,952,1.0,1.0
1711,1869,1.0,1.0
119,121,1.0,1.0
887,1620,1.0,1.0
557,2472,1.0,1.0
1780,1986,1.0,1.0
73,2240,1.0,1.0
50,606,1.0,1.0
718,2469,1.0,1.0
69,878,1.0,1.0
1860,2075,1.0,1.0
211,549,1.0,1.0
244,375,1.0,1.0
140,174,1.0,1.0
521,2276,1.0,1.0
1558,1565,1.0,1.0
73,2321,1.0,1.0
1809,2417,1.0,1.0
1018,1311,1.0,1.0
205,450,0.0,1.0
1714,1832,1.0,1.0
575,2093,1.0,1.0
599,2014,1.0,1.0
506,2136,1.0,1.0
1175,1431,1.0,1.0
1218,1616,1.0,1.0
155,1925,1.0,1.0
478,2246,1.0,1.0
795,1116,1.0,1.0
2299,2383,0.0,1.0
1808,1966,1.0,1.0
1652,1754,1.0,1.0
13,1165,1.0,1.0
966,1044,1.0,1.0
761,1545,1.0,1.0
402,1661,1.0,1.0
384,2380,1.0,1.0
1061,1400,1.0,1.0
838,1996,1.0,1.0
2197,2198,1.0,1.0
1178,1391,1.0,1.0
159,252,1.0,1.0
171,859,1.0,1.0
141,416,1.0,1.0
858,909,1.0,1.0
159,925,1.0,1.0
20,688,1.0,1.0
36,1605,1.0,1.0
1997,2282,1.0,1.0
1889,2228,1.0,1.0
530,1055,1.0,1.0
2162,2202,1.0,1.0
1895,2415,1.0,1.0
401,788,1.0,1.0
443,1538,1.0,1.0
1764,2266,1.0,1.0
419,593,1.0,1.0
154,175,1.0,1.0
544,1132,1.0,1.0
628,1930,1.0,1.0
538,824,1.0,1.0
1034,1283,1.0,1.0
633,2156,1.0,1.0
1691,1860,1.0,1.0
1115,1125,1.0,1.0
863,2197,1.0,1.0
817,1410,1.0,1.0
1851,1936,1.0,1.0
533,632,1.0,1.0
192,194,1.0,1.0
1198,1238,1.0,1.0
70,637,1.0,1.0
1600,2016,1.0,1.0
450,451,1.0,1.0
1987,2320,1.0,1.0
871,1377,1.0,1.0
97,251,1.0,1.0
1550,2228,1.0,1.0
675,2361,1.0,1.0
1574,1792,1.0,1.0
652,1388,1.0,1.0
1074,1214,1.0,1.0
109,831,1.0,1.0
382,1758,1.0,1.0
963,1029,1.0,1.0
799,1310,1.0,1.0
14,254,1.0,1.0
261,322,1.0,1.0
53,1357,1.0,1.0
1600,1664,1.0,1.0
130,369,1.0,1.0
401,1974,1.0,1.0
269,458,1.0,1.0
189,557,1.0,1.0
1140,1348,1.0,1.0
572,2065,1.0,1.0
305,2282,0.0,1.0
159,1677,1.0,1.0
448,995,1.0,1.0
922,1732,1.0,1.0
1511,1947,1.0,1.0
786,1702,1.0,1.0
125,278,1.0,1.0
272,2204,1.0,1.0
80,288,1.0,1.0
1051,1303,1.0,1.0
807,1400,1.0,1.0
648,1488,1.0,1.0
53,1471,1.0,1.0
949,1477,1.0,1.0
795,917,1.0,1.0
1140,1353,1.0,1.0
698,2444,1.0,1.0
588,620,1.0,1.0
727,1549,1.0,1.0
2327,2332,1.0,1.0
1139,1258,1.0,1.0
216,305,1.0,1.0
1091,1509,1.0,1.0
162,522,1.0,1.0
837,844,1.0,1.0
646,1092,1.0,1.0
335,544,1.0,1.0
1131,1459,1.0,1.0
1159,1592,1.0,1.0
33,236,1.0,1.0
1186,1757,1.0,1.0
2021,2375,1.0,1.0
742,2244,1.0,1.0
154,2236,1.0,1.0
538,1175,1.0,1.0
398,1812,1.0,1.0
244,706,1.0,1.0
1415,2000,1.0,1.0
2005,2327,1.0,1.0
490,675,0.0,1.0
1089,1136,1.0,1.0
833,1571,1.0,1.0
1076,1505,1.0,1.0
231,705,0.0,1.0
73,353,1.0,1.0
471,1216,1.0,1.0
872,1442,1.0,1.0
2013,2473,1.0,1.0
1052,1190,1.0,1.0
2044,2070,1.0,1.0
278,626,1.0,1.0
426,1291,1.0,1.0
1725,1790,1.0,1.0
44,645,1.0,1.0
182,370,1.0,1.0
133,2426,1.0,1.0
460,1914,1.0,1.0
1228,1503,1.0,1.0
121,702,1.0,1.0
96,1520,1.0,1.0
402,574,1.0,1.0
106,912,1.0,1.0
742,891,1.0,1.0
640,668,1.0,1.0
533,1455,1.0,1.0
747,1598,1.0,1.0
67,1870,1.0,1.0
1148,1622,0.0,1.0
1213,1305,1.0,1.0
997,1143,1.0,1.0
6,462,0.0,1.0
404,1139,1.0,1.0
633,2438,1.0,1.0
823,867,1.0,1.0
747,1636,1.0,1.0
1264,1478,1.0,1.0
1376,2223,1.0,1.0
478,517,1.0,1.0
751,1352,1.0,1.0
406,562,1.0,1.0
2042,2203,1.0,1.0
236,287,1.0,1.0
2079,2285,1.0,1.0
888,1089,1.0,1.0
354,1204,1.0,1.0
287,402,1.0,1.0
2172,2320,1.0,1.0
599,1889,1.0,1.0
1041,1396,1.0,1.0
428,2438,1.0,1.0
468,1778,1.0,1.0
1002,1535,0.0,1.0
944,1890,1.0,1.0
346,702,1.0,1.0
328,1173,1.0,1.0
159,1138,1.0,1.0
1210,1364,1.0,1.0
77,154,1.0,1.0
956,1576,1.0,1.0
977,1518,1.0,1.0
789,1406,1.0,1.0
71,700,1.0,1.0
65,68,1.0,1.0
159,765,1.0,1.0
2165,2460,1.0,1.0
81,702,1.0,1.0
635,2166,1.0,1.0
2322,2358,1.0,1.0
319,343,1.0,1.0
522,825,1.0,1.0
1619,1996,1.0,1.0
965,1367,1.0,1.0
201,1437,1.0,1.0
533,1493,1.0,1.0
969,1029,1.0,1.0
246,394,1.0,1.0
1249,1452,1.0,1.0
691,1054,1.0,1.0
1617,1857,1.0,1.0
1086,1248,1.0,1.0
2085,2107,1.0,1.0
154,922,1.0,1.0
487,1130,1.0,1.0
758,1076,1.0,1.0
1665,1757,1.0,1.0
159,2124,1.0,1.0
534,658,1.0,1.0
96,2376,1.0,1.0
858,1579,1.0,1.0
645,1602,1.0,1.0
1162,1412,1.0,1.0
1181,1540,1.0,1.0
854,1745,1.0,1.0
55,341,1.0,1.0
811,1350,0.0,1.0
381,2135,1.0,1.0
493,2430,1.0,1.0
382,1225,1.0,1.0
246,2007,1.0,1.0
2304,2347,0.0,1.0
425,517,1.0,1.0
519,2050,1.0,1.0
1914,1915,1.0,1.0
390,936,1.0,1.0
208,1593,1.0,1.0
881,1276,1.0,1.0
1697,1929,1.0,1.0
454,546,1.0,1.0
1747,1748,1.0,1.0
2108,2114,1.0,1.0
568,629,1.0,1.0
692,702,1.0,1.0
2216,2363,1.0,1.0
1332,1350,1.0,1.0
194,702,1.0,1.0
704,1376,1.0,1.0
468,2214,1.0,1.0
18,702,1.0,1.0
1675,2155,1.0,1.0
628,817,1.0,1.0
1538,1591,1.0,1.0
1813,2167,1.0,1.0
1687,2022,1.0,1.0
698,2143,1.0,1.0
1169,1417,1.0,1.0
163,2399,1.0,1.0
488,623,1.0,1.0
0,407,1.0,1.0
2308,2367,1.0,1.0
1185,2458,1.0,1.0
493,820,1.0,1.0
738,796,1.0,1.0
1659,2306,1.0,1.0
1132,1431,1.0,1.0
1025,1437,1.0,1.0
278,658,1.0,1.0
747,1384,1.0,1.0
1892,1978,1.0,1.0
1121,1591,1.0,1.0
1277,1599,1.0,1.0
1204,2118,1.0,1.0
544,569,1.0,1.0
2,520,1.0,1.0
601,1800,1.0,1.0
194,2229,1.0,1.0
698,1935,1.0,1.0
92,157,1.0,1.0
533,650,1.0,1.0
478,751,1.0,1.0
923,1405,1.0,1.0
56,912,1.0,1.0
249,2240,1.0,1.0
34,533,1.0,1.0
428,517,1.0,1.0
786,1708,1.0,1.0
976,1568,1.0,1.0
533,858,1.0,1.0
1314,1334,1.0,1.0
131,1056,1.0,1.0
1704,2298,1.0,1.0
406,1264,1.0,1.0
2055,2292,1.0,1.0
1740,1741,1.0,1.0
852,1635,1.0,1.0
740,745,1.0,1.0
192,725,1.0,1.0
183,336,1.0,1.0
75,1812,0.0,1.0
159,1037,1.0,1.0
695,1587,1.0,1.0
159,1466,1.0,1.0
860,1086,1.0,1.0
1391,1630,1.0,1.0
209,462,1.0,1.0
506,976,1.0,1.0
891,1334,1.0,1.0
232,1542,1.0,1.0
799,1320,1.0,1.0
556,702,1.0,1.0
1008,1373,1.0,1.0
789,948,1.0,1.0
2134,2391,1.0,1.0
428,1956,1.0,1.0
86,404,1.0,1.0
1041,1293,1.0,1.0
910,924,1.0,1.0
530,1876,1.0,1.0
402,626,1.0,1.0
324,2050,1.0,1.0
159,2040,1.0,1.0
2190,2373,1.0,1.0
1326,1380,0.0,1.0
1643,1728,1.0,1.0
1447,1464,1.0,1.0
151,367,1.0,1.0
186,265,1.0,1.0
1477,1585,1.0,1.0
1197,1729,1.0,1.0
1993,2057,1.0,1.0
1792,2001,1.0,1.0
1562,1709,1.0,1.0
494,1372,1.0,1.0
898,1003,1.0,1.0
2016,2186,1.0,1.0
315,533,1.0,1.0
159,1230,1.0,1.0
2248,2417,1.0,1.0
139,775,1.0,1.0
648,1713,0.0,1.0
1854,2278,1.0,1.0
448,1030,1.0,1.0
402,2265,0.0,1.0
84,675,1.0,1.0
1792,2446,1.0,1.0
1677,2482,1.0,1.0
145,1555,1.0,1.0
14,665,1.0,1.0
862,1104,1.0,1.0
402,1862,0.0,1.0
1169,1218,1.0,1.0
256,541,1.0,1.0
645,2357,1.0,1.0
1792,2190,1.0,1.0
159,531,1.0,1.0
428,1468,1.0,1.0
159,370,1.0,1.0
1173,1504,1.0,1.0
805,1560,1.0,1.0
1509,2242,1.0,1.0
2055,2397,1.0,1.0
884,1165,1.0,1.0
2016,2082,1.0,1.0
398,1218,0.0,1.0
1537,2395,1.0,1.0
752,2441,1.0,1.0
117,1116,1.0,1.0
82,152,1.0,1.0
412,530,1.0,1.0
2334,2366,1.0,1.0
401,1403,1.0,1.0
930,1427,1.0,1.0
278,455,1.0,1.0
463,2145,1.0,1.0
1195,1484,1.0,1.0
336,481,1.0,1.0
377,640,1.0,1.0
16,1601,1.0,1.0
868,1627,0.0,1.0
777,1147,1.0,1.0
1075,1591,1.0,1.0
890,1262,1.0,1.0
910,1182,1.0,1.0
354,1550,1.0,1.0
448,569,1.0,1.0
2027,2148,1.0,1.0
9,290,1.0,1.0
537,1198,1.0,1.0
1492,1533,1.0,1.0
195,702,1.0,1.0
742,2168,1.0,1.0
1468,2034,1.0,1.0
590,1199,1.0,1.0
2111,2248,1.0,1.0
1647,2359,1.0,1.0
603,688,1.0,1.0
67,1732,1.0,1.0
1276,2130,1.0,1.0
159,882,1.0,1.0
1600,2083,1.0,1.0
524,2180,1.0,1.0
650,1555,1.0,1.0
532,693,1.0,1.0
557,2289,1.0,1.0
1802,1888,1.0,1.0
1769,1784,1.0,1.0
1776,2329,1.0,1.0
949,1403,1.0,1.0
984,1266,1.0,1.0
928,2400,1.0,1.0
404,1543,0.0,1.0
491,2139,1.0,1.0
501,731,1.0,1.0
159,1618,1.0,1.0
491,1188,1.0,1.0
160,695,1.0,1.0
910,1398,1.0,1.0
599,1481,1.0,1.0
1077,1480,1.0,1.0
1503,1563,1.0,1.0
1055,1496,1.0,1.0
410,571,0.0,1.0
251,712,1.0,1.0
468,624,1.0,1.0
1381,1387,1.0,1.0
93,450,1.0,1.0
730,2007,1.0,1.0
1932,2410,1.0,1.0
1225,1500,1.0,1.0
191,1856,0.0,1.0
1600,1819,1.0,1.0
523,2180,1.0,1.0
1892,1979,1.0,1.0
2099,2107,1.0,1.0
55,1787,1.0,1.0
240,1108,1.0,1.0
1982,2381,1.0,1.0
1914,2472,1.0,1.0
738,1263,1.0,1.0
282,385,1.0,1.0
228,717,0.0,1.0
575,672,1.0,1.0
1838,2414,1.0,1.0
2158,2475,1.0,1.0
853,919,1.0,1.0
1100,1255,1.0,1.0
831,2271,1.0,1.0
354,1874,1.0,1.0
71,725,1.0,1.0
1089,1150,1.0,1.0
788,1503,1.0,1.0
159,711,1.0,1.0
198,598,1.0,1.0
294,402,0.0,1.0
221,1856,1.0,1.0
159,2081,1.0,1.0
121,2220,1.0,1.0
951,1477,1.0,1.0
683,956,1.0,1.0
1015,2277,1.0,1.0
848,1139,1.0,1.0
1422,1918,1.0,1.0
159,1232,1.0,1.0
1868,2172,1.0,1.0
747,806,1.0,1.0
1749,2106,1.0,1.0
173,575,1.0,1.0
1369,1512,1.0,1.0
378,2130,1.0,1.0
1872,2264,0.0,1.0
1732,1848,1.0,1.0
96,1738,1.0,1.0
458,1206,1.0,1.0
519,2287,1.0,1.0
1553,1790,1.0,1.0
188,616,1.0,1.0
250,598,1.0,1.0
135,841,1.0,1.0
1503,1711,1.0,1.0
425,1955,1.0,1.0
916,1510,1.0,1.0
283,561,1.0,1.0
1129,1218,1.0,1.0
858,1237,1.0,1.0
305,1247,1.0,1.0
73,957,1.0,1.0
650,2443,1.0,1.0
537,1113,1.0,1.0
1437,1452,1.0,1.0
851,1408,1.0,1.0
895,1516,1.0,1.0
870,1064,1.0,1.0
520,650,1.0,1.0
378,2136,1.0,1.0
208,668,1.0,1.0
1089,1186,1.0,1.0
954,995,1.0,1.0
410,676,0.0,1.0
1396,2343,1.0,1.0
1747,2458,1.0,1.0
408,598,0.0,1.0
187,704,1.0,1.0
1149,1226,1.0,1.0
83,533,1.0,1.0
14,359,1.0,1.0
1171,2359,1.0,1.0
831,1331,1.0,1.0
